perturbation,dose,time,cell_line
BRD-A00147595,10.0,24.0,A549
BRD-A00218260,10.0,24.0,A549
BRD-A00376169,10.0,24.0,A549
BRD-A00546892,10.0,24.0,A549
BRD-A00938334,10.0,24.0,A549
BRD-A01636364,10.0,24.0,A549
BRD-A01787639,10.0,24.0,A549
BRD-A02006392,10.0,24.0,A549
BRD-A02367930,10.0,24.0,A549
BRD-A02990301,10.0,24.0,A549
BRD-A03061970,10.0,24.0,A549
BRD-A03216249,10.0,24.0,A549
BRD-A03249105,10.0,24.0,A549
BRD-A03506276,10.0,24.0,A549
BRD-A03623303,10.0,24.0,A549
BRD-A04352665,10.0,24.0,A549
BRD-A04553218,10.0,24.0,A549
BRD-A05186015,10.0,24.0,A549
BRD-A05334458,10.0,24.0,A549
BRD-A05457250,10.0,24.0,A549
BRD-A05523972,10.0,24.0,A549
BRD-A05821830,10.0,24.0,A549
BRD-A06916187,10.0,24.0,A549
BRD-A06935312,10.0,24.0,A549
BRD-A07395371,10.0,24.0,A549
BRD-A07440155,10.0,24.0,A549
BRD-A07563059,10.0,24.0,A549
BRD-A07704283,10.0,24.0,A549
BRD-A07815743,10.0,24.0,A549
BRD-A07986123,10.0,24.0,A549
BRD-A08187463,10.0,24.0,A549
BRD-A08545410,10.0,24.0,A549
BRD-A09349126,10.0,24.0,A549
BRD-A09472452,10.0,24.0,A549
BRD-A09533288,10.0,24.0,A549
BRD-A10012892,10.0,24.0,A549
BRD-A10039652,10.0,24.0,A549
BRD-A10070317,10.0,24.0,A549
BRD-A10903566,10.0,24.0,A549
BRD-A10967948,10.0,24.0,A549
BRD-A10977446,10.0,24.0,A549
BRD-A11319535,10.0,24.0,A549
BRD-A11990600,10.0,24.0,A549
BRD-A12077521,10.0,24.0,A549
BRD-A12230535,10.0,24.0,A549
BRD-A12237696,10.0,24.0,A549
BRD-A12896037,10.0,24.0,A549
BRD-A12994259,10.0,24.0,A549
BRD-A13084692,10.0,24.0,A549
BRD-A13133631,10.0,24.0,A549
BRD-A13188892,10.0,24.0,A549
BRD-A14262390,10.0,24.0,A549
BRD-A14798026,10.0,24.0,A549
BRD-A14886633,10.0,24.0,A549
BRD-A14941520,10.0,24.0,A549
BRD-A14966924,10.0,24.0,A549
BRD-A15202882,10.0,24.0,A549
BRD-A15297126,10.0,24.0,A549
BRD-A15435692,10.0,24.0,A549
BRD-A15909516,10.0,24.0,A549
BRD-A15931911,10.0,24.0,A549
BRD-A16296925,10.0,24.0,A549
BRD-A16347691,10.0,24.0,A549
BRD-A16665823,10.0,24.0,A549
BRD-A16997652,10.0,24.0,A549
BRD-A17411484,10.0,24.0,A549
BRD-A17462676,10.0,24.0,A549
BRD-A17655518,10.0,24.0,A549
BRD-A17883755,10.0,24.0,A549
BRD-A18043272,10.0,24.0,A549
BRD-A18611368,10.0,24.0,A549
BRD-A18620900,10.0,24.0,A549
BRD-A19195498,10.0,24.0,A549
BRD-A19633847,10.0,24.0,A549
BRD-A19661776,10.0,24.0,A549
BRD-A19736161,10.0,24.0,A549
BRD-A20119038,10.0,24.0,A549
BRD-A20126139,10.0,24.0,A549
BRD-A20239487,10.0,24.0,A549
BRD-A20348246,10.0,24.0,A549
BRD-A22032524,10.0,24.0,A549
BRD-A22769835,10.0,24.0,A549
BRD-A24228527,10.0,24.0,A549
BRD-A25234499,10.0,24.0,A549
BRD-A25619068,10.0,24.0,A549
BRD-A26032986,10.0,24.0,A549
BRD-A26095496,10.0,24.0,A549
BRD-A26334849,10.0,24.0,A549
BRD-A26384407,10.0,24.0,A549
BRD-A26423207,10.0,24.0,A549
BRD-A26503646,10.0,24.0,A549
BRD-A26690767,10.0,24.0,A549
BRD-A26711594,10.0,24.0,A549
BRD-A27376179,10.0,24.0,A549
BRD-A27732521,10.0,24.0,A549
BRD-A28467416,10.0,24.0,A549
BRD-A28545468,10.0,24.0,A549
BRD-A28746609,10.0,24.0,A549
BRD-A28787076,10.0,24.0,A549
BRD-A29260609,10.0,24.0,A549
BRD-A29289453,10.0,24.0,A549
BRD-A29322418,10.0,24.0,A549
BRD-A29485665,10.0,24.0,A549
BRD-A29520968,10.0,24.0,A549
BRD-A29623586,10.0,24.0,A549
BRD-A29731977,10.0,24.0,A549
BRD-A29734509,10.0,24.0,A549
BRD-A29844814,10.0,24.0,A549
BRD-A29854054,10.0,24.0,A549
BRD-A30051119,10.0,24.0,A549
BRD-A30815329,10.0,24.0,A549
BRD-A30984645,10.0,24.0,A549
BRD-A31095847,10.0,24.0,A549
BRD-A31159102,10.0,24.0,A549
BRD-A31521121,10.0,24.0,A549
BRD-A31811760,10.0,24.0,A549
BRD-A32172948,10.0,24.0,A549
BRD-A32269193,10.0,24.0,A549
BRD-A33084557,10.0,24.0,A549
BRD-A33168282,10.0,24.0,A549
BRD-A33280134,10.0,24.0,A549
BRD-A33447119,10.0,24.0,A549
BRD-A33692381,10.0,24.0,A549
BRD-A33697453,10.0,24.0,A549
BRD-A33711280,10.0,24.0,A549
BRD-A34006693,10.0,24.0,A549
BRD-A34255068,10.0,24.0,A549
BRD-A34513497,10.0,24.0,A549
BRD-A36057565,10.0,24.0,A549
BRD-A36331462,10.0,24.0,A549
BRD-A37780065,10.0,24.0,A549
BRD-A37959677,10.0,24.0,A549
BRD-A38218502,10.0,24.0,A549
BRD-A38350138,10.0,24.0,A549
BRD-A38592941,10.0,24.0,A549
BRD-A39390670,10.0,24.0,A549
BRD-A39415247,10.0,24.0,A549
BRD-A39935389,10.0,24.0,A549
BRD-A40084411,10.0,24.0,A549
BRD-A40639672,10.0,24.0,A549
BRD-A40787240,10.0,24.0,A549
BRD-A41451487,10.0,24.0,A549
BRD-A43082555,10.0,24.0,A549
