perturbation,compound,dose,n_l1000_profiles,n_cell_painting_profiles,moa
BRD-A00147595,balaglitazone,10uM,1,4,Insulin sensitizer|PPAR receptor partial agonist
BRD-A00218260,flutrimazole,10uM,1,4,Sterol demethylase inhibitor
BRD-A00376169,kbg,10uM,1,4,Neprilysin inhibitor
BRD-A00546892,biperiden,10uM,1,4,Acetylcholine receptor antagonist
BRD-A00938334,drospirenone,10uM,1,4,Mineralocorticoid receptor antagonist
BRD-A01636364,bupivacaine,10uM,1,4,Sodium channel blocker
BRD-A01787639,naftopidil,10uM,1,4,Adrenergic receptor antagonist
BRD-A02006392,nitrendipine,10uM,1,5,Calcium channel blocker
BRD-A02367930,ethinyl-estradiol,10uM,1,4,Estrogen receptor agonist|DNA directed DNA polymerase stimunlant|Estrogenic component in oral contraceptives
BRD-A02990301,lofexidine,10uM,1,4,Adrenergic receptor agonist
BRD-A03061970,alizapride,10uM,1,4,Dopamine receptor antagonist
BRD-A03216249,mepivacaine,10uM,1,4,Potassium channel blocker|Sodium channel blocker
BRD-A03249105,fulvestrant,10uM,1,4,Estrogen receptor antagonist
BRD-A03506276,xl888,10uM,1,5,HSP inhibitor
BRD-A03623303,metoprolol,10uM,1,5,Adrenergic receptor antagonist
BRD-A04352665,maraviroc,10uM,1,5,CC chemokine receptor antagonist
BRD-A04553218,chlorphenamine,10uM,1,5,Histamine receptor antagonist
BRD-A05186015,bupropion,10uM,1,5,Dopamine uptake inhibitor
BRD-A05334458,lisofylline,10uM,1,5,Interleukin receptor antagonist|STAT inhibitor
BRD-A05457250,BAY-K8644,10uM,1,5,Calcium channel activator
BRD-A05523972,telmesteine,10uM,1,5,Mucolytic agent
BRD-A05821830,docetaxel,10uM,1,5,Tubulin inhibitor
BRD-A06916187,cpi-613,10uM,1,5,pyruvate dehydrogenase inhibitor
BRD-A06935312,fusidic-acid,10uM,1,5,Bacterial 30S ribosomal subunit inhibitor
BRD-A07395371,esmolol,10uM,1,5,Adrenergic receptor antagonist
BRD-A07440155,labetalol,10uM,1,5,Adrenergic receptor antagonist
BRD-A07563059,bopindolol,10uM,1,5,Adrenergic receptor antagonist
BRD-A07704283,isofloxythepin,10uM,1,5,Dopamine receptor antagonist
BRD-A07815743,kakonein,10uM,1,5,GABA receptor antagonist|Serotonin receptor antagonist
BRD-A07986123,galeterone,10uM,1,5,Androgen receptor modulator
BRD-A08187463,racecadotril,10uM,1,5,Enkephalinase inhibitor
BRD-A08545410,doxycycline-hyclate,10uM,1,5,Bacterial 30S ribosomal subunit inhibitor
BRD-A09349126,norethindrone,10uM,1,5,Progestogen hormone
BRD-A09472452,flecainide,10uM,1,5,Sodium channel blocker
BRD-A09533288,verapamil,10uM,1,5,Calcium channel blocker
BRD-A10012892,argatroban,10uM,1,5,Thrombin inhibitor
BRD-A10039652,tipranavir,10uM,1,5,HIV protease inhibitor
BRD-A10070317,propranolol,10uM,1,5,Adrenergic receptor antagonist
BRD-A10903566,imiloxan,10uM,1,5,Adrenergic receptor antagonist
BRD-A10967948,granisetron,10uM,1,5,Serotonin receptor antagonist
BRD-A10977446,carvedilol,10uM,1,5,Adrenergic receptor antagonist
BRD-A11319535,beclomethasone-dipropionate,10uM,1,5,Immunosuppressant|Glucocorticoid receptor agonist
BRD-A11990600,lorazepam,10uM,1,5,Benzodiazepine receptor agonist
BRD-A12077521,cefepime,10uM,1,5,Bacterial cell wall synthesis inhibitor
BRD-A12230535,nutlin-3,10uM,1,5,MDM inhibitor
BRD-A12237696,l-citrulline,10uM,1,5,nitric oxide stimulant
BRD-A12896037,cisapride,10uM,1,5,Serotonin receptor agonist
BRD-A12994259,pomalidomide,10uM,1,5,Angiogenesis inhibitor|Tumor necrosis factor production inhibitor
BRD-A13084692,troglitazone,10uM,1,5,PPAR receptor agonist|Insulin sensitizer
BRD-A13133631,fluorometholone,10uM,1,5,Glucocorticoid receptor agonist
BRD-A13188892,doxazosin,10uM,1,5,Adrenergic receptor antagonist
BRD-A14262390,guanadrel,10uM,1,5,Adrenergic inhibitor
BRD-A14798026,mestranol,10uM,1,5,Estrogen receptor agonist
BRD-A14886633,norgestrel,10uM,1,5,Progesterone receptor agonist
BRD-A14941520,dofequidar,10uM,1,5,MRP inhibitor|P-glycoprotein inhibitor
BRD-A14966924,alaproclate,10uM,1,5,Serotonin receptor antagonist
BRD-A15202882,milnacipran,10uM,1,5,Serotonin reuptake inhibitor
BRD-A15297126,fluocinonide,10uM,1,5,Glucocorticoid receptor agonist
BRD-A15435692,BMY-14802,10uM,1,5,Sigma receptor antagonist
BRD-A15909516,rebamipide,10uM,1,5,Free radical scavenger
BRD-A15931911,bucladesine,10uM,1,5,Adenosine receptor agonist|CAMP stimulant
BRD-A16296925,indobufen,10uM,1,5,Cyclooxygenase inhibitor|Platelet aggregation inhibitor
BRD-A16347691,thioctic-acid,10uM,1,5,Reducing agent|Aldehyde dehydrogenase activator|Protein kinase activator|Reverse transcriptase inhibitor
BRD-A16665823,butoconazole,10uM,1,5,Bacterial cell wall synthesis inhibitor
BRD-A16997652,protirelin,10uM,1,5,Thyrotropin releasing hormone receptor agonist
BRD-A17411484,carprofen,10uM,1,5,Cyclooxygenase inhibitor
BRD-A17462676,bambuterol,10uM,1,5,Adrenergic receptor agonist
BRD-A17655518,ibuprofen,10uM,1,5,Cyclooxygenase inhibitor
BRD-A17883755,lenalidomide,10uM,1,5,Anticancer agent
BRD-A18043272,phensuximide,10uM,1,5,Succinimide antiepileptic
BRD-A18611368,tazobactam,10uM,1,5,Beta lactamase inhibitor
BRD-A18620900,estriol,10uM,1,5,Estrogen receptor agonist
BRD-A19195498,trimipramine,10uM,1,5,Norepinephrine reputake inhibitor|Tricyclic antidepressant
BRD-A19633847,perhexiline,10uM,1,5,Carnitine palmitoyltransferase inhibitor
BRD-A19661776,mianserin,10uM,1,5,Serotonin receptor antagonist
BRD-A19736161,ondansetron,10uM,1,5,Serotonin receptor antagonist
BRD-A20119038,mecamylamine,10uM,1,5,Acetylcholine receptor antagonist
BRD-A20126139,medrysone,10uM,1,5,Glucocorticoid receptor agonist
BRD-A20239487,atenolol,10uM,1,5,Adrenergic receptor antagonist
BRD-A20348246,chlormezanone,10uM,1,5,GABA receptor modulator
BRD-A22032524,amlodipine,10uM,1,5,Calcium channel blocker
BRD-A22769835,homochlorcyclizine,10uM,1,5,Antihistamine
BRD-A24228527,ofloxacin,10uM,1,5,Bacterial DNA gyrase inhibitor
BRD-A25234499,aminoglutethimide,10uM,1,5,Glucocorticoid receptor antagonist
BRD-A25619068,fadrozole,10uM,1,5,Aromatase inhibitor
BRD-A26032986,zaldaride,10uM,1,5,Calmodulin antagonist
BRD-A26095496,clobetasol,10uM,1,5,Glucocorticoid receptor agonist
BRD-A26334849,propafenone,10uM,1,5,Antiarrhythmic
BRD-A26384407,chlortalidone,10uM,1,5,Diuretic
BRD-A26423207,sparfloxacin,10uM,1,5,Bacterial DNA gyrase inhibitor
BRD-A26503646,formestane,10uM,1,5,Aromatase inhibitor
BRD-A26690767,saquinavir,10uM,1,5,HIV protease inhibitor
BRD-A26711594,nicardipine,10uM,1,5,Calcium channel blocker
BRD-A27376179,lestaurtinib,10uM,1,5,FLT3 inhibitor|Growth factor receptor inhibitor|JAK inhibitor
BRD-A27732521,tolperisone,10uM,1,5,Voltage-gated sodium channel blocker
BRD-A28467416,pki-179,10uM,1,5,mTOR inhibitor|PI3K inhibitor
