metric,value
rna_counterfactual_pseudobulk_correlation,0.9788358976144669
rna_counterfactual_logfc_correlation,0.9373931683813449
rna_counterfactual_direction_accuracy,0.8007724531153194
rna_counterfactual_top20_de_overlap,0.24273318872017352
rna_counterfactual_top50_de_overlap,0.3420679681851048
rna_counterfactual_top100_de_overlap,0.4405061460592914
rna_counterfactual_by_group=BRD-A00147595|10.0|24.0|A549_pseudobulk_correlation,0.8012448290194374
rna_counterfactual_by_group=BRD-A00147595|10.0|24.0|A549_logfc_correlation,0.7896854061505398
rna_counterfactual_by_group=BRD-A00147595|10.0|24.0|A549_direction_accuracy,0.8507157464212679
rna_counterfactual_by_group=BRD-A00147595|10.0|24.0|A549_top20_de_overlap,0.2
rna_counterfactual_by_group=BRD-A00147595|10.0|24.0|A549_top50_de_overlap,0.22
rna_counterfactual_by_group=BRD-A00147595|10.0|24.0|A549_top100_de_overlap,0.44
rna_counterfactual_by_group=BRD-A00218260|10.0|24.0|A549_pseudobulk_correlation,0.7522766985119623
rna_counterfactual_by_group=BRD-A00218260|10.0|24.0|A549_logfc_correlation,0.7300721647971299
rna_counterfactual_by_group=BRD-A00218260|10.0|24.0|A549_direction_accuracy,0.7934560327198364
rna_counterfactual_by_group=BRD-A00218260|10.0|24.0|A549_top20_de_overlap,0.35
rna_counterfactual_by_group=BRD-A00218260|10.0|24.0|A549_top50_de_overlap,0.36
rna_counterfactual_by_group=BRD-A00218260|10.0|24.0|A549_top100_de_overlap,0.43
rna_counterfactual_by_group=BRD-A00376169|10.0|24.0|A549_pseudobulk_correlation,0.7119930189869206
rna_counterfactual_by_group=BRD-A00376169|10.0|24.0|A549_logfc_correlation,0.6551063661841025
rna_counterfactual_by_group=BRD-A00376169|10.0|24.0|A549_direction_accuracy,0.7955010224948875
rna_counterfactual_by_group=BRD-A00376169|10.0|24.0|A549_top20_de_overlap,0.1
rna_counterfactual_by_group=BRD-A00376169|10.0|24.0|A549_top50_de_overlap,0.3
rna_counterfactual_by_group=BRD-A00376169|10.0|24.0|A549_top100_de_overlap,0.39
rna_counterfactual_by_group=BRD-A00546892|10.0|24.0|A549_pseudobulk_correlation,0.6017388971330696
rna_counterfactual_by_group=BRD-A00546892|10.0|24.0|A549_logfc_correlation,0.5624018141706075
rna_counterfactual_by_group=BRD-A00546892|10.0|24.0|A549_direction_accuracy,0.7586912065439673
rna_counterfactual_by_group=BRD-A00546892|10.0|24.0|A549_top20_de_overlap,0.15
rna_counterfactual_by_group=BRD-A00546892|10.0|24.0|A549_top50_de_overlap,0.32
rna_counterfactual_by_group=BRD-A00546892|10.0|24.0|A549_top100_de_overlap,0.4
rna_counterfactual_by_group=BRD-A00938334|10.0|24.0|A549_pseudobulk_correlation,0.7287248450771556
rna_counterfactual_by_group=BRD-A00938334|10.0|24.0|A549_logfc_correlation,0.687195230561297
rna_counterfactual_by_group=BRD-A00938334|10.0|24.0|A549_direction_accuracy,0.7668711656441718
rna_counterfactual_by_group=BRD-A00938334|10.0|24.0|A549_top20_de_overlap,0.3
rna_counterfactual_by_group=BRD-A00938334|10.0|24.0|A549_top50_de_overlap,0.32
