perturbation,dose,time,cell_line,perturbation_type,target_gene,moa,condition_key_coarse,condition_key_medium,condition_key_fine,condition_key_with_type,bio_key,condition_id,condition_key,batch,plate,run,well,site,z_plane,imaging_channel,sequencing_lane,library_id
BRD-A00218260,10uM,24h,A549,compound,NA,Sterol demethylase inhibitor,BRD-A00218260,BRD-A00218260|10uM|24h,BRD-A00218260|10uM|24h|A549,BRD-A00218260|compound|10uM|24h|A549,BRD-A00218260|10uM,BRD-A00218260|10uM,BRD-A00218260|10uM,SQ00015196,SQ00015196,NA,B13,profile,NA,NA,NA,NA
BRD-A02006392,10uM,24h,A549,compound,NA,Calcium channel blocker,BRD-A02006392,BRD-A02006392|10uM|24h,BRD-A02006392|10uM|24h|A549,BRD-A02006392|compound|10uM|24h|A549,BRD-A02006392|10uM,BRD-A02006392|10uM,BRD-A02006392|10uM,SQ00015128,SQ00015128,NA,G19,profile,NA,NA,NA,NA
BRD-A02367930,10uM,24h,A549,compound,NA,Estrogen receptor agonist|DNA directed DNA polymerase stimunlant|Estrogenic component in oral contraceptives,BRD-A02367930,BRD-A02367930|10uM|24h,BRD-A02367930|10uM|24h|A549,BRD-A02367930|compound|10uM|24h|A549,BRD-A02367930|10uM,BRD-A02367930|10uM,BRD-A02367930|10uM,SQ00015196,SQ00015196,NA,K01,profile,NA,NA,NA,NA
BRD-A02990301,10uM,24h,A549,compound,NA,Adrenergic receptor agonist,BRD-A02990301,BRD-A02990301|10uM|24h,BRD-A02990301|10uM|24h|A549,BRD-A02990301|compound|10uM|24h|A549,BRD-A02990301|10uM,BRD-A02990301|10uM,BRD-A02990301|10uM,SQ00015196,SQ00015196,NA,M07,profile,NA,NA,NA,NA
BRD-A03506276,10uM,24h,A549,compound,NA,HSP inhibitor,BRD-A03506276,BRD-A03506276|10uM|24h,BRD-A03506276|10uM|24h|A549,BRD-A03506276|compound|10uM|24h|A549,BRD-A03506276|10uM,BRD-A03506276|10uM,BRD-A03506276|10uM,SQ00015195,SQ00015195,NA,A07,profile,NA,NA,NA,NA
BRD-A10012892,10uM,24h,A549,compound,NA,Thrombin inhibitor,BRD-A10012892,BRD-A10012892|10uM|24h,BRD-A10012892|10uM|24h|A549,BRD-A10012892|compound|10uM|24h|A549,BRD-A10012892|10uM,BRD-A10012892|10uM,BRD-A10012892|10uM,SQ00015129,SQ00015129,NA,J19,profile,NA,NA,NA,NA
BRD-A10977446,10uM,24h,A549,compound,NA,Adrenergic receptor antagonist,BRD-A10977446,BRD-A10977446|10uM|24h,BRD-A10977446|10uM|24h|A549,BRD-A10977446|compound|10uM|24h|A549,BRD-A10977446|10uM,BRD-A10977446|10uM,BRD-A10977446|10uM,SQ00015129,SQ00015129,NA,N07,profile,NA,NA,NA,NA
BRD-A11319535,10uM,24h,A549,compound,NA,Immunosuppressant|Glucocorticoid receptor agonist,BRD-A11319535,BRD-A11319535|10uM|24h,BRD-A11319535|10uM|24h|A549,BRD-A11319535|compound|10uM|24h|A549,BRD-A11319535|10uM,BRD-A11319535|10uM,BRD-A11319535|10uM,SQ00015129,SQ00015129,NA,O13,profile,NA,NA,NA,NA
BRD-A11990600,10uM,24h,A549,compound,NA,Benzodiazepine receptor agonist,BRD-A11990600,BRD-A11990600|10uM|24h,BRD-A11990600|10uM|24h|A549,BRD-A11990600|compound|10uM|24h|A549,BRD-A11990600|10uM,BRD-A11990600|10uM,BRD-A11990600|10uM,SQ00015194,SQ00015194,NA,B07,profile,NA,NA,NA,NA
BRD-A14262390,10uM,24h,A549,compound,NA,Adrenergic inhibitor,BRD-A14262390,BRD-A14262390|10uM|24h,BRD-A14262390|10uM|24h|A549,BRD-A14262390|compound|10uM|24h|A549,BRD-A14262390|10uM,BRD-A14262390|10uM,BRD-A14262390|10uM,SQ00015194,SQ00015194,NA,J19,profile,NA,NA,NA,NA
BRD-A14886633,10uM,24h,A549,compound,NA,Progesterone receptor agonist,BRD-A14886633,BRD-A14886633|10uM|24h,BRD-A14886633|10uM|24h|A549,BRD-A14886633|compound|10uM|24h|A549,BRD-A14886633|10uM,BRD-A14886633|10uM,BRD-A14886633|10uM,SQ00015194,SQ00015194,NA,M01,profile,NA,NA,NA,NA
BRD-A14941520,10uM,24h,A549,compound,NA,MRP inhibitor|P-glycoprotein inhibitor,BRD-A14941520,BRD-A14941520|10uM|24h,BRD-A14941520|10uM|24h|A549,BRD-A14941520|compound|10uM|24h|A549,BRD-A14941520|10uM,BRD-A14941520|10uM,BRD-A14941520|10uM,SQ00015194,SQ00015194,NA,N01,profile,NA,NA,NA,NA
BRD-A15202882,10uM,24h,A549,compound,NA,Serotonin reuptake inhibitor,BRD-A15202882,BRD-A15202882|10uM|24h,BRD-A15202882|10uM|24h|A549,BRD-A15202882|compound|10uM|24h|A549,BRD-A15202882|10uM,BRD-A15202882|10uM,BRD-A15202882|10uM,SQ00015194,SQ00015194,NA,O07,profile,NA,NA,NA,NA
BRD-A16347691,10uM,24h,A549,compound,NA,Reducing agent|Aldehyde dehydrogenase activator|Protein kinase activator|Reverse transcriptase inhibitor,BRD-A16347691,BRD-A16347691|10uM|24h,BRD-A16347691|10uM|24h|A549,BRD-A16347691|compound|10uM|24h|A549,BRD-A16347691|10uM,BRD-A16347691|10uM,BRD-A16347691|10uM,SQ00015120,SQ00015120,NA,F01,profile,NA,NA,NA,NA
BRD-A18611368,10uM,24h,A549,compound,NA,Beta lactamase inhibitor,BRD-A18611368,BRD-A18611368|10uM|24h,BRD-A18611368|10uM|24h|A549,BRD-A18611368|compound|10uM|24h|A549,BRD-A18611368|10uM,BRD-A18611368|10uM,BRD-A18611368|10uM,SQ00015128,SQ00015128,NA,A07,profile,NA,NA,NA,NA
BRD-A18620900,10uM,24h,A549,compound,NA,Estrogen receptor agonist,BRD-A18620900,BRD-A18620900|10uM|24h,BRD-A18620900|10uM|24h|A549,BRD-A18620900|compound|10uM|24h|A549,BRD-A18620900|10uM,BRD-A18620900|10uM,BRD-A18620900|10uM,SQ00015120,SQ00015120,NA,P13,profile,NA,NA,NA,NA
BRD-A19195498,10uM,24h,A549,compound,NA,Norepinephrine reputake inhibitor|Tricyclic antidepressant,BRD-A19195498,BRD-A19195498|10uM|24h,BRD-A19195498|10uM|24h|A549,BRD-A19195498|compound|10uM|24h|A549,BRD-A19195498|10uM,BRD-A19195498|10uM,BRD-A19195498|10uM,SQ00015128,SQ00015128,NA,A19,profile,NA,NA,NA,NA
