baseline,group,n_samples,pearson_delta,spearman_delta,delta_mae,delta_mse,top50_jaccard_delta,top50_de_recovery,perturbation_split,perturbation
control_mean,overall,277,0.0,0.0,0.9030647210755056,2.0024347081671645,0.0,0.07530685920577618,,
control_mean,held_out|BRD-A00218260,1,0.0,0.0,0.7963543389570685,1.1989861198062322,0.0,0.04,held_out,BRD-A00218260
control_mean,held_out|BRD-A02006392,1,0.0,0.0,0.6707485004046505,1.049312283622361,0.041666666666666664,0.04,held_out,BRD-A02006392
control_mean,held_out|BRD-A02367930,1,0.0,0.0,0.6321144291631147,0.830304280640385,0.041666666666666664,0.08,held_out,BRD-A02367930
control_mean,held_out|BRD-A02990301,1,0.0,0.0,0.6556206751191485,1.046017162922619,0.041666666666666664,0.1,held_out,BRD-A02990301
control_mean,held_out|BRD-A03506276,1,0.0,0.0,1.8328441993131475,5.820834598277757,0.02040816326530612,0.04,held_out,BRD-A03506276
control_mean,held_out|BRD-A10012892,1,0.0,0.0,0.7803806788016341,1.2370487635264718,0.030927835051546393,0.02,held_out,BRD-A10012892
control_mean,held_out|BRD-A10977446,1,0.0,0.0,0.658675390652216,1.0106536810895674,0.05263157894736842,0.08,held_out,BRD-A10977446
control_mean,held_out|BRD-A11319535,1,0.0,0.0,1.0027854352288574,2.371108183489889,0.05263157894736842,0.08,held_out,BRD-A11319535
control_mean,held_out|BRD-A11990600,1,0.0,0.0,0.6565283522269568,0.7625222197370317,0.030927835051546393,0.08,held_out,BRD-A11990600
control_mean,held_out|BRD-A14262390,1,0.0,0.0,0.4992466518397756,0.442575362295789,0.030927835051546393,0.06,held_out,BRD-A14262390
control_mean,held_out|BRD-A14886633,1,0.0,0.0,0.8487846934297153,1.2643760376755078,0.02040816326530612,0.06,held_out,BRD-A14886633
control_mean,held_out|BRD-A14941520,1,0.0,0.0,0.7039526034725611,0.932544954823455,0.041666666666666664,0.12,held_out,BRD-A14941520
control_mean,held_out|BRD-A15202882,1,0.0,0.0,0.7540587095801977,0.9376906492288165,0.08695652173913043,0.16,held_out,BRD-A15202882
control_mean,held_out|BRD-A16347691,1,0.0,0.0,0.7193312426623057,0.983393009861209,0.030927835051546393,0.1,held_out,BRD-A16347691
control_mean,held_out|BRD-A18611368,1,0.0,0.0,0.6826717539254313,0.9009841734746805,0.0,0.0,held_out,BRD-A18611368
control_mean,held_out|BRD-A18620900,1,0.0,0.0,0.5433319976021668,0.5992320636836148,0.041666666666666664,0.1,held_out,BRD-A18620900
control_mean,held_out|BRD-A19195498,1,0.0,0.0,0.7083211978369713,1.1810837625568698,0.06382978723404255,0.16,held_out,BRD-A19195498
control_mean,held_out|BRD-A19633847,1,0.0,0.0,1.3078139054210964,3.4216386226865323,0.02040816326530612,0.06,held_out,BRD-A19633847
control_mean,held_out|BRD-A19736161,1,0.0,0.0,0.6534103997701032,0.9995923470877094,0.041666666666666664,0.08,held_out,BRD-A19736161
control_mean,held_out|BRD-A20119038,1,0.0,0.0,0.8525699256892358,1.380591697696901,0.02040816326530612,0.1,held_out,BRD-A20119038
control_mean,held_out|BRD-A20239487,1,0.0,0.0,0.7290947471872784,1.3967716911045278,0.030927835051546393,0.1,held_out,BRD-A20239487
control_mean,held_out|BRD-A24228527,1,0.0,0.0,0.8473550016709691,1.3040207048669348,0.041666666666666664,0.08,held_out,BRD-A24228527
control_mean,held_out|BRD-A26690767,1,0.0,0.0,0.6885204675207948,0.9232207980866767,0.05263157894736842,0.1,held_out,BRD-A26690767
control_mean,held_out|BRD-A26711594,1,0.0,0.0,0.6512862548662981,0.9192138944567451,0.06382978723404255,0.1,held_out,BRD-A26711594
control_mean,held_out|BRD-A27732521,1,0.0,0.0,0.8625997775411149,1.4472342050319906,0.05263157894736842,0.08,held_out,BRD-A27732521
control_mean,held_out|BRD-A28467416,1,0.0,0.0,2.199174075415912,9.431304834649703,0.010101010101010102,0.04,held_out,BRD-A28467416
control_mean,held_out|BRD-A29322418,1,0.0,0.0,0.7686270486745893,1.3479632794186944,0.030927835051546393,0.08,held_out,BRD-A29322418
control_mean,held_out|BRD-A29520968,1,0.0,0.0,0.6196430088633196,0.6554144151753013,0.02040816326530612,0.08,held_out,BRD-A29520968
control_mean,held_out|BRD-A33168282,1,0.0,0.0,0.6174914539782258,0.8209140388610934,0.041666666666666664,0.12,held_out,BRD-A33168282
control_mean,held_out|BRD-A36331462,1,0.0,0.0,2.3564969896123666,9.48505132454413,0.010101010101010102,0.04,held_out,BRD-A36331462
control_mean,held_out|BRD-A45153512,1,0.0,0.0,0.6739770502050225,0.9573766310472113,0.030927835051546393,0.08,held_out,BRD-A45153512
control_mean,held_out|BRD-A45889380,1,0.0,0.0,1.704477364431495,5.873891003417104,0.010101010101010102,0.02,held_out,BRD-A45889380
control_mean,held_out|BRD-A47364545,1,0.0,0.0,1.1571649878809749,2.293165679878734,0.030927835051546393,0.0,held_out,BRD-A47364545
control_mean,held_out|BRD-A50675702,1,0.0,0.0,0.6287818340613299,0.924996986806029,0.02040816326530612,0.1,held_out,BRD-A50675702
control_mean,held_out|BRD-A50764878,1,0.0,0.0,0.6914247730499231,0.9636241674649839,0.030927835051546393,0.08,held_out,BRD-A50764878
control_mean,held_out|BRD-A51820102,1,0.0,0.0,0.8018484203714734,1.2110349241492708,0.02040816326530612,0.1,held_out,BRD-A51820102
control_mean,held_out|BRD-A55579717,1,0.0,0.0,0.7804291876065248,1.1086689014753641,0.041666666666666664,0.1,held_out,BRD-A55579717
control_mean,held_out|BRD-A61154809,1,0.0,0.0,1.1093028927004367,2.1465337153439816,0.010101010101010102,0.1,held_out,BRD-A61154809
control_mean,held_out|BRD-A61767428,1,0.0,0.0,0.8186420180025322,1.3015172674960351,0.05263157894736842,0.12,held_out,BRD-A61767428
control_mean,held_out|BRD-A62025033,1,0.0,0.0,1.138274519749385,2.3059972881592126,0.041666666666666664,0.06,held_out,BRD-A62025033
control_mean,held_out|BRD-A67616246,1,0.0,0.0,0.8528797598837666,1.591755674716326,0.030927835051546393,0.08,held_out,BRD-A67616246
control_mean,held_out|BRD-A68493689,1,0.0,0.0,0.737097083424514,1.1755651538362886,0.010101010101010102,0.04,held_out,BRD-A68493689
control_mean,held_out|BRD-A70998768,1,0.0,0.0,0.8296093532986649,1.2326639434384588,0.02040816326530612,0.08,held_out,BRD-A70998768
control_mean,held_out|BRD-A74391928,1,0.0,0.0,0.8278111777100892,1.5389347701305678,0.02040816326530612,0.04,held_out,BRD-A74391928
control_mean,held_out|BRD-A74667430,1,0.0,0.0,0.7081229291155252,1.0357786452137767,0.06382978723404255,0.08,held_out,BRD-A74667430
control_mean,held_out|BRD-A75726477,1,0.0,0.0,0.8075825977487647,1.3143418826578535,0.041666666666666664,0.1,held_out,BRD-A75726477
control_mean,held_out|BRD-A76747559,1,0.0,0.0,0.8287558203125989,1.4519966602077725,0.030927835051546393,0.1,held_out,BRD-A76747559
control_mean,held_out|BRD-A78341343,1,0.0,0.0,0.8168534790788241,1.4819762976133435,0.041666666666666664,0.08,held_out,BRD-A78341343
control_mean,held_out|BRD-A78877355,1,0.0,0.0,0.6454875635418892,0.814043519733903,0.030927835051546393,0.04,held_out,BRD-A78877355
control_mean,held_out|BRD-A80017228,1,0.0,0.0,0.980210240837103,1.7708706544380257,0.02040816326530612,0.06,held_out,BRD-A80017228
control_mean,held_out|BRD-A82156122,1,0.0,0.0,0.6282569845657182,0.8911053451359404,0.030927835051546393,0.04,held_out,BRD-A82156122
control_mean,held_out|BRD-A82395837,1,0.0,0.0,0.8515754058477581,1.9232871204156845,0.06382978723404255,0.1,held_out,BRD-A82395837
control_mean,held_out|BRD-A82772293,1,0.0,0.0,0.6751974729286652,0.8567252481099724,0.05263157894736842,0.02,held_out,BRD-A82772293
control_mean,held_out|BRD-A85439007,1,0.0,0.0,0.9954074858234885,2.0472198915864332,0.05263157894736842,0.12,held_out,BRD-A85439007
control_mean,held_out|BRD-A89164055,1,0.0,0.0,0.7887935924348971,1.4889396305445632,0.041666666666666664,0.1,held_out,BRD-A89164055
control_mean,held_out|BRD-A91699651,1,0.0,0.0,0.6361961894280819,0.8009914162676925,0.06382978723404255,0.1,held_out,BRD-A91699651
control_mean,held_out|BRD-A91877226,1,0.0,0.0,3.1236193600488398,15.287113934901909,0.030927835051546393,0.08,held_out,BRD-A91877226
control_mean,held_out|BRD-A92826379,1,0.0,0.0,0.7257971623050208,1.1328357199116237,0.030927835051546393,0.1,held_out,BRD-A92826379
control_mean,held_out|BRD-A95032015,1,0.0,0.0,0.8620140474667487,1.502641871162065,0.010101010101010102,0.04,held_out,BRD-A95032015
control_mean,held_out|BRD-A95696066,1,0.0,0.0,0.7359456920332113,1.1005827862016346,0.030927835051546393,0.08,held_out,BRD-A95696066
control_mean,held_out|BRD-A97104540,1,0.0,0.0,0.8856910195781532,1.7232058914432693,0.07526881720430108,0.14,held_out,BRD-A97104540
control_mean,held_out|BRD-A97808748,1,0.0,0.0,0.8690430341662863,1.4784688922840878,0.041666666666666664,0.02,held_out,BRD-A97808748
