rank	split	transition_improvement	delta_cosine	recall@1	median_rank	delta_rank	magnitude_ratio	floor_gap_vs_full_ridge
1	train	0.03790256748017183	0.5184246585638466	0.2638888888888889	4.0	1.0000000000000295	0.5770687944692195	0.032202567480171834
1	eval	-0.0071128963075006634	0.1822939868208446	0.37037037037037035	4.0	1.0000000000000364	0.5162119938000722	-0.012812896307500665
2	train	0.04966228051434715	0.6401243343917664	0.2916666666666667	3.0	1.9545770641776143	0.6735574986267449	0.043962280514347155
2	eval	-0.00683086663639007	0.2451370259228956	0.3333333333333333	3.0	1.9858269118742433	0.6266869400896864	-0.01253086663639007
4	train	0.06355490332670695	0.7289679283430238	0.3333333333333333	2.0	3.7917389968811817	0.7497333646869987	0.05785490332670695
4	eval	-0.0008143721253249227	0.3323048278610023	0.4074074074074074	3.0	3.7776782691117736	0.7123120142025818	-0.006514372125324923
6	train	0.07102698668059561	0.7962334675099565	0.5	1.5	5.562062837098333	0.8102109659818946	0.06532698668059561
6	eval	0.0045770120889025165	0.382199018120462	0.37037037037037035	2.0	5.363739079265972	0.7433158326285502	-0.0011229879110974837
8	train	0.07402903673614311	0.8229836430630797	0.6111111111111112	1.0	7.045244851364066	0.8318141431026945	0.06832903673614311
8	eval	0.004628779569003859	0.3877486776016694	0.4074074074074074	2.0	6.768064725485387	0.7585053440464369	-0.001071220430996141
10	train	0.07549651075934122	0.8382736109770917	0.7361111111111112	1.0	8.377111276583697	0.8451070513390824	0.06979651075934122
10	eval	0.005753169233822943	0.3953341555803006	0.48148148148148145	2.0	7.980321954907647	0.7679793731206734	5.316923382294239e-05
12	train	0.07626559211798212	0.8434389184404256	0.7638888888888888	1.0	9.454883206261051	0.8498190531562978	0.07056559211798212
12	eval	0.005673237482156941	0.3952265164210598	0.48148148148148145	2.0	8.671086273437627	0.7708428098789967	-2.676251784305885e-05
16	train	0.07678599653631091	0.8474554299390101	0.7777777777777778	1.0	10.893056001496058	0.8530760436679545	0.07108599653631091
16	eval	0.005656149351823072	0.39770901347970905	0.48148148148148145	2.0	9.87748851406334	0.7741421281895607	-4.385064817692859e-05
24	train	0.07685792923111737	0.8482527387662344	0.7777777777777778	1.0	11.631244288097237	0.8535124586198582	0.07115792923111737
24	eval	0.005661906516199105	0.3979625166947478	0.48148148148148145	2.0	10.283476977293098	0.7744371112179105	-3.809348380089551e-05
full	train	0.07685792923111737	0.8482527387662344	0.7777777777777778	1.0	11.631244288097237	0.8535124586198582	0.07115792923111737
full	eval	0.005661906516199105	0.3979625166947478	0.48148148148148145	2.0	10.283476977293098	0.7744371112179105	-3.809348380089551e-05
