dataset	seed	eval_split	audit	representation	train_n	eval_n	train_batch_classes	eval_batch_classes	eval_majority_accuracy	status	accuracy	balanced_accuracy	balanced_accuracy_ci_low	balanced_accuracy_ci_high	per_class_recall_json
synth_micro	0	test	raw_signal_batch_probe	raw_rna_pseudobulk	32	32	2	2	0.5	ok	0.6875	0.6875	0.5004901960784314	0.8326923076923076	"{""batch_0"": 0.75, ""batch_1"": 0.625}"
synth_micro	0	test	raw_signal_batch_probe	raw_count_pseudobulk	32	32	2	2	0.5	ok	0.8125	0.8125	0.6765591864276075	0.9358974358974359	"{""batch_0"": 0.8125, ""batch_1"": 0.8125}"
synth_micro	0	test	raw_signal_batch_probe	raw_image_pooled_pixels	32	32	2	2	0.5	ok	1.0	1.0	1.0	1.0	"{""batch_0"": 1.0, ""batch_1"": 1.0}"
synth_micro	0	test	raw_signal_batch_probe	protected_pls_rna_latent	32	32	2	2	0.5	ok	0.4375	0.4375	0.26136041589988956	0.6009558823529411	"{""batch_0"": 0.5, ""batch_1"": 0.375}"
synth_micro	0	test	raw_signal_batch_probe	protected_pls_image_latent	32	32	2	2	0.5	ok	0.5	0.5	0.3630971479500891	0.7109747023809522	"{""batch_0"": 0.4375, ""batch_1"": 0.5625}"
synth_micro	0	test	raw_signal_batch_probe	random_gaussian_16d	32	32	2	2	0.5	ok	0.5	0.5	0.34036458333333336	0.677294685990338	"{""batch_0"": 0.5, ""batch_1"": 0.5}"
synth_micro	0	test	raw_signal_batch_probe	metadata_only_excluding_batch	32	32	2	2	0.5	ok	0.5	0.5	0.5	0.5	"{""batch_0"": 1.0, ""batch_1"": 0.0}"
synth_micro	0	test	raw_signal_batch_probe	synthetic_oracle_true_z_bio_audit_only	32	32	2	2	0.5	ok	0.5	0.5	0.3275516515648095	0.686470588235294	"{""batch_0"": 0.5625, ""batch_1"": 0.4375}"
synth_micro	0	test	raw_signal_batch_probe	synthetic_oracle_true_z_tech_audit_only	32	32	2	2	0.5	ok	1.0	1.0	1.0	1.0	"{""batch_0"": 1.0, ""batch_1"": 1.0}"
synth_micro	1	test	raw_signal_batch_probe	raw_rna_pseudobulk	32	32	2	2	0.5	ok	0.65625	0.65625	0.4665686274509804	0.8341452205882351	"{""batch_0"": 0.6875, ""batch_1"": 0.625}"
synth_micro	1	test	raw_signal_batch_probe	raw_count_pseudobulk	32	32	2	2	0.5	ok	0.71875	0.71875	0.5334348739495798	0.87	"{""batch_0"": 0.75, ""batch_1"": 0.6875}"
synth_micro	1	test	raw_signal_batch_probe	raw_image_pooled_pixels	32	32	2	2	0.5	ok	1.0	1.0	1.0	1.0	"{""batch_0"": 1.0, ""batch_1"": 1.0}"
synth_micro	1	test	raw_signal_batch_probe	protected_pls_rna_latent	32	32	2	2	0.5	ok	0.40625	0.40625	0.2353118372855215	0.5888020833333332	"{""batch_0"": 0.5625, ""batch_1"": 0.25}"
synth_micro	1	test	raw_signal_batch_probe	protected_pls_image_latent	32	32	2	2	0.5	ok	0.5	0.5	0.31941176470588234	0.6701342710997442	"{""batch_0"": 0.5625, ""batch_1"": 0.4375}"
synth_micro	1	test	raw_signal_batch_probe	random_gaussian_16d	32	32	2	2	0.5	ok	0.46875	0.46875	0.311620822418036	0.605975935828877	"{""batch_0"": 0.3125, ""batch_1"": 0.625}"
synth_micro	1	test	raw_signal_batch_probe	metadata_only_excluding_batch	32	32	2	2	0.5	ok	0.5	0.5	0.5	0.5	"{""batch_0"": 1.0, ""batch_1"": 0.0}"
synth_micro	1	test	raw_signal_batch_probe	synthetic_oracle_true_z_bio_audit_only	32	32	2	2	0.5	ok	0.53125	0.53125	0.34258785332314745	0.7210235760971055	"{""batch_0"": 0.5, ""batch_1"": 0.5625}"
synth_micro	1	test	raw_signal_batch_probe	synthetic_oracle_true_z_tech_audit_only	32	32	2	2	0.5	ok	0.90625	0.90625	0.7793627450980393	1.0	"{""batch_0"": 0.9375, ""batch_1"": 0.875}"
synth_micro	2	test	raw_signal_batch_probe	raw_rna_pseudobulk	32	32	2	2	0.5	ok	0.71875	0.71875	0.6030649038461539	0.8433088235294117	"{""batch_0"": 0.6875, ""batch_1"": 0.75}"
synth_micro	2	test	raw_signal_batch_probe	raw_count_pseudobulk	32	32	2	2	0.5	ok	0.78125	0.78125	0.6334821428571429	0.903658234126984	"{""batch_0"": 0.6875, ""batch_1"": 0.875}"
synth_micro	2	test	raw_signal_batch_probe	raw_image_pooled_pixels	32	32	2	2	0.5	ok	1.0	1.0	1.0	1.0	"{""batch_0"": 1.0, ""batch_1"": 1.0}"
synth_micro	2	test	raw_signal_batch_probe	protected_pls_rna_latent	32	32	2	2	0.5	ok	0.5	0.5	0.31210146761133606	0.6562753036437246	"{""batch_0"": 0.5, ""batch_1"": 0.5}"
synth_micro	2	test	raw_signal_batch_probe	protected_pls_image_latent	32	32	2	2	0.5	ok	0.625	0.625	0.4716053921568628	0.7661274509803919	"{""batch_0"": 0.5625, ""batch_1"": 0.6875}"
synth_micro	2	test	raw_signal_batch_probe	random_gaussian_16d	32	32	2	2	0.5	ok	0.53125	0.53125	0.375	0.6807306255835667	"{""batch_0"": 0.625, ""batch_1"": 0.4375}"
synth_micro	2	test	raw_signal_batch_probe	metadata_only_excluding_batch	32	32	2	2	0.5	ok	0.5	0.5	0.5	0.5	"{""batch_0"": 1.0, ""batch_1"": 0.0}"
synth_micro	2	test	raw_signal_batch_probe	synthetic_oracle_true_z_bio_audit_only	32	32	2	2	0.5	ok	0.5	0.5	0.3414678523231155	0.6489423076923077	"{""batch_0"": 0.5, ""batch_1"": 0.5}"
synth_micro	2	test	raw_signal_batch_probe	synthetic_oracle_true_z_tech_audit_only	32	32	2	2	0.5	ok	0.96875	0.96875	0.8691176470588236	1.0	"{""batch_0"": 0.9375, ""batch_1"": 1.0}"
synth_heldout_perturbation_lite	0	test_heldout_perturbation	raw_signal_batch_probe	raw_rna_pseudobulk	243	81	3	3	0.3333333333333333	ok	0.7037037037037037	0.7037037037037036	0.6036589105339105	0.8163193661177531	"{""batch_0"": 0.5185185185185185, ""batch_1"": 0.7407407407407407, ""batch_2"": 0.8518518518518519}"
