dataset	seed	eval_split	status	bag_count	rna_to_rna_same_bag_recall@1	image_to_image_same_bag_recall@1	rna_to_image_same_bio_recall@1	rna_to_image_same_bio_recall@5	rna_half_batch_probe_balanced_accuracy	rna_half_batch_probe_majority_accuracy	image_half_batch_probe_balanced_accuracy	image_half_batch_probe_majority_accuracy
synth_micro	0	test	ok	32	0.15625	0.84375	0.46875	0.8125	0.71875	0.5	0.984375	0.5
synth_micro	1	test	ok	32	0.25	0.78125	0.53125	0.875	0.5	0.5	0.796875	0.5
synth_micro	2	test	ok	32	0.15625	0.8125	0.5625	0.78125	0.828125	0.5	1.0	0.5
synth_heldout_perturbation_lite	0	test_heldout_perturbation	ok	324	0.16049382716049382	0.9290123456790124	0.27469135802469136	0.5154320987654321	0.654320987654321	0.3333333333333333	1.0	0.3333333333333333
synth_heldout_perturbation_lite	1	test_heldout_perturbation	ok	324	0.13580246913580246	0.8827160493827161	0.1882716049382716	0.3333333333333333	0.5632716049382717	0.3333333333333333	0.9984567901234568	0.3333333333333333
synth_heldout_perturbation_lite	2	test_heldout_perturbation	ok	324	0.19135802469135801	0.8055555555555556	0.1419753086419753	0.31790123456790126	0.6358024691358025	0.3333333333333333	0.9938271604938271	0.3333333333333333
synth_dose_extrapolation_lite	0	test_heldout_dose	ok	540	0.12222222222222222	0.9092592592592592	0.17037037037037037	0.34814814814814815	0.6935185185185185	0.3333333333333333	1.0	0.3333333333333333
synth_dose_extrapolation_lite	1	test_heldout_dose	ok	540	0.12222222222222222	0.8462962962962963	0.10925925925925926	0.25925925925925924	0.6148148148148148	0.3333333333333333	1.0	0.3333333333333333
synth_dose_extrapolation_lite	2	test_heldout_dose	ok	540	0.10555555555555556	0.7870370370370371	0.10740740740740741	0.24074074074074073	0.6453703703703704	0.3333333333333333	0.9990740740740741	0.3333333333333333
synth_batch_confound_lite	0	test	ok	126	0.3492063492063492	0.8412698412698413	0.30158730158730157	0.626984126984127	0.6472222222222221	0.35714285714285715	0.9537037037037037	0.35714285714285715
synth_batch_confound_lite	1	test	ok	126	0.373015873015873	0.8253968253968254	0.15873015873015872	0.5158730158730159	0.6851851851851852	0.35714285714285715	0.9518518518518518	0.35714285714285715
synth_batch_confound_lite	2	test	ok	126	0.42063492063492064	0.8650793650793651	0.16666666666666666	0.5158730158730159	0.7111111111111111	0.35714285714285715	0.9138888888888889	0.35714285714285715
