dataset	seed	eval_split	reference	state	status	n	dim	batch_probe_balanced_accuracy	batch_probe_majority_accuracy	batch_probe_resub_balanced_accuracy	effective_rank	std_mean	checkpoint
synth_micro	0	test	zero_step_bioaction_encoder	rna_online_z_shared	ok	24.0	32.0	0.9166666666666667	0.5	1.0	6.810602857675937	0.2106579691171646	
synth_micro	0	test	zero_step_bioaction_encoder	image_online_z_shared	ok	24.0	32.0	1.0	0.5	1.0	4.259951432377528	0.14357826113700867	
synth_micro	0	test	zero_step_bioaction_encoder	joint_online_z_shared	ok	24.0	32.0	0.7916666666666666	0.5	1.0	6.5140327525299355	0.13273891806602478	
synth_micro	0	test	zero_step_bioaction_encoder	transition_predicted_latent	ok	24.0	32.0	0.7916666666666666	0.5	1.0	7.106985184883762	0.13275641202926636	
synth_micro	0	test	zero_step_bioaction_encoder	rna_ema_teacher_target	ok	24.0	32.0	0.5	0.5	0.875	18.99519108223323	0.22491204738616943	
synth_micro	0	test	zero_step_bioaction_encoder	image_ema_teacher_target	ok	24.0	32.0	0.625	0.5	1.0	11.947280264477719	0.1646975427865982	
synth_micro	0	test	zero_step_bioaction_encoder	joint_ema_teacher_target	ok	24.0	32.0	0.4166666666666667	0.5	0.9583333333333333	18.497213631470302	0.13741418719291687	
synth_micro	0	test	zero_step_bioaction_encoder	transition_joint_ema_teacher_target	ok	24.0	32.0	0.4166666666666667	0.5	0.9583333333333333	18.497213631470302	0.13741418719291687	
synth_micro	0	test	EXP003_familyA_synth_micro	rna_online_z_shared	ok	24.0	32.0	0.8333333333333333	0.5	1.0	6.811245686712039	0.20890264213085175	
synth_micro	0	test	EXP003_familyA_synth_micro	image_online_z_shared	ok	24.0	32.0	0.9166666666666667	0.5	1.0	4.037929256993799	0.14185446500778198	
synth_micro	0	test	EXP003_familyA_synth_micro	joint_online_z_shared	ok	24.0	32.0	0.75	0.5	1.0	6.350375925529846	0.13370709121227264	
synth_micro	0	test	EXP003_familyA_synth_micro	transition_predicted_latent	ok	24.0	32.0	0.75	0.5	1.0	6.997304511915374	0.13360264897346497	
synth_micro	0	test	EXP003_familyA_synth_micro	rna_ema_teacher_target	ok	24.0	32.0	0.5	0.5	0.875	18.996078385963003	0.22457218170166016	
synth_micro	0	test	EXP003_familyA_synth_micro	image_ema_teacher_target	ok	24.0	32.0	0.6666666666666666	0.5	0.9583333333333333	12.010896019247635	0.16256943345069885	
synth_micro	0	test	EXP003_familyA_synth_micro	joint_ema_teacher_target	ok	24.0	32.0	0.4166666666666667	0.5	0.9583333333333333	18.48032026628039	0.13789066672325134	
synth_micro	0	test	EXP003_familyA_synth_micro	transition_joint_ema_teacher_target	ok	24.0	32.0	0.4166666666666667	0.5	0.9583333333333333	18.48032026628039	0.13789066672325134	
