dataset	seed	eval_split	reference	state	status	n	dim	batch_probe_balanced_accuracy	batch_probe_majority_accuracy	batch_probe_resub_balanced_accuracy	effective_rank	std_mean
synth_genetic_anchor_lite	0	test_heldout_perturbation	zero_step_bioaction_encoder	rna_online_z_shared	ok	27	32	0.7777777777777778	0.3333333333333333	1.0	17.226231945992495	0.19543468952178955
synth_genetic_anchor_lite	0	test_heldout_perturbation	zero_step_bioaction_encoder	image_online_z_shared	ok	27	32	0.2962962962962963	0.3333333333333333	0.9629629629629629	5.341269385008717	0.16975250840187073
synth_genetic_anchor_lite	0	test_heldout_perturbation	zero_step_bioaction_encoder	joint_online_z_shared	ok	27	32	0.6296296296296297	0.3333333333333333	1.0	14.455036193882528	0.13434845209121704
synth_genetic_anchor_lite	0	test_heldout_perturbation	zero_step_bioaction_encoder	transition_predicted_latent	ok	27	32	0.6666666666666666	0.3333333333333333	1.0	14.514124458676166	0.1342044621706009
synth_genetic_anchor_lite	0	test_heldout_perturbation	zero_step_bioaction_encoder	rna_ema_teacher_target	ok	27	32	0.40740740740740744	0.3333333333333333	0.9259259259259259	17.761186379571683	0.17023758590221405
synth_genetic_anchor_lite	0	test_heldout_perturbation	zero_step_bioaction_encoder	image_ema_teacher_target	ok	27	32	0.1111111111111111	0.3333333333333333	0.7407407407407408	7.501369748300245	0.16533198952674866
synth_genetic_anchor_lite	0	test_heldout_perturbation	zero_step_bioaction_encoder	joint_ema_teacher_target	ok	27	32	0.14814814814814814	0.3333333333333333	0.7407407407407408	14.849529861848266	0.12797684967517853
synth_genetic_anchor_lite	0	test_heldout_perturbation	zero_step_bioaction_encoder	transition_joint_ema_teacher_target	ok	27	32	0.14814814814814814	0.3333333333333333	0.7407407407407408	14.849529861848266	0.12797684967517853
synth_genetic_anchor_lite	1	test_heldout_perturbation	zero_step_bioaction_encoder	rna_online_z_shared	ok	27	32	0.7037037037037037	0.3333333333333333	1.0	16.778629307108254	0.20769990980625153
synth_genetic_anchor_lite	1	test_heldout_perturbation	zero_step_bioaction_encoder	image_online_z_shared	ok	27	32	0.2222222222222222	0.3333333333333333	0.8888888888888888	5.842132082103493	0.1693935990333557
