commit	experiment_num	family	tier_reached	status	primary_metric	secondary_metric	protected_metric_summary	architectural_change	description
0436cccd99a733fec6b57dfdb1fe1e6f4982922f	0	Step0	StageA	BASELINE_COMPLETE	exact_train_combo pearson_delta_all_mean=0.5458; pearson_delta_de20_mean=0.6508	exact_train_combo top20_de_overlap_mean=0.2393; mse_delta_all_mean=0.0030; mse_expression_de20_mean=0.3389	unseen_single direction_accuracy_de20_mean=0.7392; pearson_delta_all_mean=0.4983; prediction_delta_variance_ratio=0.0000	none	Norman Step 0 recomputed baseline: global_train_mean
0436cccd99a733fec6b57dfdb1fe1e6f4982922f	1	Step0	StageA	BASELINE_COMPLETE	exact_train_combo pearson_delta_all_mean=0.8981; pearson_delta_de20_mean=0.9652	exact_train_combo top20_de_overlap_mean=0.5750; mse_delta_all_mean=0.0016; mse_expression_de20_mean=0.0574	unseen_single direction_accuracy_de20_mean=0.7392; pearson_delta_all_mean=0.4983; prediction_delta_variance_ratio=0.0000	none	Norman Step 0 recomputed baseline: single_perturbation_additive
0436cccd99a733fec6b57dfdb1fe1e6f4982922f	2	Step0	StageA	BASELINE_COMPLETE	exact_train_combo pearson_delta_all_mean=0.5458; pearson_delta_de20_mean=0.6508	exact_train_combo top20_de_overlap_mean=0.2393; mse_delta_all_mean=0.0030; mse_expression_de20_mean=0.3389	unseen_single direction_accuracy_de20_mean=0.7392; pearson_delta_all_mean=0.4983; prediction_delta_variance_ratio=0.0000	none	Norman Step 0 recomputed baseline: family_n_condition_mean_table
0436cccd99a733fec6b57dfdb1fe1e6f4982922f	3	Step0	StageA	BASELINE_COMPLETE	exact_train_combo pearson_delta_all_mean=0.6413; pearson_delta_de20_mean=0.7472	exact_train_combo top20_de_overlap_mean=0.3429; mse_delta_all_mean=0.0031; mse_expression_de20_mean=0.2385	unseen_single direction_accuracy_de20_mean=0.7473; pearson_delta_all_mean=0.5058; prediction_delta_variance_ratio=0.0000	none	Norman Step 0 recomputed baseline: closed_form_pls_perturbation_readout
0436cccd99a733fec6b57dfdb1fe1e6f4982922f	4	Step0	Published	BASELINE_COMPLETE	published_overall pearson_de=0.556+/-0.030	published_overall mse=0.216+/-0.053; top20_de_overlap=not_reported	not subset-specific in published table	none	Immutable published comparator: GEARS published
0436cccd99a733fec6b57dfdb1fe1e6f4982922f	5	Step0	Published	BASELINE_COMPLETE	published_overall pearson_de=0.440+/-0.036	published_overall mse=0.354+/-0.049; top20_de_overlap=not_reported	not subset-specific in published table	none	Immutable published comparator: CPA Original published
0436cccd99a733fec6b57dfdb1fe1e6f4982922f	6	Step0	Published	BASELINE_COMPLETE	published_overall pearson_de=0.504+/-0.029	published_overall mse=0.333+/-0.046; top20_de_overlap=not_reported	not subset-specific in published table	none	Immutable published comparator: CPA + KG published
0436cccd99a733fec6b57dfdb1fe1e6f4982922f	7	Family A	Tier1	TIER1_DISCARD_NO_SIGNAL	exact_train_combo pearson_delta_all_mean=0.6919; pearson_delta_de20_mean=0.7657	exact_train_combo top20_de_overlap_mean=0.4357; mse_delta_all_mean=0.0021	unseen_single direction_accuracy_de20_mean=0.6351; pearson_delta_all_mean=0.2475; prediction_delta_variance_ratio=1.2996	Feature-conditioned perturbation bridge	Feature-conditioned perturbation bridge
0436cccd99a733fec6b57dfdb1fe1e6f4982922f	8	Family A	Tier1	TIER1_DISCARD_NO_SIGNAL	exact_train_combo pearson_delta_all_mean=0.6566; pearson_delta_de20_mean=0.7306	exact_train_combo top20_de_overlap_mean=0.4000; mse_delta_all_mean=0.0024	unseen_single direction_accuracy_de20_mean=0.6689; pearson_delta_all_mean=0.2920; prediction_delta_variance_ratio=0.7905	Feature-conditioned low-rank operator bridge	Feature-conditioned low-rank operator bridge
0436cccd99a733fec6b57dfdb1fe1e6f4982922f	9	Family B	Tier1	TIER1_DISCARD_NO_SIGNAL	exact_train_combo pearson_delta_all_mean=0.8981; pearson_delta_de20_mean=0.9652	exact_train_combo top20_de_overlap_mean=0.5750; mse_delta_all_mean=0.0016	unseen_single direction_accuracy_de20_mean=0.0000; pearson_delta_all_mean=nan; prediction_delta_variance_ratio=0.0000	Pure additive composition architecture	Pure additive architecture using train single perturbation deltas.
0436cccd99a733fec6b57dfdb1fe1e6f4982922f	10	Family B	Tier1	TIER1_DISCARD_NO_SIGNAL	exact_train_combo pearson_delta_all_mean=0.8922; pearson_delta_de20_mean=0.9657	exact_train_combo top20_de_overlap_mean=0.5893; mse_delta_all_mean=0.0013	unseen_single direction_accuracy_de20_mean=0.3730; pearson_delta_all_mean=-0.1511; prediction_delta_variance_ratio=0.0187	Additive plus bounded MLP interaction	Additive plus bounded MLP interaction
0436cccd99a733fec6b57dfdb1fe1e6f4982922f	11	Family B	Tier1	TIER1_DISCARD_NO_SIGNAL	exact_train_combo pearson_delta_all_mean=0.8940; pearson_delta_de20_mean=0.9665	exact_train_combo top20_de_overlap_mean=0.6036; mse_delta_all_mean=0.0015	unseen_single direction_accuracy_de20_mean=0.4095; pearson_delta_all_mean=-0.1212; prediction_delta_variance_ratio=0.0058	Additive plus low-rank interaction	Additive plus low-rank interaction
