split_seed	baseline	subset	condition	condition_label	perturbation_ids	pearson_delta_all	pearson_delta_de20	top20_de_overlap	mse_delta_all	mse_delta_de20	mse_expression_all	mse_expression_de20	direction_accuracy_de20	pred_delta_l2	true_delta_l2	de20_count
1	global_train_mean	all_test	CBL+PTPN9	double	CBL+PTPN9	0.677912235276249	0.9346398452853076	0.4	0.0036931668873876333	0.32196909189224243	0.0036931668873876333	0.32196909189224243	0.95	2.174917459487915	5.456664085388184	20
1	global_train_mean	all_test	MAP2K6+SPI1	double	MAP2K6+SPI1	0.520154406735445	0.7338193447379402	0.05	0.0016813843976706266	0.15119020640850067	0.0016813843976706266	0.15119020640850067	0.75	2.174917459487915	3.371445894241333	20
1	global_train_mean	all_test	UBASH3B+PTPN12	double	UBASH3B+PTPN12	0.6045914956756472	0.8950368928225649	0.3	0.004782795440405607	0.559583842754364	0.004782795440405607	0.559583842754364	0.9	2.174917459487915	5.897091865539551	20
1	global_train_mean	all_test	DUSP9+MAPK1	double	DUSP9+MAPK1	0.43528311024720473	0.6341311366159404	0.2	0.0016486726235598326	0.16876652836799622	0.0016486728563904762	0.16876652836799622	0.85	2.174917459487915	3.0798261165618896	20
1	global_train_mean	all_test	DUSP9+ETS2	double	DUSP9+ETS2	0.6073424448809212	0.7960127351603661	0.25	0.0026933697517961264	0.34996992349624634	0.0026933697517961264	0.34996992349624634	0.8	2.174917459487915	4.583201885223389	20
1	global_train_mean	all_test	ZNF318+FOXL2	double	ZNF318+FOXL2	0.7880246717322548	0.9073300299341966	0.45	0.0011576676042750478	0.07006892561912537	0.0011576676042750478	0.07006891816854477	0.9	2.174917459487915	3.716045618057251	20
1	global_train_mean	all_test	SET+CEBPE	double	SET+CEBPE	0.31773472443484313	0.1205305074488999	0.25	0.003857554169371724	0.4285682141780853	0.003857554169371724	0.4285682141780853	0.65	2.174917459487915	4.595219612121582	20
1	global_train_mean	all_test	KLF1+COL2A1	double	KLF1+COL2A1	0.2645937837422368	0.2524862137808806	0.1	0.00535210408270359	0.628608226776123	0.00535210408270359	0.628608226776123	0.7	2.174917459487915	5.340792655944824	20
1	global_train_mean	all_test	PTPN12+OSR2	double	PTPN12+OSR2	0.43034328171320674	0.5666380374940472	0.1	0.0012378488900139928	0.12176092714071274	0.0012378488900139928	0.12176092714071274	0.85	2.174917459487915	2.496819496154785	20
1	global_train_mean	all_test	BPGM+SAMD1	double	BPGM+SAMD1	0.6828801121324422	0.880303647079887	0.25	0.0038667835760861635	0.49891194701194763	0.0038667835760861635	0.49891194701194763	0.95	2.174917459487915	5.598025798797607	20
