split_seed	baseline	subset	condition_count	fit_metadata_json	pearson_delta_all_mean	pearson_delta_all_std	pearson_delta_de20_mean	pearson_delta_de20_std	top20_de_overlap_mean	top20_de_overlap_std	mse_delta_all_mean	mse_delta_all_std	mse_delta_de20_mean	mse_delta_de20_std	mse_expression_all_mean	mse_expression_all_std	mse_expression_de20_mean	mse_expression_de20_std	direction_accuracy_de20_mean	direction_accuracy_de20_std	prediction_delta_variance	true_delta_variance	prediction_delta_variance_ratio	mean_collapse_flag
1	A1_feature_bridge_mlp	all_test	116	"{""description"": ""Feature-conditioned perturbation bridge"", ""device"": ""cuda"", ""model_config"": {""dropout"": 0.0, ""feature_dim"": 140, ""gene_dim"": 5045, ""hidden_dim"": 64, ""operator_rank"": 0}, ""operator_gate_mean"": 1.0, ""operator_to_additive_ratio_final"": 0.0, ""operator_to_additive_ratio_post_gate"": 0.0, ""operator_to_additive_ratio_raw"": 0.0, ""train_conditions"": 68, ""train_loss_final"": 0.0008159104618243873, ""train_loss_initial"": 0.038459520787000656}"	0.4529791921693756	0.34346734885952157	0.5390988206164572	0.47524421563263836	0.27499999999999997	0.1742595171298969	0.006201256814729904	0.006672186128454368	0.29640249033651217	0.24015292174937394	0.0062012568307871895	0.006672186128086373	0.2964024890840439	0.2401529204732112	0.7801724137931034	0.23033701979333904	0.004549788311123848	0.004221964627504349	1.077647188582269	False
1	A1_feature_bridge_mlp	exact_train_combo	14	"{""description"": ""Feature-conditioned perturbation bridge"", ""device"": ""cuda"", ""model_config"": {""dropout"": 0.0, ""feature_dim"": 140, ""gene_dim"": 5045, ""hidden_dim"": 64, ""operator_rank"": 0}, ""operator_gate_mean"": 1.0, ""operator_to_additive_ratio_final"": 0.0, ""operator_to_additive_ratio_post_gate"": 0.0, ""operator_to_additive_ratio_raw"": 0.0, ""train_conditions"": 68, ""train_loss_final"": 0.0008159104618243873, ""train_loss_initial"": 0.038459520787000656}"	0.6918609229516994	0.1857980788702333	0.7656986411557607	0.2809172266533255	0.43571428571428567	0.16413036132965794	0.002149499295878091	0.0006746514770158195	0.13090339888419425	0.06400819685953964	0.0021494993291396114	0.0006746514794363259	0.1309033991502864	0.06400819650193657	0.9071428571428571	0.15795245991068557	0.0021884471643716097	0.002827439457178116	0.7740031917626831	False
1	A1_feature_bridge_mlp	unseen_single	37	"{""description"": ""Feature-conditioned perturbation bridge"", ""device"": ""cuda"", ""model_config"": {""dropout"": 0.0, ""feature_dim"": 140, ""gene_dim"": 5045, ""hidden_dim"": 64, ""operator_rank"": 0}, ""operator_gate_mean"": 1.0, ""operator_to_additive_ratio_final"": 0.0, ""operator_to_additive_ratio_post_gate"": 0.0, ""operator_to_additive_ratio_raw"": 0.0, ""train_conditions"": 68, ""train_loss_final"": 0.0008159104618243873, ""train_loss_initial"": 0.038459520787000656}"	0.24748888717702677	0.36789096973181007	0.22899098942195306	0.569277527991446	0.19999999999999996	0.1414213562373095	0.005047739403183899	0.004959177080223931	0.25363120592727856	0.1839882197542424	0.005047739403183899	0.004959177080223931	0.25363120492044333	0.18398821699358608	0.6351351351351351	0.26454061785527755	0.0031135922763496637	0.0023958832025527954	1.2995592911341232	False
1	A2_feature_bridge_rank2_operator	all_test	116	"{""description"": ""Feature-conditioned low-rank operator bridge"", ""device"": ""cuda"", ""model_config"": {""dropout"": 0.0, ""feature_dim"": 140, ""gene_dim"": 5045, ""hidden_dim"": 64, ""operator_rank"": 2}, ""operator_gate_mean"": 0.006902818568050861, ""operator_to_additive_ratio_final"": 0.49196958541870117, ""operator_to_additive_ratio_post_gate"": 0.49196958541870117, ""operator_to_additive_ratio_raw"": 0.49196958541870117, ""train_conditions"": 68, ""train_loss_final"": 0.0010613586055114865, ""train_loss_initial"": 0.12292309105396271}"	0.4469859722545188	0.3144130724604079	0.5487400552321283	0.4400335152406102	0.2676724137931034	0.16521333000522379	0.005867384785609641	0.005517071294714899	0.30106843433118075	0.24057737701101198	0.005867384788620382	0.005517071298845592	0.30106843516615955	0.24057737666791262	0.772844827586207	0.21419378123914334	0.0037654631305485964	0.004221964627504349	0.8918746277546158	False
1	A2_feature_bridge_rank2_operator	exact_train_combo	14	"{""description"": ""Feature-conditioned low-rank operator bridge"", ""device"": ""cuda"", ""model_config"": {""dropout"": 0.0, ""feature_dim"": 140, ""gene_dim"": 5045, ""hidden_dim"": 64, ""operator_rank"": 2}, ""operator_gate_mean"": 0.006902818568050861, ""operator_to_additive_ratio_final"": 0.49196958541870117, ""operator_to_additive_ratio_post_gate"": 0.49196958541870117, ""operator_to_additive_ratio_raw"": 0.49196958541870117, ""train_conditions"": 68, ""train_loss_final"": 0.0010613586055114865, ""train_loss_initial"": 0.12292309105396271}"	0.656582805427244	0.1835055355590912	0.7305896334810134	0.2742803303755435	0.4	0.15236235005501103	0.0023732053772878964	0.0010771210118097425	0.17082840550158704	0.1119873335328947	0.0023732053772878964	0.0010771210118097425	0.17082840550158704	0.1119873335328947	0.875	0.14729707590929483	0.0021041196305304766	0.002827439457178116	0.7441784916697959	False
1	A2_feature_bridge_rank2_operator	unseen_single	37	"{""description"": ""Feature-conditioned low-rank operator bridge"", ""device"": ""cuda"", ""model_config"": {""dropout"": 0.0, ""feature_dim"": 140, ""gene_dim"": 5045, ""hidden_dim"": 64, ""operator_rank"": 2}, ""operator_gate_mean"": 0.006902818568050861, ""operator_to_additive_ratio_final"": 0.49196958541870117, ""operator_to_additive_ratio_post_gate"": 0.49196958541870117, ""operator_to_additive_ratio_raw"": 0.49196958541870117, ""train_conditions"": 68, ""train_loss_final"": 0.0010613586055114865, ""train_loss_initial"": 0.12292309105396271}"	0.29202575002390974	0.30456574368131417	0.3210608739913428	0.5180677750266439	0.18648648648648647	0.11369033846650381	0.004279248631949461	0.003356415668680302	0.2581687232328428	0.18175959008209017	0.004279248628803101	0.003356415671236662	0.2581687228301087	0.18175958898484412	0.668918918918919	0.24532145248118828	0.0018939517904073	0.0023958832025527954	0.7905025538762944	False
1	B1_pure_additive_architecture	all_test	116	"{""description"": ""Pure additive architecture using train single perturbation deltas."", ""interaction_to_additive_ratio"": 0.0, ""train_single_genes"": 70}"	0.8981326200946061	0.04927011143218189	0.9651843852721764	0.022549959685574123	0.08448275862068966	0.1912316920585142	0.005844980969288435	0.005372117481106077	0.4865113927115654	0.4027860807845046	0.005844980969288435	0.005372117481106077	0.4865113925028207	0.4027860809885872	0.1206896551724138	0.32576626944295145	0.0008097955142147839	0.004221964627504349	0.19180537632629652	False
1	B1_pure_additive_architecture	exact_train_combo	14	"{""description"": ""Pure additive architecture using train single perturbation deltas."", ""interaction_to_additive_ratio"": 0.0, ""train_single_genes"": 70}"	0.8981326200946061	0.04927011143218189	0.9651843852721764	0.022549959685574123	0.5750000000000001	0.1191487665543734	0.0015967075596563518	0.000773893952436944	0.05744729789772204	0.037252819954052635	0.0015967075596563518	0.000773893952436944	0.057447296168122976	0.037252818316326416	1.0	0.0	0.004132666625082493	0.002827439457178116	1.4616286883139984	False
1	B1_pure_additive_architecture	unseen_single	37	"{""description"": ""Pure additive architecture using train single perturbation deltas."", ""interaction_to_additive_ratio"": 0.0, ""train_single_genes"": 70}"					0.02837837837837838	0.06528579637395222	0.0034048045046212202	0.0026515540891929165	0.3006599696504103	0.20696208241793337	0.0034048045046212202	0.0026515540891929165	0.3006599696504103	0.20696208241793337	0.0	0.0	0.0	0.0023958832025527954	0.0	True
1	B2_additive_bounded_interaction_mlp	all_test	116	"{""description"": ""Additive plus bounded MLP interaction"", ""device"": ""cuda"", ""eval_all_interaction_to_additive_ratio_max"": 749261120.0, ""eval_all_interaction_to_additive_ratio_mean"": 93979648.0, ""interaction_dominating"": false, ""interaction_scale"": 0.047957565635442734, ""model_config"": {""dropout"": 0.0, ""feature_dim"": 140, ""gene_dim"": 5045, ""hidden_dim"": 64, ""rank"": 0}, ""train_conditions"": 68, ""train_interaction_ratio_final"": 0.0749145895242691, ""train_loss_final"": 0.0001007603423204273, ""train_loss_initial"": 0.00032221697620116174}"	0.02876317059929088	0.4105087979686655	-0.016412615612971727	0.5439461592466512	0.1836206896551724	0.17881022762407256	0.006937308620324294	0.00920847639416278	0.539986717081147	0.5847814058354172	0.006937308583693611	0.009208476227913112	0.5399867240178945	0.5847814200655919	0.4922413793103449	0.2651937684778374	0.0011479348177090287	0.004221964627504349	0.27189588710211104	False
