split_seed	baseline	subset	condition	condition_label	perturbation_ids	pearson_delta_all	pearson_delta_de20	top20_de_overlap	mse_delta_all	mse_delta_de20	mse_expression_all	mse_expression_de20	direction_accuracy_de20	pred_delta_l2	true_delta_l2	de20_count
1	A1_feature_bridge_mlp	all_test	CBL+PTPN9	double	CBL+PTPN9	0.38909402935710813	0.6425064314400815	0.15	0.009026676416397095	0.38569843769073486	0.00902667548507452	0.38569843769073486	0.8	6.553041934967041	5.456664085388184	20
1	A1_feature_bridge_mlp	all_test	MAP2K6+SPI1	double	MAP2K6+SPI1	0.4958436692215498	0.734615358520648	0.2	0.05825763940811157	1.2328898906707764	0.05825763940811157	1.2328898906707764	0.8	18.55943489074707	3.371445894241333	20
1	A1_feature_bridge_mlp	all_test	UBASH3B+PTPN12	double	UBASH3B+PTPN12	0.5192601212363531	0.8490437144262796	0.3	0.0063753677532076836	0.34439367055892944	0.0063753677532076836	0.34439367055892944	0.75	5.588616371154785	5.897091865539551	20
1	A1_feature_bridge_mlp	all_test	DUSP9+MAPK1	double	DUSP9+MAPK1	0.31226127621467936	0.37138839650891736	0.3	0.0028344348538666964	0.2502308189868927	0.0028344348538666964	0.2502308189868927	0.7	3.3844637870788574	3.0798261165618896	20
1	A1_feature_bridge_mlp	all_test	DUSP9+ETS2	double	DUSP9+ETS2	0.6261241216799649	0.8059706165854789	0.3	0.0025260138791054487	0.28072458505630493	0.0025260138791054487	0.28072458505630493	0.95	3.026589870452881	4.583201885223389	20
1	A1_feature_bridge_mlp	all_test	ZNF318+FOXL2	double	ZNF318+FOXL2	0.5866074513410862	0.7934817909808553	0.35	0.0026996128726750612	0.08689373731613159	0.0026996128726750612	0.08689373731613159	0.9	4.315168380737305	3.716045618057251	20
1	A1_feature_bridge_mlp	all_test	SET+CEBPE	double	SET+CEBPE	0.21118434947335973	0.5374381431467206	0.15	0.0041824993677437305	0.3683900833129883	0.0041824993677437305	0.3683900833129883	0.75	1.947543740272522	4.595219612121582	20
1	A1_feature_bridge_mlp	all_test	KLF1+COL2A1	double	KLF1+COL2A1	0.3426342235144087	0.29141314095648363	0.2	0.005039665848016739	0.5561480522155762	0.005039665848016739	0.5561480522155762	0.75	2.4106178283691406	5.340792655944824	20
1	A1_feature_bridge_mlp	all_test	PTPN12+OSR2	double	PTPN12+OSR2	0.28036579840423104	0.3858257090180012	0.15	0.0207944605499506	0.36598557233810425	0.0207944605499506	0.36598557233810425	0.6	10.674766540527344	2.496819496154785	20
1	A1_feature_bridge_mlp	all_test	BPGM+SAMD1	double	BPGM+SAMD1	0.7542738760882634	0.8665480487169614	0.4	0.0027104620821774006	0.21259868144989014	0.0027104620821774006	0.21259868144989014	1.0	4.545607566833496	5.598025798797607	20
