aggregator	mode	split	stage	rows	dims	min_std	mean_std	rank	effective_rank	mean_norm	pairwise_cosine_mean	pairwise_cosine_std	collapse_flag	bio_latent_r2_from_train
attention	eval	train	rna_raw_cls	32	32	0.02000021825219251	0.04346430260641558	30	9.660700681323501	5.721387254596044	0.9976675226011297	0.0020410991676952962	False	0.7743834512013477
attention	eval	train	image_raw_cls	32	32	0.005121284233675164	0.011239778040374567	23	7.986564756449975	5.777152344533491	0.9998553050164607	0.00010356964920562255	True	0.968693527659465
attention	eval	train	rna_token_mean	32	32	0.007342052282730839	0.03288725012536871	30	6.245243203839557	2.47124459711059	0.9963941498939228	0.004177178584369541	True	0.8568227009953169
attention	eval	train	image_patch_mean	32	32	0.004704331323852696	0.0192941102849565	24	7.257684239378324	5.750869837181424	0.9995451309382722	0.00035948056078920296	True	0.9785010978667864
attention	eval	train	rna_projection_pre_norm	32	32	0.007704693091500487	0.020570121935531767	22	8.377658405216822	4.587839457729434	0.999321112622942	0.0005209968902464072	True	0.5369976352127397
attention	eval	train	image_projection_pre_norm	32	32	0.004054974536377024	0.013111674146654154	16	5.640443836401723	3.7344749136954416	0.9995257535523497	0.0003949942861380383	True	0.9458338097358016
attention	eval	train	rna_projection_norm_instance_mean	32	32	0.0018895028271551412	0.0042913874060470595	17	8.359486831346569	0.9993410869671847	0.9993201492164488	0.0005225041208476985	True	0.3590950087876241
attention	eval	train	image_projection_norm_instance_mean	32	32	0.0010789277399765576	0.003473562521894413	11	5.628448017545083	0.9999865045967011	0.9995257613781239	0.0003949889299666452	True	0.8400632494782948
attention	eval	train	rna_shared	32	32	0.003617351924300514	0.014083697612972157	20	7.651329838677061	5.690413265983437	0.9997640484697286	0.00019700721729424588	True	0.4766669819278945
attention	eval	train	image_shared	32	32	0.004568348486811233	0.012804642637948768	15	5.253571047110778	5.716783736238611	0.9997980135204094	0.00017606495672300982	True	0.9371633494886007
attention	eval	val	rna_raw_cls	32	32	0.03838588951779362	0.08465084956332061	31	9.131420520693451	5.734755880130363	0.9909350446202124	0.008862277897683858	False	-1.039687122886399
attention	eval	val	image_raw_cls	32	32	0.006239532920679043	0.01149592325978371	24	9.625763288863602	5.777192311304274	0.9998499403095497	0.00010282000132553206	True	0.9130773343018396
attention	eval	val	rna_token_mean	32	32	0.013989396425743579	0.05721025198250925	30	6.665856277579826	2.5019825724072136	0.9898578013640945	0.012021961950062908	False	0.09762786613430907
attention	eval	val	image_patch_mean	32	32	0.005450384995088474	0.019753114388380764	26	8.808294528492585	5.750776295923229	0.9995227587430249	0.00037643006698958746	True	0.9327446017449887
attention	eval	val	rna_projection_pre_norm	32	32	0.015153436655361506	0.03982882124703363	25	8.184873105210727	4.579980790870356	0.9974104771647432	0.002193403932240581	False	-0.5002138332775814
