probe	split	collapse_flag	pass_gate	rna_min_std	image_min_std	rna_mean_std	image_mean_std	rna_rank	image_rank	rna_bio_latent_r2	image_bio_latent_r2	batch_balanced_accuracy	batch_majority_accuracy	rna_to_image_recall@1	rna_to_image_recall@5	image_to_rna_recall@1	image_to_rna_recall@5	rna_to_image_median_rank
oracle_true_z_bio	train	False	False	0.21674326811228126	0.21674326811228126	0.3787950113355376	0.3787950113355376	16	16	0.9999940426803278	0.9999940426803278	0.34375	0.5	1.0	1.0	1.0	1.0	1.0
oracle_true_z_bio	val	False	False	0.2247737609430353	0.2247737609430353	0.3846557626370279	0.3846557626370279	16	16	0.9998823117374276	0.9998823117374276	0.3125	0.5	1.0	1.0	1.0	1.0	1.0
oracle_true_z_bio	test	False	True	0.22931905190894442	0.22931905190894442	0.3885737981742332	0.3885737981742332	16	16	0.9998627308576888	0.9998627308576888	0.40625	0.5	1.0	1.0	1.0	1.0	1.0
ridge_rna_to_image_pca	train	False	False	0.9840442662440263	0.9842509147862031	0.9841360985617243	0.9842509610465245	16	16	0.9992478578274709	0.9992477176361385	1.0	0.5	1.0	1.0	1.0	1.0	1.0
ridge_rna_to_image_pca	val	False	False	1.162660296297499	0.9456735069453044	1.3960017724001972	1.384745032976379	16	16	0.11094772412125964	0.985093185658342	0.625	0.5	0.1875	0.40625	0.1875	0.4375	8.5
ridge_rna_to_image_pca	test	False	True	0.9927178264935831	0.9677715043679221	1.2700592320714283	1.385792558618027	16	16	0.2509947534132413	0.9845138256659727	0.5625	0.5	0.125	0.53125	0.15625	0.46875	4.5
ridge_supervised_z_bio	train	False	False	0.21672142212816442	0.21673677081514095	0.3787770903098342	0.3787903477481404	16	16	0.9999940383889476	0.9999940033576561	0.34375	0.5	1.0	1.0	1.0	1.0	1.0
ridge_supervised_z_bio	val	False	False	0.31026864915456503	0.22168745277874086	0.4866565635815128	0.3799365824582829	16	16	0.11064336219412974	0.9879314416199856	0.46875	0.5	0.4375	0.71875	0.4375	0.78125	2.0
ridge_supervised_z_bio	test	False	True	0.24766395435274388	0.23150085777093607	0.4157491428643224	0.38807995946502666	16	16	0.2546792342010854	0.9866975560529095	0.46875	0.5	0.1875	0.53125	0.4375	0.5	5.0
pls_cross_covariance	train	False	False	1.6144277445854092	0.4172502502149969	6.285129715799366	10.971179494233708	16	16	0.9555432979163044	0.9990774025976861	1.0	0.5	0.875	0.96875	0.59375	0.90625	1.0
pls_cross_covariance	val	False	False	1.8312745775296944	0.36149603104575545	7.47234030669615	11.135387977243042	16	16	0.29895162625134497	0.9834812541652165	0.5625	0.5	0.375	0.625	0.40625	0.78125	3.5
pls_cross_covariance	test	False	True	1.4935360875606487	0.4945720141378777	6.484288186602404	11.391794040801102	16	16	0.3092790766924761	0.9826801564697057	0.59375	0.5	0.21875	0.5625	0.25	0.71875	5.0
regularized_cca	train	False	False	0.9837795108279085	0.9831931342796707	0.9840506602237771	0.9838741424178759	16	16	0.9991109341220548	0.9991115667361192	1.0	0.5	1.0	1.0	1.0	1.0	1.0
regularized_cca	val	False	False	0.9473581309683374	0.8905252804323035	1.377318335085739	1.3907813286644322	16	16	0.125208877595966	0.9846253827123808	0.625	0.5	0.15625	0.375	0.28125	0.4375	8.0
regularized_cca	test	False	False	0.8083439548212564	0.9435113119012037	1.2471952340440748	1.382020619937415	16	16	0.25733490869110953	0.9844042598017695	0.5625	0.5	0.09375	0.5	0.15625	0.46875	5.5
