probe	split	collapse_flag	pass_gate	rna_min_std	image_min_std	rna_mean_std	image_mean_std	rna_rank	image_rank	rna_bio_latent_r2	image_bio_latent_r2	batch_balanced_accuracy	batch_majority_accuracy	rna_to_image_recall@1	rna_to_image_recall@5	image_to_rna_recall@1	image_to_rna_recall@5	rna_to_image_median_rank
oracle_true_z_bio	train	False	False	0.21674326811228126	0.21674326811228126	0.3787950113355376	0.3787950113355376	16	16	0.9999940426803278	0.9999940426803278	0.34375	0.5	1.0	1.0	1.0	1.0	1.0
oracle_true_z_bio	val	False	False	0.2247737609430353	0.2247737609430353	0.3846557626370279	0.3846557626370279	16	16	0.9998823117374276	0.9998823117374276	0.3125	0.5	1.0	1.0	1.0	1.0	1.0
oracle_true_z_bio	test	False	True	0.22931905190894442	0.22931905190894442	0.3885737981742332	0.3885737981742332	16	16	0.9998627308576888	0.9998627308576888	0.40625	0.5	1.0	1.0	1.0	1.0	1.0
ridge_rna_to_image_pca	train	False	False	0.9841095808613923	0.9842509739783832	0.9841604272945448	0.9842509810875504	8	8	0.994986246225525	0.9949861159494824	1.0	0.5	1.0	1.0	1.0	1.0	1.0
ridge_rna_to_image_pca	val	False	False	1.162660296297499	0.9456735069453044	1.2820459716376744	1.0554125096728932	8	8	0.11116478059212653	0.9714861438329961	0.46875	0.5	0.28125	0.625	0.3125	0.5625	4.0
ridge_rna_to_image_pca	test	False	True	1.012677791183624	0.9677715043679221	1.1734800861971102	1.0767472553371782	8	8	0.2584576865157392	0.9692622931556577	0.53125	0.5	0.15625	0.34375	0.1875	0.4375	8.0
ridge_supervised_z_bio	train	False	False	0.21672142212816442	0.21673677081514095	0.3787770903098342	0.3787903477481404	16	16	0.9999940383889476	0.9999940033576561	0.34375	0.5	1.0	1.0	1.0	1.0	1.0
ridge_supervised_z_bio	val	False	False	0.31026864915456503	0.22168745277874086	0.4866565635815128	0.3799365824582829	16	16	0.11064336219412974	0.9879314416199856	0.46875	0.5	0.4375	0.71875	0.4375	0.78125	2.0
ridge_supervised_z_bio	test	False	True	0.24766395435274388	0.23150085777093607	0.4157491428643224	0.38807995946502666	16	16	0.2546792342010854	0.9866975560529095	0.46875	0.5	0.1875	0.53125	0.4375	0.5	5.0
pls_cross_covariance	train	False	False	2.441125623062799	1.760078403190701	10.567536380156588	21.21507820281414	8	8	0.9312194906166069	0.9949924928564693	1.0	0.5	0.71875	0.96875	0.59375	0.875	1.0
pls_cross_covariance	val	False	False	2.471871345475948	2.22661722039063	12.396028634945367	21.08245105981904	8	8	0.25818954249442194	0.9712119829271157	0.5	0.5	0.375	0.65625	0.375	0.8125	4.0
pls_cross_covariance	test	False	True	3.0800212162632143	2.2096285670213627	10.683912637982102	21.60716851105492	8	8	0.33566980450342276	0.969028552849547	0.5625	0.5	0.1875	0.5625	0.21875	0.75	5.0
regularized_cca	train	False	False	0.9020015846061606	0.9017824929529216	0.9645200291875056	0.9644123462870111	8	8	0.87301910593453	0.8962286797796343	0.90625	0.5	1.0	1.0	1.0	1.0	1.0
regularized_cca	val	False	False	0.8334984096809025	0.986086208419541	1.0884474105219484	1.23900919136466	8	8	0.20094600283837372	0.7712409230070608	0.5	0.5	0.09375	0.46875	0.03125	0.5	6.5
regularized_cca	test	False	True	0.7515549938905239	0.9628331463361204	1.001759253700285	1.2251336667556447	8	8	0.33918521734838647	0.7738025685221125	0.5	0.5	0.1875	0.4375	0.125	0.46875	7.0
