aggregator	bag_label	bag_size	split	stage_pair	rna_to_image_recall@1	rna_to_image_recall@5	image_to_rna_recall@1	image_to_rna_recall@5	rna_to_image_median_rank	image_to_rna_median_rank
attention	full_eval_bag	8	train	rna_instance_mean_vs_image_instance_mean	0.0625	0.1875	0.0625	0.25	15.0	9.0
attention	full_eval_bag	8	train	rna_shared_vs_image_shared	0.09375	0.28125	0.0625	0.1875	16.0	12.5
attention	full_eval_bag	8	train	rna_teacher_shared_vs_image_teacher_shared	0.0625	0.25	0.0625	0.25	15.5	13.0
attention	full_eval_bag	8	train	rna_state_vs_image_state	0.09375	0.28125	0.0625	0.1875	15.5	12.5
attention	full_eval_bag	8	val	rna_instance_mean_vs_image_instance_mean	0.0625	0.1875	0.0625	0.3125	15.0	10.5
attention	full_eval_bag	8	val	rna_shared_vs_image_shared	0.0625	0.25	0.0625	0.25	15.5	9.5
attention	full_eval_bag	8	val	rna_teacher_shared_vs_image_teacher_shared	0.0625	0.1875	0.0625	0.25	15.5	10.0
attention	full_eval_bag	8	val	rna_state_vs_image_state	0.09375	0.1875	0.0625	0.28125	18.0	9.5
attention	full_eval_bag	8	test	rna_instance_mean_vs_image_instance_mean	0.0625	0.21875	0.0625	0.3125	15.0	10.0
attention	full_eval_bag	8	test	rna_shared_vs_image_shared	0.0625	0.1875	0.0625	0.25	16.0	10.5
attention	full_eval_bag	8	test	rna_teacher_shared_vs_image_teacher_shared	0.0625	0.25	0.0625	0.1875	15.5	10.0
attention	full_eval_bag	8	test	rna_state_vs_image_state	0.09375	0.21875	0.0625	0.3125	12.0	11.0
attention	single_cell_bag	1	train	rna_instance_mean_vs_image_instance_mean	0.0625	0.25	0.0625	0.3125	14.5	9.5
attention	single_cell_bag	1	train	rna_shared_vs_image_shared	0.03125	0.28125	0.0625	0.28125	16.0	11.5
attention	single_cell_bag	1	train	rna_teacher_shared_vs_image_teacher_shared	0.0625	0.25	0.0625	0.3125	15.0	10.0
attention	single_cell_bag	1	train	rna_state_vs_image_state	0.125	0.21875	0.0625	0.3125	17.0	12.0
attention	single_cell_bag	1	val	rna_instance_mean_vs_image_instance_mean	0.0625	0.1875	0.0625	0.3125	15.0	10.5
attention	single_cell_bag	1	val	rna_shared_vs_image_shared	0.0625	0.25	0.0625	0.25	15.5	9.5
attention	single_cell_bag	1	val	rna_teacher_shared_vs_image_teacher_shared	0.0625	0.1875	0.0625	0.25	15.5	10.0
attention	single_cell_bag	1	val	rna_state_vs_image_state	0.09375	0.1875	0.0625	0.28125	18.0	9.5
attention	single_cell_bag	1	test	rna_instance_mean_vs_image_instance_mean	0.0625	0.21875	0.0625	0.3125	15.0	10.0
attention	single_cell_bag	1	test	rna_shared_vs_image_shared	0.0625	0.1875	0.0625	0.25	16.0	10.5
attention	single_cell_bag	1	test	rna_teacher_shared_vs_image_teacher_shared	0.0625	0.25	0.0625	0.1875	15.5	10.0
attention	single_cell_bag	1	test	rna_state_vs_image_state	0.09375	0.21875	0.0625	0.3125	12.0	11.0
mean	full_eval_bag	8	train	rna_instance_mean_vs_image_instance_mean	0.0625	0.21875	0.0625	0.25	16.5	11.0
mean	full_eval_bag	8	train	rna_shared_vs_image_shared	0.0625	0.1875	0.0625	0.1875	15.0	11.0
mean	full_eval_bag	8	train	rna_teacher_shared_vs_image_teacher_shared	0.0625	0.375	0.0625	0.1875	9.5	13.5
mean	full_eval_bag	8	train	rna_state_vs_image_state	0.0625	0.25	0.0625	0.3125	15.5	11.5
mean	full_eval_bag	8	val	rna_instance_mean_vs_image_instance_mean	0.0625	0.1875	0.0625	0.28125	16.0	11.0
mean	full_eval_bag	8	val	rna_shared_vs_image_shared	0.0625	0.1875	0.0625	0.3125	15.0	11.5
mean	full_eval_bag	8	val	rna_teacher_shared_vs_image_teacher_shared	0.09375	0.25	0.0625	0.3125	9.0	9.5
