aggregator	bag_label	bag_size	split	stage	rows	dims	min_std	mean_std	rank	effective_rank	top_singular	collapse_flag	bio_latent_r2_from_train	attention_entropy_mean	attention_max_weight_mean
attention	full_eval_bag	8	train	rna_instance_mean	32.0	32.0	0.0016445946976620638	0.0042823943960756915	17.0	8.362309883955021	0.11870708200399764	True	0.47433789972826823		
attention	full_eval_bag	8	train	image_instance_mean	32.0	32.0	0.001082366392030715	0.0035250025619306866	11.0	5.541916641753995	0.10743851457113332	True	0.8362452024824636		
attention	full_eval_bag	8	train	rna_shared	32.0	32.0	0.004003194758298998	0.014630849673398623	21.0	7.475359796034375	0.4251681182834814	True	0.5615460119215921		
attention	full_eval_bag	8	train	image_shared	32.0	32.0	0.004572789969625941	0.01299147403597421	15.0	5.146280349269797	0.4053363231146469	True	0.9325195065421901		
attention	full_eval_bag	8	train	rna_teacher_shared	32.0	32.0	0.009501399656461948	0.034294823735902334	21.0	7.377225040792878	1.1056334515090405	True	0.7062984837480988		
attention	full_eval_bag	8	train	image_teacher_shared	32.0	32.0	0.007443185093926937	0.020191219385563595	18.0	5.966099962090695	0.6040912118030345	True	0.9538643822876318		
attention	full_eval_bag	8	train	rna_state	32.0	32.0	0.001126245551191549	0.003372072693968905	10.0	5.437059153198333	0.09798598393767297	True	0.4336457380499138		
attention	full_eval_bag	8	train	image_state	32.0	32.0	0.0006881381569535509	0.0029725371052471967	7.0	4.041205336960328	0.09890550792538362	True	0.7542409308408391		
attention	full_eval_bag	8	train	z_state	32.0	32.0	0.0008878630621221539	0.001975874057615795	11.0	7.419367658090229	0.043584412923402795	True	0.5778860796362166		
attention	full_eval_bag	8	train	image_attention	2.0	0.0						False		2.079441547393799	0.1250019669532776
attention	full_eval_bag	8	train	rna_attention	2.0	0.0						False		2.079441547393799	0.1250172108411789
attention	full_eval_bag	8	val	rna_instance_mean	32.0	32.0	0.003920640844234654	0.008324370002433305	19.0	8.162184649415886	0.22089152224696654	True	-0.21729770868295728		
attention	full_eval_bag	8	val	image_instance_mean	32.0	32.0	0.001067974912043088	0.0034680583349092266	13.0	6.4148700951789595	0.10397605943584345	True	0.796089057729532		
attention	full_eval_bag	8	val	rna_shared	32.0	32.0	0.005871314007378819	0.027729215847802004	22.0	7.345239614652361	0.8017685115679846	True	-0.5281893751870594		
attention	full_eval_bag	8	val	image_shared	32.0	32.0	0.00435797522525892	0.012643081038644583	17.0	5.941194886273651	0.38451786547043276	True	0.8667713798417501		
attention	full_eval_bag	8	val	rna_teacher_shared	32.0	32.0	0.014467933519016762	0.061241955329504105	24.0	7.2880053340982265	1.990796613308625	False	-0.5908263234700113		
attention	full_eval_bag	8	val	image_teacher_shared	32.0	32.0	0.006466839673986576	0.020238666859977453	20.0	6.922362388927505	0.5897822858960986	True	0.8792858222302324		
attention	full_eval_bag	8	val	rna_state	32.0	32.0	0.0026721344722504255	0.006328240032196135	12.0	5.5322819282300335	0.17216104977896257	True	-0.17997658794348514		
attention	full_eval_bag	8	val	image_state	32.0	32.0	0.0007407661906796633	0.0028287194623334436	9.0	4.589709692795789	0.08931627252059117	True	0.7256868556239742		
attention	full_eval_bag	8	val	z_state	32.0	32.0	0.001509894278086911	0.0031554882957995295	12.0	7.340120156485834	0.07902881648329675	True	0.3954009408482565		
attention	full_eval_bag	8	val	image_attention	2.0	0.0						False		2.079441547393799	0.125
attention	full_eval_bag	8	val	rna_attention	2.0	0.0						False		2.079441547393799	0.125
attention	full_eval_bag	8	test	rna_instance_mean	32.0	32.0	0.003424323318194387	0.007168764107071422	19.0	8.891961825785941	0.1579368640673266	True	-0.21947837809386872		
attention	full_eval_bag	8	test	image_instance_mean	32.0	32.0	0.0012075211543719057	0.0034831730932046957	13.0	6.473160946897038	0.10436073248034793	True	0.7888086188200887		
attention	full_eval_bag	8	test	rna_shared	32.0	32.0	0.00714595651573954	0.024252981572351243	22.0	7.997989503765289	0.6039162727396705	True	-0.7141798160441284		
attention	full_eval_bag	8	test	image_shared	32.0	32.0	0.004709863943335591	0.012776075533132657	16.0	5.95537134813595	0.38972347113461864	True	0.8876805729627555		
attention	full_eval_bag	8	test	rna_teacher_shared	32.0	32.0	0.017394664805637967	0.05221384008891346	24.0	8.265301331551303	1.4716017805233552	False	-0.33849176552867166		
attention	full_eval_bag	8	test	image_teacher_shared	32.0	32.0	0.007899059580862426	0.020542225634284268	20.0	7.043884075729965	0.5835393851259936	True	0.8975506436205084		
attention	full_eval_bag	8	test	rna_state	32.0	32.0	0.0021084420686921933	0.0057044277637358955	12.0	5.678709976248618	0.14672243187049527	True	-0.22048573182538145		
attention	full_eval_bag	8	test	image_state	32.0	32.0	0.0006548748169857973	0.0029008450202064164	9.0	4.565003020418753	0.09506677613160167	True	0.707630573549082		
attention	full_eval_bag	8	test	z_state	32.0	32.0	0.0013774269166282902	0.0030737649877523184	12.0	7.236446081127476	0.07406273671197712	True	0.44815447810995257		
attention	full_eval_bag	8	test	image_attention	2.0	0.0						False		2.079441547393799	0.125
attention	full_eval_bag	8	test	rna_attention	2.0	0.0						False		2.079441547393799	0.125
attention	single_cell_bag	1	train	rna_instance_mean	32.0	32.0	0.002826404299709493	0.0077225799095616806	19.0	8.395048570555671	0.1891965870908401	True	0.3392709608766763		
attention	single_cell_bag	1	train	image_instance_mean	32.0	32.0	0.0013015777221709452	0.003639055641722508	14.0	6.3125733611077495	0.10746494687382567	True	0.8201412368637553		
attention	single_cell_bag	1	train	rna_shared	32.0	32.0	0.0066718757166602215	0.025285493665570077	21.0	7.685983067497421	0.6542363759570043	True	0.40536656537754157		
attention	single_cell_bag	1	train	image_shared	32.0	32.0	0.0053204799398321855	0.013485726072184435	17.0	5.798418519356831	0.40985959410960177	True	0.9168336743812057		
attention	single_cell_bag	1	train	rna_teacher_shared	32.0	32.0	0.014133022983048714	0.05365512702770466	23.0	7.928564930089437	1.7199087954107444	False	0.5669253419450004		
attention	single_cell_bag	1	train	image_teacher_shared	32.0	32.0	0.008216323443362896	0.021420048508492814	20.0	6.90245996321453	0.605680575662302	True	0.9311925176575985		
attention	single_cell_bag	1	train	rna_state	32.0	32.0	0.002429200167928535	0.005903034121677829	12.0	5.627105437762937	0.16082561589350167	True	0.2776041385819854		
attention	single_cell_bag	1	train	image_state	32.0	32.0	0.000697116280579736	0.003078295909755128	8.0	4.500293162141406	0.1006142351411295	True	0.7510473547145069		
attention	single_cell_bag	1	train	z_state	32.0	32.0	0.0016611188241168644	0.0031965131440600883	12.0	7.370082117839386	0.07601747027545842	True	0.5250621310501835		
attention	single_cell_bag	1	train	image_attention	2.0	0.0						False		0.0	1.0
attention	single_cell_bag	1	train	rna_attention	2.0	0.0						False		0.0	1.0
attention	single_cell_bag	1	val	rna_instance_mean	32.0	32.0	0.0039206413486168315	0.008324369993825614	19.0	8.162182430722565	0.22089151712362531	True	0.13072492824351267		
attention	single_cell_bag	1	val	image_instance_mean	32.0	32.0	0.0010679745848231354	0.003468058250178075	13.0	6.414871966275212	0.10397604498494684	True	0.7905962414172563		
attention	single_cell_bag	1	val	rna_shared	32.0	32.0	0.005871318337692933	0.027729218514061148	22.0	7.345245589955755	0.801768604900343	True	0.10531987324528091		
attention	single_cell_bag	1	val	image_shared	32.0	32.0	0.0043579780514276	0.01264308006555141	17.0	5.941224667794577	0.3845178495695377	True	0.8590034285793534		
attention	single_cell_bag	1	val	rna_teacher_shared	32.0	32.0	0.014467947039007115	0.06124195549939322	24.0	7.288004177689481	1.9907965132315177	False	-0.08494363245713243		
attention	single_cell_bag	1	val	image_teacher_shared	32.0	32.0	0.006466842599904178	0.020238666054257753	20.0	6.922357012944248	0.589782327909901	True	0.8764785608153032		
attention	single_cell_bag	1	val	rna_state	32.0	32.0	0.0026721452615468683	0.006328242829965155	12.0	5.532297385868957	0.17216124461460983	True	0.14220305796546062		
attention	single_cell_bag	1	val	image_state	32.0	32.0	0.0007407741492575762	0.0028287190136042618	9.0	4.5897964759945244	0.08931625122419366	True	0.7250826255867501		
attention	single_cell_bag	1	val	z_state	32.0	32.0	0.0015098990700829367	0.003155489714699533	12.0	7.340116313725151	0.07902891791350614	True	0.4447600121214148		
attention	single_cell_bag	1	val	image_attention	2.0	0.0						False		0.0	1.0
attention	single_cell_bag	1	val	rna_attention	2.0	0.0						False		0.0	1.0
attention	single_cell_bag	1	test	rna_instance_mean	32.0	32.0	0.003424326525890582	0.007168764804854657	19.0	8.891957892578223	0.15793687149708235	True	0.06981145076496276		
attention	single_cell_bag	1	test	image_instance_mean	32.0	32.0	0.0012075213963870664	0.003483173375935517	13.0	6.473169049535013	0.10436073958937381	True	0.7822554726123964		
attention	single_cell_bag	1	test	rna_shared	32.0	32.0	0.007145955866303434	0.024252985244609383	22.0	7.997995979488397	0.6039163348318894	True	0.003040876558218053		
attention	single_cell_bag	1	test	image_shared	32.0	32.0	0.004709865621246611	0.012776076724716184	16.0	5.955339550008178	0.3897234490007646	True	0.8801210601764962		
attention	single_cell_bag	1	test	rna_teacher_shared	32.0	32.0	0.017394645592152393	0.0522138424448217	24.0	8.265301544374115	1.4716017484790258	False	-0.3561426587101346		
attention	single_cell_bag	1	test	image_teacher_shared	32.0	32.0	0.007899063352892751	0.020542225821943632	20.0	7.043901948530966	0.5835393030897267	True	0.8946606998103976		
attention	single_cell_bag	1	test	rna_state	32.0	32.0	0.0021084408324775444	0.005704433077419306	12.0	5.678689952007468	0.14672254160134504	True	0.14421563727863462		
attention	single_cell_bag	1	test	image_state	32.0	32.0	0.0006548820921055	0.002900847579015631	9.0	4.565004146008574	0.0950667788671039	True	0.7082845100721586		
attention	single_cell_bag	1	test	z_state	32.0	32.0	0.0013774198759571566	0.0030737670073410755	12.0	7.2364654565486175	0.07406280439792927	True	0.4445121824919198		
attention	single_cell_bag	1	test	image_attention	2.0	0.0						False		0.0	1.0
attention	single_cell_bag	1	test	rna_attention	2.0	0.0						False		0.0	1.0
mean	full_eval_bag	8	train	rna_instance_mean	32.0	32.0	0.0014666588220877278	0.006300679338367644	16.0	5.146022972233631	0.2223327240401944	True	0.5030695161504423		
mean	full_eval_bag	8	train	image_instance_mean	32.0	32.0	0.0005671973298997366	0.0023807777751736247	10.0	4.8346093312422065	0.08151933006755538	True	0.7403016299582734		
mean	full_eval_bag	8	train	rna_shared	32.0	32.0	0.009096376410019456	0.03511878925361157	22.0	5.165068112733641	1.238589552803518	True	0.6597611209020433		
mean	full_eval_bag	8	train	image_shared	32.0	32.0	0.004226093608387726	0.013472806365870088	15.0	4.845232369394955	0.4562937031521968	True	0.9330585662388292		
mean	full_eval_bag	8	train	rna_teacher_shared	32.0	32.0	0.017403838279810513	0.052797407885043814	24.0	7.378535554586605	1.7307834225543675	False	0.7385173106310128		
mean	full_eval_bag	8	train	image_teacher_shared	32.0	32.0	0.013381564562340674	0.03562258074806983	20.0	5.719487164901584	1.1074662418467192	False	0.9662650175507543		
mean	full_eval_bag	8	train	rna_state	32.0	32.0	0.0008333378449283518	0.007034982618175461	12.0	3.766616854621934	0.26460575992775925	True	0.4574429409483266		
mean	full_eval_bag	8	train	image_state	32.0	32.0	0.0006130900934080056	0.002101864885418318	8.0	4.640863286198913	0.06626862224287565	True	0.7299824411132343		
mean	full_eval_bag	8	train	z_state	32.0	32.0	0.0005828424270488063	0.0036496764516432585	13.0	4.987157438961221	0.12818827960269186	True	0.5825056455182798		
mean	full_eval_bag	8	train	image_attention	2.0	0.0						False		2.079441547393799	0.125
mean	full_eval_bag	8	train	rna_attention	2.0	0.0						False		2.079441547393799	0.125
mean	full_eval_bag	8	val	rna_instance_mean	32.0	32.0	0.0025156722671327973	0.011686523123401639	18.0	5.234727998769092	0.4101634847097286	True	-0.22290705956077783		
mean	full_eval_bag	8	val	image_instance_mean	32.0	32.0	0.0006337820473762902	0.002383311585203605	12.0	5.602834225734757	0.08140760757216828	True	0.7138287775420828		
mean	full_eval_bag	8	val	rna_shared	32.0	32.0	0.016147458922621087	0.06525772601432248	24.0	5.216061413183865	2.288530011937392	False	-0.9070626070689227		
mean	full_eval_bag	8	val	image_shared	32.0	32.0	0.0048110886491632135	0.013453975671377457	16.0	5.627201718373449	0.45493043001685485	True	0.8800309771382686		
mean	full_eval_bag	8	val	rna_teacher_shared	32.0	32.0	0.0327375326416916	0.09261711735841754	26.0	7.458974266143577	3.1001938148978097	False	-0.861943719969746		
mean	full_eval_bag	8	val	image_teacher_shared	32.0	32.0	0.013178886011777578	0.0361336194420988	21.0	6.604872835783666	1.1049719941967542	False	0.8997134511770444		
mean	full_eval_bag	8	val	rna_state	32.0	32.0	0.002076682117401221	0.012722633977042135	14.0	3.8307846900506153	0.48357177833861664	True	-0.16659179022003512		
mean	full_eval_bag	8	val	image_state	32.0	32.0	0.0007682914047609045	0.0021570023230684937	9.0	5.2038795987043045	0.06665150181428411	True	0.7123304184122072		
mean	full_eval_bag	8	val	z_state	32.0	32.0	0.0010504641386882528	0.0065000075706285335	14.0	4.707020000501233	0.2384293929766112	True	0.2898214569710884		
mean	full_eval_bag	8	val	image_attention	2.0	0.0						False		2.079441547393799	0.125
mean	full_eval_bag	8	val	rna_attention	2.0	0.0						False		2.079441547393799	0.125
mean	full_eval_bag	8	test	rna_instance_mean	32.0	32.0	0.002763725497278377	0.008577120004533458	19.0	6.617736034215135	0.2825468194206845	True	-0.19098920721584145		
mean	full_eval_bag	8	test	image_instance_mean	32.0	32.0	0.0006951418824716456	0.0023954698650659077	11.0	5.585822542627066	0.08020061312073334	True	0.6973476063359572		
mean	full_eval_bag	8	test	rna_shared	32.0	32.0	0.012326632030573995	0.04774921805615616	24.0	6.6130778591723995	1.5703275078995476	False	-0.9302955874910603		
mean	full_eval_bag	8	test	image_shared	32.0	32.0	0.0051216656531887185	0.013565652865247906	17.0	5.5917031284208445	0.44914003843274974	True	0.8946596577525692		
mean	full_eval_bag	8	test	rna_teacher_shared	32.0	32.0	0.0314605928225328	0.07579582850194089	26.0	8.736620145592905	2.1896203520019943	False	-0.4677015040596484		
mean	full_eval_bag	8	test	image_teacher_shared	32.0	32.0	0.014635629613543399	0.03606425584442529	22.0	6.716977033740472	1.0809439186983771	False	0.9092448607170083		
mean	full_eval_bag	8	test	rna_state	32.0	32.0	0.0017391321037641377	0.009490339699129671	14.0	4.657694522775585	0.34137963371715857	True	-0.1311904207764134		
mean	full_eval_bag	8	test	image_state	32.0	32.0	0.0006419015834522305	0.0021144738582870937	9.0	5.214608529904183	0.06452661678080755	True	0.6925608306298268		
