commit	experiment_num	family	candidate_name	tier_reached	decision_label	device_used	wallclock_minutes	max_gpu_memory_gb	synth_micro_recall1	synth_easy_recall1	synth_medium_recall1	synth_easy_cf_dir_acc	synth_medium_cf_dir_acc	heldout_pert_cf_dir_acc	batch_confound_batch_leakage	batch_confound_recall1	dose_extrap_logfc_corr	bio_latent_r2	representation_rank	delta_norm_ratio	cap_bound	collapse_flag	architecture_change	description
0436cccd99a733fec6b57dfdb1fe1e6f4982922f	1	A	variance_0p001	Tier 1 micro	TIER1_DISCARD_MODE_COLLAPSE	cpu	0.286	0.0	0.0625									-0.635193	23.0	0.485402	False	True	shared_variance_weight	Variance floor anti-collapse probe.
0436cccd99a733fec6b57dfdb1fe1e6f4982922f	2	A	variance_0p002	Tier 1 micro	TIER1_DISCARD_MODE_COLLAPSE	cpu	0.241	0.0	0.0625									-0.637859	23.0	0.485407	False	True	shared_variance_weight	Variance floor anti-collapse probe.
0436cccd99a733fec6b57dfdb1fe1e6f4982922f	3	A	variance_0p005	Tier 1 micro	TIER1_DISCARD_MODE_COLLAPSE	cpu	0.281	0.0	0.0625									-0.642032	23.0	0.485337	False	True	shared_variance_weight	Variance floor anti-collapse probe.
0436cccd99a733fec6b57dfdb1fe1e6f4982922f	4	A	variance_0p01	Tier 1 micro	TIER1_DISCARD_MODE_COLLAPSE	cpu	0.282	0.0	0.0625									-0.648513	23.0	0.485232	False	True	shared_variance_weight	Variance floor anti-collapse probe.
0436cccd99a733fec6b57dfdb1fe1e6f4982922f	5	A	variance_0p02	Tier 1 micro	TIER1_DISCARD_MODE_COLLAPSE	cpu	0.273	0.0	0.0625									-0.661046	23.0	0.485155	False	True	shared_variance_weight	Variance floor anti-collapse probe.
0436cccd99a733fec6b57dfdb1fe1e6f4982922f	6	A	variance_0p05	Tier 1 micro	TIER1_DISCARD_MODE_COLLAPSE	cpu	0.284	0.0	0.0625									-0.703443	23.0	0.484528	False	True	shared_variance_weight	Variance floor anti-collapse probe.
0436cccd99a733fec6b57dfdb1fe1e6f4982922f	7	A	variance_0p1	Tier 1 micro	TIER1_DISCARD_MODE_COLLAPSE	cpu	0.254	0.0	0.0625									-0.774187	23.0	0.483966	False	True	shared_variance_weight	Variance floor anti-collapse probe.
0436cccd99a733fec6b57dfdb1fe1e6f4982922f	8	G	covariance_0p001	Tier 1 micro	TIER1_DISCARD_MODE_COLLAPSE	cpu	0.268	0.0	0.0625									-0.599929	22.0	0.487796	False	True	shared_covariance_weight	VICReg-style off-diagonal covariance penalty.
0436cccd99a733fec6b57dfdb1fe1e6f4982922f	9	G	covariance_0p005	Tier 1 micro	TIER1_DISCARD_MODE_COLLAPSE	cpu	0.268	0.0	0.0									-0.619014	23.0	0.489277	False	True	shared_covariance_weight	VICReg-style off-diagonal covariance penalty.
0436cccd99a733fec6b57dfdb1fe1e6f4982922f	10	G	covariance_0p01	Tier 1 micro	TIER1_DISCARD_MODE_COLLAPSE	cpu	0.276	0.0	0.0625									-0.712589	24.0	0.494012	False	True	shared_covariance_weight	VICReg-style off-diagonal covariance penalty.
0436cccd99a733fec6b57dfdb1fe1e6f4982922f	11	G	covariance_0p02	Tier 1 micro	TIER1_DISCARD_MODE_COLLAPSE	cpu	0.284	0.0	0.0625									-0.819464	24.0	0.50152	False	True	shared_covariance_weight	VICReg-style off-diagonal covariance penalty.
0436cccd99a733fec6b57dfdb1fe1e6f4982922f	12	G	covariance_0p05	Tier 1 micro	TIER1_DISCARD_MODE_COLLAPSE	cpu	0.277	0.0	0.0625									-0.887097	24.0	0.532309	False	True	shared_covariance_weight	VICReg-style off-diagonal covariance penalty.
0436cccd99a733fec6b57dfdb1fe1e6f4982922f	13	G	crosscorr_0p001	Tier 1 micro	TIER1_DISCARD_MODE_COLLAPSE	cpu	0.277	0.0	0.0625									-0.63466	23.0	0.486699	False	True	cross_correlation_weight	Barlow-style RNA/image cross-correlation identity penalty.
0436cccd99a733fec6b57dfdb1fe1e6f4982922f	14	G	crosscorr_0p005	Tier 1 micro	TIER1_DISCARD_MODE_COLLAPSE	cpu	0.269	0.0	0.0625									-0.65137	23.0	0.488041	False	True	cross_correlation_weight	Barlow-style RNA/image cross-correlation identity penalty.
0436cccd99a733fec6b57dfdb1fe1e6f4982922f	15	G	crosscorr_0p01	Tier 1 micro	TIER1_DISCARD_MODE_COLLAPSE	cpu	0.281	0.0	0.0625									-0.705172	23.0	0.490245	False	True	cross_correlation_weight	Barlow-style RNA/image cross-correlation identity penalty.
0436cccd99a733fec6b57dfdb1fe1e6f4982922f	16	G	crosscorr_0p02	Tier 1 micro	TIER1_DISCARD_MODE_COLLAPSE	cpu	0.276	0.0	0.0625									-0.808654	23.0	0.494575	False	True	cross_correlation_weight	Barlow-style RNA/image cross-correlation identity penalty.
0436cccd99a733fec6b57dfdb1fe1e6f4982922f	17	G	crosscorr_0p05	Tier 1 micro	TIER1_DISCARD_MODE_COLLAPSE	cpu	0.259	0.0	0.03125									-1.030214	24.0	0.509526	False	True	cross_correlation_weight	Barlow-style RNA/image cross-correlation identity penalty.
0436cccd99a733fec6b57dfdb1fe1e6f4982922f	18	G	var_0p001_cov_0p001	Tier 1 micro	TIER1_DISCARD_MODE_COLLAPSE	cpu	0.197	0.0	0.0625									-0.601228	22.0	0.487726	False	True	variance_covariance_combo	Combined VICReg-lite variance and covariance probe.
0436cccd99a733fec6b57dfdb1fe1e6f4982922f	19	G	var_0p005_cov_0p005	Tier 1 micro	TIER1_DISCARD_MODE_COLLAPSE	cpu	0.259	0.0	0.0									-0.624681	23.0	0.489267	False	True	variance_covariance_combo	Combined VICReg-lite variance and covariance probe.
0436cccd99a733fec6b57dfdb1fe1e6f4982922f	20	G	var_0p01_cov_0p005	Tier 1 micro	TIER1_DISCARD_MODE_COLLAPSE	cpu	0.208	0.0	0.0									-0.631384	23.0	0.489145	False	True	variance_covariance_combo	Combined VICReg-lite variance and covariance probe.
0436cccd99a733fec6b57dfdb1fe1e6f4982922f	21	G	var_0p005_cov_0p01	Tier 1 micro	TIER1_DISCARD_MODE_COLLAPSE	cpu	0.175	0.0	0.0625									-0.716704	24.0	0.493905	False	True	variance_covariance_combo	Combined VICReg-lite variance and covariance probe.
0436cccd99a733fec6b57dfdb1fe1e6f4982922f	22	G	var_0p02_cov_0p01	Tier 1 micro	TIER1_DISCARD_MODE_COLLAPSE	cpu	0.188	0.0	0.0625									-0.727272	24.0	0.49358	False	True	variance_covariance_combo	Combined VICReg-lite variance and covariance probe.
0436cccd99a733fec6b57dfdb1fe1e6f4982922f	23	A	ema_0p9	Tier 1 micro	TIER1_DISCARD_MODE_COLLAPSE	cpu	0.199	0.0	0.0625									-0.632719	23.0	0.48521	False	True	ema_decay	EMA target speed probe.
0436cccd99a733fec6b57dfdb1fe1e6f4982922f	24	A	ema_0p95	Tier 1 micro	TIER1_DISCARD_MODE_COLLAPSE	cpu	0.185	0.0	0.0625									-0.633061	23.0	0.48531	False	True	ema_decay	EMA target speed probe.
0436cccd99a733fec6b57dfdb1fe1e6f4982922f	25	A	ema_0p98	Tier 1 micro	TIER1_DISCARD_MODE_COLLAPSE	cpu	0.192	0.0	0.0625									-0.633316	23.0	0.485379	False	True	ema_decay	EMA target speed probe.
0436cccd99a733fec6b57dfdb1fe1e6f4982922f	26	A	ema_0p99	Tier 1 micro	TIER1_DISCARD_MODE_COLLAPSE	cpu	0.184	0.0	0.0625									-0.633392	23.0	0.485403	False	True	ema_decay	EMA target speed probe.
0436cccd99a733fec6b57dfdb1fe1e6f4982922f	27	A	ema_0p992	Tier 1 micro	TIER1_DISCARD_MODE_COLLAPSE	cpu	0.182	0.0	0.0625									-0.633421	23.0	0.485408	False	True	ema_decay	EMA target speed probe.
0436cccd99a733fec6b57dfdb1fe1e6f4982922f	28	A	ema_0p999	Tier 1 micro	TIER1_DISCARD_MODE_COLLAPSE	cpu	0.182	0.0	0.0625									-0.63346	23.0	0.485425	False	True	ema_decay	EMA target speed probe.
0436cccd99a733fec6b57dfdb1fe1e6f4982922f	29	B	mean_p1	Tier 1 micro	TIER1_DISCARD_BATCH_LEAKAGE	cpu	0.177	0.0	0.0625									-1.026594	24.0	0.570098	False	False	bag_aggregator_capacity	Bag pooling/capacity probe.
0436cccd99a733fec6b57dfdb1fe1e6f4982922f	30	B	mean_p2	Tier 1 micro	TIER1_DISCARD_BATCH_LEAKAGE	cpu	0.216	0.0	0.0625									-1.026566	24.0	0.570097	False	False	bag_aggregator_capacity	Bag pooling/capacity probe.
0436cccd99a733fec6b57dfdb1fe1e6f4982922f	31	B	mean_p4	Tier 1 micro	TIER1_DISCARD_BATCH_LEAKAGE	cpu	0.26	0.0	0.0625									-1.026588	24.0	0.570098	False	False	bag_aggregator_capacity	Bag pooling/capacity probe.
0436cccd99a733fec6b57dfdb1fe1e6f4982922f	32	B	attention_p1	Tier 1 micro	TIER1_DISCARD_MODE_COLLAPSE	cpu	0.278	0.0	0.0625									-0.405081	22.0	0.51683	False	True	bag_aggregator_capacity	Bag pooling/capacity probe.
0436cccd99a733fec6b57dfdb1fe1e6f4982922f	33	B	attention_p3	Tier 1 micro	TIER1_DISCARD_MODE_COLLAPSE	cpu	0.284	0.0	0.0625									-0.656676	23.0	0.79839	False	True	bag_aggregator_capacity	Bag pooling/capacity probe.
0436cccd99a733fec6b57dfdb1fe1e6f4982922f	34	B	attention_p4	Tier 1 micro	TIER1_DISCARD_MODE_COLLAPSE	cpu	0.293	0.0	0.0625									-0.819628	22.0	0.524482	False	True	bag_aggregator_capacity	Bag pooling/capacity probe.
0436cccd99a733fec6b57dfdb1fe1e6f4982922f	35	H	dropout_0p0	Tier 1 micro	TIER1_DISCARD_MODE_COLLAPSE	cpu	0.255	0.0	0.0625									-0.816579	22.0	0.484107	False	True	dropout	Small-model dropout regularization probe.
0436cccd99a733fec6b57dfdb1fe1e6f4982922f	36	H	dropout_0p02	Tier 1 micro	TIER1_DISCARD_MODE_COLLAPSE	cpu	0.258	0.0	0.0625									-0.511081	23.0	0.484021	False	True	dropout	Small-model dropout regularization probe.
0436cccd99a733fec6b57dfdb1fe1e6f4982922f	37	H	dropout_0p1	Tier 1 micro	TIER1_DISCARD_MODE_COLLAPSE	cpu	0.285	0.0	0.0625									-0.678608	23.0	0.485314	False	True	dropout	Small-model dropout regularization probe.
0436cccd99a733fec6b57dfdb1fe1e6f4982922f	38	H	dropout_0p2	Tier 1 micro	TIER1_DISCARD_MODE_COLLAPSE	cpu	0.263	0.0	0.0625									-0.907321	24.0	0.471141	False	True	dropout	Small-model dropout regularization probe.
0436cccd99a733fec6b57dfdb1fe1e6f4982922f	39	H	lr_0p0003	Tier 1 micro	TIER1_DISCARD_MODE_COLLAPSE	cpu	0.278	0.0	0.0625									-0.663493	23.0	0.587574	False	True	lr	Optimizer learning-rate stability probe.
0436cccd99a733fec6b57dfdb1fe1e6f4982922f	40	H	lr_0p0005	Tier 1 micro	TIER1_DISCARD_MODE_COLLAPSE	cpu	0.271	0.0	0.0625									-0.698807	23.0	0.555718	False	True	lr	Optimizer learning-rate stability probe.
0436cccd99a733fec6b57dfdb1fe1e6f4982922f	41	H	lr_0p002	Tier 1 micro	TIER1_DISCARD_MODE_COLLAPSE	cpu	0.277	0.0	0.0625									-0.56767	20.0	0.45241	False	True	lr	Optimizer learning-rate stability probe.
0436cccd99a733fec6b57dfdb1fe1e6f4982922f	42	H	lr_0p003	Tier 1 micro	TIER1_DISCARD_MODE_COLLAPSE	cpu	0.273	0.0	0.0625									-0.534083	20.0	0.490699	False	True	lr	Optimizer learning-rate stability probe.
0436cccd99a733fec6b57dfdb1fe1e6f4982922f	43	H	wd_0p0	Tier 1 micro	TIER1_DISCARD_MODE_COLLAPSE	cpu	0.277	0.0	0.0625									-0.633576	23.0	0.485435	False	True	weight_decay	Weight decay regularization probe.
0436cccd99a733fec6b57dfdb1fe1e6f4982922f	44	H	wd_0p001	Tier 1 micro	TIER1_DISCARD_MODE_COLLAPSE	cpu	0.266	0.0	0.0625									-0.633559	23.0	0.485433	False	True	weight_decay	Weight decay regularization probe.
0436cccd99a733fec6b57dfdb1fe1e6f4982922f	45	H	wd_0p05	Tier 1 micro	TIER1_DISCARD_MODE_COLLAPSE	cpu	0.271	0.0	0.0625									-0.632921	23.0	0.485349	False	True	weight_decay	Weight decay regularization probe.
0436cccd99a733fec6b57dfdb1fe1e6f4982922f	46	H	wd_0p1	Tier 1 micro	TIER1_DISCARD_MODE_COLLAPSE	cpu	0.287	0.0	0.0625									-0.632254	23.0	0.485264	False	True	weight_decay	Weight decay regularization probe.
0436cccd99a733fec6b57dfdb1fe1e6f4982922f	47	C	align_0p0	Tier 1 micro	TIER1_DISCARD_MODE_COLLAPSE	cpu	0.282	0.0	0.0625									-1.046521	24.0	0.465225	False	True	align_weight	Cross-modal alignment weight probe.
