cell_id	condition_id	condition_key	bag_key	perturbation	perturbation_id	perturbation_type_id	dose	cell_line	cell_line_id	batch	batch_id	time	split
synth_batch_confound_lite_cell_000000	0	pert=0|dose=0|cell=0	pert=0|dose=0|cell=0|batch=0	perturbation_0	0	0	0.0	cell_line_0	0	batch_0	0	0.0	train
synth_batch_confound_lite_cell_000001	0	pert=0|dose=0|cell=0	pert=0|dose=0|cell=0|batch=0	perturbation_0	0	0	0.0	cell_line_0	0	batch_0	0	0.0	train
synth_batch_confound_lite_cell_000002	0	pert=0|dose=0|cell=0	pert=0|dose=0|cell=0|batch=0	perturbation_0	0	0	0.0	cell_line_0	0	batch_0	0	0.0	train
synth_batch_confound_lite_cell_000003	0	pert=0|dose=0|cell=0	pert=0|dose=0|cell=0|batch=0	perturbation_0	0	0	0.0	cell_line_0	0	batch_0	0	0.0	train
synth_batch_confound_lite_cell_000004	0	pert=0|dose=0|cell=0	pert=0|dose=0|cell=0|batch=0	perturbation_0	0	0	0.0	cell_line_0	0	batch_0	0	0.0	train
synth_batch_confound_lite_cell_000005	0	pert=0|dose=0|cell=0	pert=0|dose=0|cell=0|batch=0	perturbation_0	0	0	0.0	cell_line_0	0	batch_0	0	0.0	train
synth_batch_confound_lite_cell_000006	0	pert=0|dose=0|cell=0	pert=0|dose=0|cell=0|batch=0	perturbation_0	0	0	0.0	cell_line_0	0	batch_0	0	0.0	train
synth_batch_confound_lite_cell_000007	0	pert=0|dose=0|cell=0	pert=0|dose=0|cell=0|batch=0	perturbation_0	0	0	0.0	cell_line_0	0	batch_0	0	0.0	train
synth_batch_confound_lite_cell_000008	0	pert=0|dose=0|cell=0	pert=0|dose=0|cell=0|batch=0	perturbation_0	0	0	0.0	cell_line_0	0	batch_0	0	0.0	val
synth_batch_confound_lite_cell_000009	0	pert=0|dose=0|cell=0	pert=0|dose=0|cell=0|batch=0	perturbation_0	0	0	0.0	cell_line_0	0	batch_0	0	0.0	val
synth_batch_confound_lite_cell_000010	0	pert=0|dose=0|cell=0	pert=0|dose=0|cell=0|batch=0	perturbation_0	0	0	0.0	cell_line_0	0	batch_0	0	0.0	test
synth_batch_confound_lite_cell_000011	0	pert=0|dose=0|cell=0	pert=0|dose=0|cell=0|batch=0	perturbation_0	0	0	0.0	cell_line_0	0	batch_0	0	0.0	test
synth_batch_confound_lite_cell_000012	1	pert=0|dose=0|cell=0	pert=0|dose=0|cell=0|batch=1	perturbation_0	0	0	0.0	cell_line_0	0	batch_1	1	0.0	train
synth_batch_confound_lite_cell_000013	1	pert=0|dose=0|cell=0	pert=0|dose=0|cell=0|batch=1	perturbation_0	0	0	0.0	cell_line_0	0	batch_1	1	0.0	train
synth_batch_confound_lite_cell_000014	1	pert=0|dose=0|cell=0	pert=0|dose=0|cell=0|batch=1	perturbation_0	0	0	0.0	cell_line_0	0	batch_1	1	0.0	train
synth_batch_confound_lite_cell_000015	1	pert=0|dose=0|cell=0	pert=0|dose=0|cell=0|batch=1	perturbation_0	0	0	0.0	cell_line_0	0	batch_1	1	0.0	train
synth_batch_confound_lite_cell_000016	1	pert=0|dose=0|cell=0	pert=0|dose=0|cell=0|batch=1	perturbation_0	0	0	0.0	cell_line_0	0	batch_1	1	0.0	train
synth_batch_confound_lite_cell_000017	1	pert=0|dose=0|cell=0	pert=0|dose=0|cell=0|batch=1	perturbation_0	0	0	0.0	cell_line_0	0	batch_1	1	0.0	train
