cell_id	condition_id	condition_key	bag_key	perturbation	perturbation_id	perturbation_type_id	dose	cell_line	cell_line_id	batch	batch_id	time	split
synth_heldout_perturbation_lite_cell_000000	0	pert=0|dose=0|cell=0	pert=0|dose=0|cell=0|batch=0	perturbation_0	0	0	0.0	cell_line_0	0	batch_0	0	0.0	train
synth_heldout_perturbation_lite_cell_000001	0	pert=0|dose=0|cell=0	pert=0|dose=0|cell=0|batch=0	perturbation_0	0	0	0.0	cell_line_0	0	batch_0	0	0.0	train
synth_heldout_perturbation_lite_cell_000002	0	pert=0|dose=0|cell=0	pert=0|dose=0|cell=0|batch=0	perturbation_0	0	0	0.0	cell_line_0	0	batch_0	0	0.0	train
synth_heldout_perturbation_lite_cell_000003	0	pert=0|dose=0|cell=0	pert=0|dose=0|cell=0|batch=0	perturbation_0	0	0	0.0	cell_line_0	0	batch_0	0	0.0	train
synth_heldout_perturbation_lite_cell_000004	0	pert=0|dose=0|cell=0	pert=0|dose=0|cell=0|batch=0	perturbation_0	0	0	0.0	cell_line_0	0	batch_0	0	0.0	train
synth_heldout_perturbation_lite_cell_000005	0	pert=0|dose=0|cell=0	pert=0|dose=0|cell=0|batch=0	perturbation_0	0	0	0.0	cell_line_0	0	batch_0	0	0.0	train
synth_heldout_perturbation_lite_cell_000006	0	pert=0|dose=0|cell=0	pert=0|dose=0|cell=0|batch=0	perturbation_0	0	0	0.0	cell_line_0	0	batch_0	0	0.0	train
synth_heldout_perturbation_lite_cell_000007	0	pert=0|dose=0|cell=0	pert=0|dose=0|cell=0|batch=0	perturbation_0	0	0	0.0	cell_line_0	0	batch_0	0	0.0	train
synth_heldout_perturbation_lite_cell_000008	0	pert=0|dose=0|cell=0	pert=0|dose=0|cell=0|batch=0	perturbation_0	0	0	0.0	cell_line_0	0	batch_0	0	0.0	val
synth_heldout_perturbation_lite_cell_000009	0	pert=0|dose=0|cell=0	pert=0|dose=0|cell=0|batch=0	perturbation_0	0	0	0.0	cell_line_0	0	batch_0	0	0.0	val
synth_heldout_perturbation_lite_cell_000010	0	pert=0|dose=0|cell=0	pert=0|dose=0|cell=0|batch=0	perturbation_0	0	0	0.0	cell_line_0	0	batch_0	0	0.0	test
synth_heldout_perturbation_lite_cell_000011	0	pert=0|dose=0|cell=0	pert=0|dose=0|cell=0|batch=0	perturbation_0	0	0	0.0	cell_line_0	0	batch_0	0	0.0	test
synth_heldout_perturbation_lite_cell_000012	1	pert=0|dose=0|cell=0	pert=0|dose=0|cell=0|batch=1	perturbation_0	0	0	0.0	cell_line_0	0	batch_1	1	0.0	train
synth_heldout_perturbation_lite_cell_000013	1	pert=0|dose=0|cell=0	pert=0|dose=0|cell=0|batch=1	perturbation_0	0	0	0.0	cell_line_0	0	batch_1	1	0.0	train
synth_heldout_perturbation_lite_cell_000014	1	pert=0|dose=0|cell=0	pert=0|dose=0|cell=0|batch=1	perturbation_0	0	0	0.0	cell_line_0	0	batch_1	1	0.0	train
synth_heldout_perturbation_lite_cell_000015	1	pert=0|dose=0|cell=0	pert=0|dose=0|cell=0|batch=1	perturbation_0	0	0	0.0	cell_line_0	0	batch_1	1	0.0	train
synth_heldout_perturbation_lite_cell_000016	1	pert=0|dose=0|cell=0	pert=0|dose=0|cell=0|batch=1	perturbation_0	0	0	0.0	cell_line_0	0	batch_1	1	0.0	train
synth_heldout_perturbation_lite_cell_000017	1	pert=0|dose=0|cell=0	pert=0|dose=0|cell=0|batch=1	perturbation_0	0	0	0.0	cell_line_0	0	batch_1	1	0.0	train
synth_heldout_perturbation_lite_cell_000018	1	pert=0|dose=0|cell=0	pert=0|dose=0|cell=0|batch=1	perturbation_0	0	0	0.0	cell_line_0	0	batch_1	1	0.0	train
synth_heldout_perturbation_lite_cell_000019	1	pert=0|dose=0|cell=0	pert=0|dose=0|cell=0|batch=1	perturbation_0	0	0	0.0	cell_line_0	0	batch_1	1	0.0	train
synth_heldout_perturbation_lite_cell_000020	1	pert=0|dose=0|cell=0	pert=0|dose=0|cell=0|batch=1	perturbation_0	0	0	0.0	cell_line_0	0	batch_1	1	0.0	val
synth_heldout_perturbation_lite_cell_000021	1	pert=0|dose=0|cell=0	pert=0|dose=0|cell=0|batch=1	perturbation_0	0	0	0.0	cell_line_0	0	batch_1	1	0.0	val
synth_heldout_perturbation_lite_cell_000022	1	pert=0|dose=0|cell=0	pert=0|dose=0|cell=0|batch=1	perturbation_0	0	0	0.0	cell_line_0	0	batch_1	1	0.0	test
synth_heldout_perturbation_lite_cell_000023	1	pert=0|dose=0|cell=0	pert=0|dose=0|cell=0|batch=1	perturbation_0	0	0	0.0	cell_line_0	0	batch_1	1	0.0	test
synth_heldout_perturbation_lite_cell_000024	2	pert=0|dose=0|cell=0	pert=0|dose=0|cell=0|batch=2	perturbation_0	0	0	0.0	cell_line_0	0	batch_2	2	0.0	train
synth_heldout_perturbation_lite_cell_000025	2	pert=0|dose=0|cell=0	pert=0|dose=0|cell=0|batch=2	perturbation_0	0	0	0.0	cell_line_0	0	batch_2	2	0.0	train
synth_heldout_perturbation_lite_cell_000026	2	pert=0|dose=0|cell=0	pert=0|dose=0|cell=0|batch=2	perturbation_0	0	0	0.0	cell_line_0	0	batch_2	2	0.0	train
synth_heldout_perturbation_lite_cell_000027	2	pert=0|dose=0|cell=0	pert=0|dose=0|cell=0|batch=2	perturbation_0	0	0	0.0	cell_line_0	0	batch_2	2	0.0	train
synth_heldout_perturbation_lite_cell_000028	2	pert=0|dose=0|cell=0	pert=0|dose=0|cell=0|batch=2	perturbation_0	0	0	0.0	cell_line_0	0	batch_2	2	0.0	train
synth_heldout_perturbation_lite_cell_000029	2	pert=0|dose=0|cell=0	pert=0|dose=0|cell=0|batch=2	perturbation_0	0	0	0.0	cell_line_0	0	batch_2	2	0.0	train
synth_heldout_perturbation_lite_cell_000030	2	pert=0|dose=0|cell=0	pert=0|dose=0|cell=0|batch=2	perturbation_0	0	0	0.0	cell_line_0	0	batch_2	2	0.0	train
synth_heldout_perturbation_lite_cell_000031	2	pert=0|dose=0|cell=0	pert=0|dose=0|cell=0|batch=2	perturbation_0	0	0	0.0	cell_line_0	0	batch_2	2	0.0	train
synth_heldout_perturbation_lite_cell_000032	2	pert=0|dose=0|cell=0	pert=0|dose=0|cell=0|batch=2	perturbation_0	0	0	0.0	cell_line_0	0	batch_2	2	0.0	val
synth_heldout_perturbation_lite_cell_000033	2	pert=0|dose=0|cell=0	pert=0|dose=0|cell=0|batch=2	perturbation_0	0	0	0.0	cell_line_0	0	batch_2	2	0.0	val
synth_heldout_perturbation_lite_cell_000034	2	pert=0|dose=0|cell=0	pert=0|dose=0|cell=0|batch=2	perturbation_0	0	0	0.0	cell_line_0	0	batch_2	2	0.0	test
synth_heldout_perturbation_lite_cell_000035	2	pert=0|dose=0|cell=0	pert=0|dose=0|cell=0|batch=2	perturbation_0	0	0	0.0	cell_line_0	0	batch_2	2	0.0	test
synth_heldout_perturbation_lite_cell_000036	3	pert=0|dose=1|cell=0	pert=0|dose=1|cell=0|batch=0	perturbation_0	0	0	1.0	cell_line_0	0	batch_0	0	0.0	train
synth_heldout_perturbation_lite_cell_000037	3	pert=0|dose=1|cell=0	pert=0|dose=1|cell=0|batch=0	perturbation_0	0	0	1.0	cell_line_0	0	batch_0	0	0.0	train
synth_heldout_perturbation_lite_cell_000038	3	pert=0|dose=1|cell=0	pert=0|dose=1|cell=0|batch=0	perturbation_0	0	0	1.0	cell_line_0	0	batch_0	0	0.0	train
synth_heldout_perturbation_lite_cell_000039	3	pert=0|dose=1|cell=0	pert=0|dose=1|cell=0|batch=0	perturbation_0	0	0	1.0	cell_line_0	0	batch_0	0	0.0	train
synth_heldout_perturbation_lite_cell_000040	3	pert=0|dose=1|cell=0	pert=0|dose=1|cell=0|batch=0	perturbation_0	0	0	1.0	cell_line_0	0	batch_0	0	0.0	train
synth_heldout_perturbation_lite_cell_000041	3	pert=0|dose=1|cell=0	pert=0|dose=1|cell=0|batch=0	perturbation_0	0	0	1.0	cell_line_0	0	batch_0	0	0.0	train
synth_heldout_perturbation_lite_cell_000042	3	pert=0|dose=1|cell=0	pert=0|dose=1|cell=0|batch=0	perturbation_0	0	0	1.0	cell_line_0	0	batch_0	0	0.0	train
synth_heldout_perturbation_lite_cell_000043	3	pert=0|dose=1|cell=0	pert=0|dose=1|cell=0|batch=0	perturbation_0	0	0	1.0	cell_line_0	0	batch_0	0	0.0	train
synth_heldout_perturbation_lite_cell_000044	3	pert=0|dose=1|cell=0	pert=0|dose=1|cell=0|batch=0	perturbation_0	0	0	1.0	cell_line_0	0	batch_0	0	0.0	val
synth_heldout_perturbation_lite_cell_000045	3	pert=0|dose=1|cell=0	pert=0|dose=1|cell=0|batch=0	perturbation_0	0	0	1.0	cell_line_0	0	batch_0	0	0.0	val
synth_heldout_perturbation_lite_cell_000046	3	pert=0|dose=1|cell=0	pert=0|dose=1|cell=0|batch=0	perturbation_0	0	0	1.0	cell_line_0	0	batch_0	0	0.0	test
synth_heldout_perturbation_lite_cell_000047	3	pert=0|dose=1|cell=0	pert=0|dose=1|cell=0|batch=0	perturbation_0	0	0	1.0	cell_line_0	0	batch_0	0	0.0	test
synth_heldout_perturbation_lite_cell_000048	4	pert=0|dose=1|cell=0	pert=0|dose=1|cell=0|batch=1	perturbation_0	0	0	1.0	cell_line_0	0	batch_1	1	0.0	train
synth_heldout_perturbation_lite_cell_000049	4	pert=0|dose=1|cell=0	pert=0|dose=1|cell=0|batch=1	perturbation_0	0	0	1.0	cell_line_0	0	batch_1	1	0.0	train
synth_heldout_perturbation_lite_cell_000050	4	pert=0|dose=1|cell=0	pert=0|dose=1|cell=0|batch=1	perturbation_0	0	0	1.0	cell_line_0	0	batch_1	1	0.0	train
synth_heldout_perturbation_lite_cell_000051	4	pert=0|dose=1|cell=0	pert=0|dose=1|cell=0|batch=1	perturbation_0	0	0	1.0	cell_line_0	0	batch_1	1	0.0	train
synth_heldout_perturbation_lite_cell_000052	4	pert=0|dose=1|cell=0	pert=0|dose=1|cell=0|batch=1	perturbation_0	0	0	1.0	cell_line_0	0	batch_1	1	0.0	train
synth_heldout_perturbation_lite_cell_000053	4	pert=0|dose=1|cell=0	pert=0|dose=1|cell=0|batch=1	perturbation_0	0	0	1.0	cell_line_0	0	batch_1	1	0.0	train
synth_heldout_perturbation_lite_cell_000054	4	pert=0|dose=1|cell=0	pert=0|dose=1|cell=0|batch=1	perturbation_0	0	0	1.0	cell_line_0	0	batch_1	1	0.0	train
synth_heldout_perturbation_lite_cell_000055	4	pert=0|dose=1|cell=0	pert=0|dose=1|cell=0|batch=1	perturbation_0	0	0	1.0	cell_line_0	0	batch_1	1	0.0	train
synth_heldout_perturbation_lite_cell_000056	4	pert=0|dose=1|cell=0	pert=0|dose=1|cell=0|batch=1	perturbation_0	0	0	1.0	cell_line_0	0	batch_1	1	0.0	val
