space	factor	eta_squared	nearest_centroid_accuracy
pred_delta	cell_line_id	0.1210134678515528	0.6408730158730159
pred_delta	batch_id	0.08446143139044313	0.5727513227513228
pred_delta	perturbation_id	0.06519653986383091	0.2751322751322751
pred_endpoint	cell_line_id	0.5014631781872264	0.9841269841269841
pred_endpoint	perturbation_id	0.04159421645693616	0.25595238095238093
pred_endpoint	batch_id	0.02068529623789322	0.49206349206349204
source	cell_line_id	0.47518882542955704	0.9583333333333334
source	batch_id	0.05839939388643747	0.5138888888888888
source	perturbation_id	0.03438127912555018	0.2916666666666667
target	perturbation_id	0.3276622908463589	0.6111111111111112
target	cell_line_id	0.20243277126405557	0.9027777777777778
target	batch_id	0.017900056462134505	0.5
true_delta	perturbation_id	0.3024965837740845	0.6111111111111112
true_delta	batch_id	0.05403456171167275	0.5555555555555556
true_delta	cell_line_id	0.050110395001317316	0.5416666666666666
