heldout_perturbation_ids	space	label_col	recall_at_1	recall_at_5	map	median_rank
1,2,3	endpoint	condition_key	0.2222222222222222	0.7037037037037037	0.33219676403790954	3.0
1,2,3	endpoint	perturbation_label	0.2962962962962963	0.8148148148148148	0.40087286444254216	2.0
1,2,3	endpoint	cell_line_label	0.7407407407407407	1.0	0.6360925969675507	1.0
1,2,3	delta	condition_key	0.37037037037037035	0.7037037037037037	0.3452870172500699	2.0
1,2,3	delta	perturbation_label	0.4074074074074074	0.7777777777777778	0.44859036702049737	2.0
1,2,3	delta	cell_line_label	0.7037037037037037	1.0	0.5117445524850148	1.0
1,2,4	endpoint	condition_key	0.2222222222222222	0.7407407407407407	0.33652606157048204	4.0
1,2,4	endpoint	perturbation_label	0.3333333333333333	0.7777777777777778	0.4144166072334253	2.0
1,2,4	endpoint	cell_line_label	0.7407407407407407	1.0	0.6220910591083081	1.0
1,2,4	delta	condition_key	0.37037037037037035	0.6296296296296297	0.33098139182589265	3.0
1,2,4	delta	perturbation_label	0.4444444444444444	0.8148148148148148	0.42297176694501826	2.0
1,2,4	delta	cell_line_label	0.5185185185185185	0.9629629629629629	0.5051869650307288	1.0
1,2,5	endpoint	condition_key	0.18518518518518517	0.5555555555555556	0.29755418532594313	4.0
1,2,5	endpoint	perturbation_label	0.2962962962962963	0.8888888888888888	0.4016239596673008	2.0
1,2,5	endpoint	cell_line_label	0.7407407407407407	1.0	0.5763667931188857	1.0
1,2,5	delta	condition_key	0.2222222222222222	0.5925925925925926	0.2591189818039426	5.0
1,2,5	delta	perturbation_label	0.37037037037037035	0.7037037037037037	0.4099415757830603	3.0
1,2,5	delta	cell_line_label	0.48148148148148145	0.9629629629629629	0.4436397133857869	2.0
1,2,6	endpoint	condition_key	0.2222222222222222	0.5925925925925926	0.34146749598980103	2.0
1,2,6	endpoint	perturbation_label	0.3333333333333333	0.7407407407407407	0.40748773340238803	2.0
1,2,6	endpoint	cell_line_label	0.8148148148148148	1.0	0.6489405331664313	1.0
1,2,6	delta	condition_key	0.25925925925925924	0.5925925925925926	0.2790590154133675	4.0
1,2,6	delta	perturbation_label	0.37037037037037035	0.8148148148148148	0.4136788499623461	2.0
1,2,6	delta	cell_line_label	0.6666666666666666	1.0	0.4985080705564496	1.0
1,2,7	endpoint	condition_key	0.25925925925925924	0.7037037037037037	0.3400905271925248	3.0
1,2,7	endpoint	perturbation_label	0.37037037037037035	0.8148148148148148	0.4155470198515762	2.0
1,2,7	endpoint	cell_line_label	0.7407407407407407	1.0	0.6144904337765023	1.0
1,2,7	delta	condition_key	0.3333333333333333	0.7407407407407407	0.3254161845631462	2.0
1,2,7	delta	perturbation_label	0.4444444444444444	0.7777777777777778	0.4932428304122275	2.0
1,2,7	delta	cell_line_label	0.5555555555555556	1.0	0.4683195205180535	1.0
1,2,8	endpoint	condition_key	0.2222222222222222	0.5185185185185185	0.318502506852716	5.0
1,2,8	endpoint	perturbation_label	0.2962962962962963	0.6296296296296297	0.420223997356502	3.0
1,2,8	endpoint	cell_line_label	0.7407407407407407	1.0	0.5696934577696738	1.0
1,2,8	delta	condition_key	0.18518518518518517	0.6296296296296297	0.26567307722075323	4.0
1,2,8	delta	perturbation_label	0.25925925925925924	0.6666666666666666	0.4041848410424886	2.0
1,2,8	delta	cell_line_label	0.6666666666666666	1.0	0.48899200450886454	1.0
1,3,4	endpoint	condition_key	0.37037037037037035	0.8518518518518519	0.3995660619172457	2.0
1,3,4	endpoint	perturbation_label	0.37037037037037035	0.8888888888888888	0.4087361057985687	2.0
1,3,4	endpoint	cell_line_label	0.9629629629629629	1.0	0.7350970891003489	1.0
1,3,4	delta	condition_key	0.3333333333333333	0.8148148148148148	0.3563419841673233	2.0
1,3,4	delta	perturbation_label	0.37037037037037035	0.9629629629629629	0.4286326257409965	2.0
1,3,4	delta	cell_line_label	0.6296296296296297	1.0	0.538709404155159	1.0
1,3,5	endpoint	condition_key	0.14814814814814814	0.8888888888888888	0.34933137775327794	2.0
1,3,5	endpoint	perturbation_label	0.14814814814814814	1.0	0.38842399206497447	2.0
1,3,5	endpoint	cell_line_label	0.9259259259259259	1.0	0.7302682922658984	1.0
1,3,5	delta	condition_key	0.4074074074074074	0.7777777777777778	0.34239189644655216	2.0
1,3,5	delta	perturbation_label	0.4444444444444444	0.8888888888888888	0.43812616778202096	2.0
1,3,5	delta	cell_line_label	0.7407407407407407	1.0	0.5231473878929671	1.0
1,3,6	endpoint	condition_key	0.2962962962962963	0.8148148148148148	0.38974735769312074	3.0
