outer_heldout_perturbation_ids	selected_delta_score_weight	inner_mean_condition_recall_at_1	inner_mean_perturbation_recall_at_1
1,2,3	0.2	0.4611111111111111	0.5722222222222222
1,2,4	0.2	0.45	0.5611111111111111
1,2,5	0.1	0.4611111111111111	0.5777777777777777
1,2,6	0.5	0.4444444444444445	0.5944444444444444
1,2,7	0.2	0.5055555555555555	0.5944444444444444
1,2,8	0.2	0.5333333333333333	0.6166666666666667
1,3,4	0.1	0.4222222222222222	0.5555555555555556
1,3,5	0.05	0.4611111111111111	0.5555555555555556
1,3,6	0.2	0.40555555555555556	0.5722222222222222
1,3,7	0.1	0.4722222222222222	0.6111111111111112
1,3,8	0.2	0.5222222222222223	0.638888888888889
1,4,5	0.05	0.4611111111111111	0.538888888888889
1,4,6	0.05	0.4333333333333333	0.5722222222222222
1,4,7	0.1	0.45	0.5944444444444444
1,4,8	0.2	0.4666666666666667	0.6277777777777778
1,5,6	0.2	0.4222222222222222	0.5722222222222222
1,5,7	0.1	0.4666666666666667	0.5833333333333334
1,5,8	0.1	0.49444444444444446	0.5888888888888889
1,6,7	0.2	0.4	0.5555555555555556
1,6,8	0.2	0.48888888888888893	0.611111111111111
1,7,8	0.35	0.45	0.6444444444444445
2,3,4	0.1	0.4222222222222222	0.5444444444444445
2,3,5	0.1	0.4611111111111111	0.5833333333333333
2,3,6	0.35	0.4166666666666667	0.5944444444444444
2,3,7	0.1	0.4611111111111111	0.5277777777777778
2,3,8	0.1	0.4444444444444445	0.538888888888889
2,4,5	0.1	0.45	0.5722222222222222
2,4,6	0.35	0.4	0.5888888888888889
2,4,7	0.2	0.5111111111111111	0.6
2,4,8	0.2	0.4611111111111111	0.6055555555555555
2,5,6	0.5	0.4111111111111111	0.5944444444444444
2,5,7	0.1	0.4833333333333333	0.5666666666666667
2,5,8	0.1	0.4611111111111111	0.5722222222222222
2,6,7	0.1	0.4333333333333333	0.5444444444444445
2,6,8	0.1	0.4444444444444445	0.5666666666666667
2,7,8	0.1	0.5	0.5833333333333333
3,4,5	0.2	0.42777777777777776	0.5555555555555556
3,4,6	0.05	0.40555555555555556	0.5611111111111111
3,4,7	0.1	0.48888888888888893	0.6
3,4,8	0.1	0.4666666666666667	0.5944444444444444
3,5,6	0.1	0.4333333333333333	0.5666666666666667
3,5,7	0.1	0.48888888888888893	0.5444444444444445
3,5,8	0.1	0.5222222222222223	0.5888888888888889
3,6,7	0.1	0.4166666666666667	0.5222222222222223
3,6,8	0.1	0.45	0.5666666666666667
3,7,8	0.1	0.47777777777777775	0.5833333333333333
4,5,6	0.05	0.4333333333333333	0.5666666666666667
4,5,7	0.1	0.5388888888888889	0.6055555555555555
4,5,8	0.1	0.4722222222222222	0.5777777777777777
4,6,7	0.1	0.4166666666666667	0.5444444444444445
4,6,8	0.1	0.42777777777777776	0.5777777777777777
4,7,8	0.2	0.4833333333333333	0.65
5,6,7	0.05	0.4166666666666667	0.5333333333333334
5,6,8	0.05	0.43888888888888894	0.5333333333333334
5,7,8	0.1	0.48888888888888893	0.5777777777777777
6,7,8	0.2	0.4333333333333333	0.5777777777777777
