outer_heldout_perturbation_ids	inner_heldout_perturbation_ids	source_neighborhood_fraction	source_space	source_neighborhood_k	delta_score_weight	condition_recall_at_1	condition_recall_at_5	condition_median_rank	perturbation_recall_at_1	perturbation_recall_at_5	perturbation_median_rank
1,2,3	4,5	0.3333333333333333	z_bio_teacher	6	0.0	0.4444444444444444	1.0	3.0	0.5	1.0	2.5
1,2,3	4,5	0.3333333333333333	z_bio_teacher	6	0.05	0.5	0.9444444444444444	2.0	0.5	1.0	2.0
1,2,3	4,5	0.3333333333333333	z_bio_teacher	6	0.1	0.5	0.9444444444444444	2.0	0.5	1.0	2.0
1,2,3	4,5	0.3333333333333333	z_bio_teacher	6	0.2	0.5	0.9444444444444444	1.5	0.5	1.0	1.5
1,2,3	4,5	0.3333333333333333	z_bio_teacher	6	0.35	0.5	0.9444444444444444	1.5	0.5	1.0	1.5
1,2,3	4,5	0.3333333333333333	z_bio_teacher	6	0.5	0.5555555555555556	0.9444444444444444	1.0	0.5555555555555556	1.0	1.0
1,2,3	4,5	0.3333333333333333	z_bio_teacher	6	0.65	0.5555555555555556	0.9444444444444444	1.0	0.5555555555555556	1.0	1.0
1,2,3	4,5	0.3333333333333333	z_bio_teacher	6	0.8	0.5555555555555556	0.9444444444444444	1.0	0.5555555555555556	1.0	1.0
1,2,3	4,5	0.3333333333333333	z_bio_teacher	6	1.0	0.5555555555555556	0.9444444444444444	1.0	0.5555555555555556	1.0	1.0
1,2,3	4,5	0.5	z_bio_teacher	9	0.0	0.4444444444444444	0.6666666666666666	3.5	0.5	0.6666666666666666	2.5
1,2,3	4,5	0.5	z_bio_teacher	9	0.05	0.5	0.7222222222222222	2.0	0.5	0.7222222222222222	2.0
1,2,3	4,5	0.5	z_bio_teacher	9	0.1	0.5	0.7222222222222222	2.0	0.5	0.7222222222222222	2.0
1,2,3	4,5	0.5	z_bio_teacher	9	0.2	0.5	0.8333333333333334	2.0	0.5	0.8888888888888888	2.0
1,2,3	4,5	0.5	z_bio_teacher	9	0.35	0.5	0.8888888888888888	1.5	0.5	1.0	1.5
1,2,3	4,5	0.5	z_bio_teacher	9	0.5	0.5555555555555556	0.9444444444444444	1.0	0.5555555555555556	1.0	1.0
1,2,3	4,5	0.5	z_bio_teacher	9	0.65	0.5555555555555556	0.9444444444444444	1.0	0.5555555555555556	1.0	1.0
1,2,3	4,5	0.5	z_bio_teacher	9	0.8	0.5555555555555556	0.9444444444444444	1.0	0.5555555555555556	1.0	1.0
1,2,3	4,5	0.5	z_bio_teacher	9	1.0	0.5555555555555556	0.9444444444444444	1.0	0.5555555555555556	1.0	1.0
1,2,3	4,5	0.6666666666666666	z_bio_teacher	12	0.0	0.4444444444444444	0.6666666666666666	3.5	0.5	0.6666666666666666	2.5
1,2,3	4,5	0.6666666666666666	z_bio_teacher	12	0.05	0.5	0.6666666666666666	2.0	0.5	0.6666666666666666	2.0
1,2,3	4,5	0.6666666666666666	z_bio_teacher	12	0.1	0.5	0.6666666666666666	2.0	0.5	0.6666666666666666	2.0
1,2,3	4,5	0.6666666666666666	z_bio_teacher	12	0.2	0.5	0.8333333333333334	2.0	0.5	0.8888888888888888	2.0
1,2,3	4,5	0.6666666666666666	z_bio_teacher	12	0.35	0.5	0.7777777777777778	1.5	0.5	0.8888888888888888	1.5
1,2,3	4,5	0.6666666666666666	z_bio_teacher	12	0.5	0.5555555555555556	0.8333333333333334	1.0	0.5555555555555556	0.8888888888888888	1.0
1,2,3	4,5	0.6666666666666666	z_bio_teacher	12	0.65	0.5555555555555556	0.8333333333333334	1.0	0.5555555555555556	0.8888888888888888	1.0
1,2,3	4,5	0.6666666666666666	z_bio_teacher	12	0.8	0.5555555555555556	0.8333333333333334	1.0	0.5555555555555556	0.8888888888888888	1.0
1,2,3	4,5	0.6666666666666666	z_bio_teacher	12	1.0	0.5555555555555556	0.8333333333333334	1.0	0.5555555555555556	0.8888888888888888	1.0
1,2,3	4,5	1.0	z_bio_teacher	18	0.0	0.4444444444444444	0.6666666666666666	3.5	0.5	0.6666666666666666	2.5
1,2,3	4,5	1.0	z_bio_teacher	18	0.05	0.5	0.6666666666666666	2.0	0.5	0.6666666666666666	2.0
1,2,3	4,5	1.0	z_bio_teacher	18	0.1	0.5	0.6111111111111112	2.0	0.5	0.6111111111111112	2.0
1,2,3	4,5	1.0	z_bio_teacher	18	0.2	0.5	0.7777777777777778	2.0	0.5	0.8333333333333334	2.0
1,2,3	4,5	1.0	z_bio_teacher	18	0.35	0.5	0.7222222222222222	1.5	0.5	0.7777777777777778	1.5
