heldout_perturbation_ids	source_neighborhood_fraction	source_neighborhood_k	same_cell_line_purity	same_cell_line_coverage	same_batch_purity	same_perturbation_purity	top1_same_cell_line	top1_same_batch	top1_same_perturbation
1,2,3	0.3333333333333333	9	0.7489711934156379	0.7489711934156377	0.40329218106995884	0.345679012345679	1.0	1.0	1.0
1,2,3	0.5	14	0.5846560846560847	0.9094650205761317	0.35714285714285715	0.3386243386243386	1.0	1.0	1.0
1,2,3	0.6666666666666666	18	0.47530864197530864	0.9506172839506172	0.3271604938271605	0.32510288065843623	1.0	1.0	1.0
1,2,3	1.0	27	0.3333333333333333	1.0	0.3333333333333333	0.3333333333333333	1.0	1.0	1.0
1,2,4	0.3333333333333333	9	0.757201646090535	0.757201646090535	0.4156378600823045	0.3333333333333333	1.0	1.0	1.0
1,2,4	0.5	14	0.5925925925925926	0.9218106995884774	0.35978835978835977	0.3306878306878307	1.0	1.0	1.0
1,2,4	0.6666666666666666	18	0.48559670781893005	0.9711934156378602	0.3374485596707819	0.3395061728395062	1.0	1.0	1.0
1,2,4	1.0	27	0.3333333333333333	1.0	0.3333333333333333	0.3333333333333333	1.0	1.0	1.0
1,2,5	0.3333333333333333	9	0.720164609053498	0.720164609053498	0.41975308641975306	0.3497942386831276	1.0	1.0	1.0
1,2,5	0.5	14	0.5529100529100529	0.8600823045267489	0.36507936507936506	0.335978835978836	1.0	1.0	1.0
1,2,5	0.6666666666666666	18	0.4588477366255144	0.9176954732510288	0.3436213991769547	0.3292181069958848	1.0	1.0	1.0
1,2,5	1.0	27	0.3333333333333333	1.0	0.3333333333333333	0.3333333333333333	1.0	1.0	1.0
1,2,6	0.3333333333333333	9	0.7283950617283951	0.7283950617283951	0.4156378600823045	0.3374485596707819	1.0	1.0	1.0
1,2,6	0.5	14	0.5767195767195767	0.897119341563786	0.3544973544973545	0.3492063492063492	1.0	1.0	1.0
1,2,6	0.6666666666666666	18	0.4773662551440329	0.9547325102880658	0.3395061728395062	0.3333333333333333	1.0	1.0	1.0
1,2,6	1.0	27	0.3333333333333333	1.0	0.3333333333333333	0.3333333333333333	1.0	1.0	1.0
1,2,7	0.3333333333333333	9	0.7119341563786008	0.7119341563786008	0.40329218106995884	0.345679012345679	1.0	1.0	1.0
1,2,7	0.5	14	0.5793650793650794	0.9012345679012346	0.3544973544973545	0.34656084656084657	1.0	1.0	1.0
1,2,7	0.6666666666666666	18	0.4711934156378601	0.9423868312757202	0.3374485596707819	0.34156378600823045	1.0	1.0	1.0
1,2,7	1.0	27	0.3333333333333333	1.0	0.3333333333333333	0.3333333333333333	1.0	1.0	1.0
1,2,8	0.3333333333333333	9	0.7407407407407407	0.7407407407407409	0.4156378600823045	0.32098765432098764	1.0	1.0	1.0
1,2,8	0.5	14	0.5608465608465608	0.8724279835390947	0.36772486772486773	0.3492063492063492	1.0	1.0	1.0
1,2,8	0.6666666666666666	18	0.4691358024691358	0.9382716049382717	0.345679012345679	0.34156378600823045	1.0	1.0	1.0
1,2,8	1.0	27	0.3333333333333333	1.0	0.3333333333333333	0.3333333333333333	1.0	1.0	1.0
1,3,4	0.3333333333333333	9	0.7489711934156379	0.7489711934156378	0.3991769547325103	0.31275720164609055	1.0	1.0	1.0
1,3,4	0.5	14	0.5925925925925926	0.9218106995884775	0.3386243386243386	0.3412698412698413	1.0	1.0	1.0
1,3,4	0.6666666666666666	18	0.4794238683127572	0.9588477366255144	0.31069958847736623	0.3333333333333333	1.0	1.0	1.0
1,3,4	1.0	27	0.3333333333333333	1.0	0.3333333333333333	0.3333333333333333	1.0	1.0	1.0
1,3,5	0.3333333333333333	9	0.7160493827160493	0.7160493827160493	0.3950617283950617	0.3497942386831276	1.0	1.0	1.0
1,3,5	0.5	14	0.5687830687830688	0.8847736625514403	0.34656084656084657	0.3439153439153439	1.0	1.0	1.0
1,3,5	0.6666666666666666	18	0.4670781893004115	0.9341563786008229	0.3292181069958848	0.3374485596707819	1.0	1.0	1.0
1,3,5	1.0	27	0.3333333333333333	1.0	0.3333333333333333	0.3333333333333333	1.0	1.0	1.0
1,3,6	0.3333333333333333	9	0.7407407407407407	0.7407407407407407	0.3868312757201646	0.3292181069958848	1.0	1.0	1.0
1,3,6	0.5	14	0.5767195767195767	0.897119341563786	0.335978835978836	0.3439153439153439	1.0	1.0	1.0
1,3,6	0.6666666666666666	18	0.4732510288065844	0.9465020576131687	0.3271604938271605	0.33539094650205764	1.0	1.0	1.0
1,3,6	1.0	27	0.3333333333333333	1.0	0.3333333333333333	0.3333333333333333	1.0	1.0	1.0
1,3,7	0.3333333333333333	9	0.7325102880658436	0.7325102880658436	0.39094650205761317	0.34156378600823045	1.0	1.0	0.9629629629629629
1,3,7	0.5	14	0.582010582010582	0.9053497942386832	0.3333333333333333	0.3544973544973545	1.0	1.0	0.9629629629629629
1,3,7	0.6666666666666666	18	0.48148148148148145	0.9629629629629629	0.3148148148148148	0.34156378600823045	1.0	1.0	0.9629629629629629
1,3,7	1.0	27	0.3333333333333333	1.0	0.3333333333333333	0.3333333333333333	1.0	1.0	0.9629629629629629
1,3,8	0.3333333333333333	9	0.7325102880658436	0.7325102880658436	0.39094650205761317	0.3374485596707819	1.0	1.0	1.0
1,3,8	0.5	14	0.5740740740740741	0.8930041152263374	0.32275132275132273	0.3439153439153439	1.0	1.0	1.0
1,3,8	0.6666666666666666	18	0.46296296296296297	0.9259259259259259	0.3333333333333333	0.34156378600823045	1.0	1.0	1.0
1,3,8	1.0	27	0.3333333333333333	1.0	0.3333333333333333	0.3333333333333333	1.0	1.0	1.0
1,4,5	0.3333333333333333	9	0.6995884773662552	0.6995884773662552	0.4074074074074074	0.3333333333333333	1.0	1.0	1.0
1,4,5	0.5	14	0.5608465608465608	0.8724279835390947	0.35978835978835977	0.335978835978836	1.0	1.0	1.0
1,4,5	0.6666666666666666	18	0.46502057613168724	0.9300411522633745	0.33127572016460904	0.3271604938271605	1.0	1.0	1.0
