heldout_perturbation_ids	source_neighborhood_fraction	source_neighborhood_k	same_cell_line_purity	same_cell_line_coverage	same_batch_purity	same_perturbation_purity	top1_same_cell_line	top1_same_batch	top1_same_perturbation
1,2,3	0.3333333333333333	9	0.7407407407407407	0.7407407407407409	0.4074074074074074	0.3497942386831276	1.0	1.0	1.0
1,2,3	0.5	14	0.5846560846560847	0.9094650205761317	0.35978835978835977	0.3386243386243386	1.0	1.0	1.0
1,2,3	0.6666666666666666	18	0.4876543209876543	0.9753086419753086	0.3230452674897119	0.33539094650205764	1.0	1.0	1.0
1,2,3	1.0	27	0.3333333333333333	1.0	0.3333333333333333	0.3333333333333333	1.0	1.0	1.0
1,2,4	0.3333333333333333	9	0.720164609053498	0.7201646090534979	0.41975308641975306	0.35802469135802467	1.0	1.0	1.0
1,2,4	0.5	14	0.5740740740740741	0.8930041152263374	0.34656084656084657	0.335978835978836	1.0	1.0	1.0
1,2,4	0.6666666666666666	18	0.4835390946502058	0.9670781893004116	0.3230452674897119	0.33127572016460904	1.0	1.0	1.0
1,2,4	1.0	27	0.3333333333333333	1.0	0.3333333333333333	0.3333333333333333	1.0	1.0	1.0
1,2,5	0.3333333333333333	9	0.7448559670781894	0.7448559670781892	0.43209876543209874	0.3497942386831276	1.0	1.0	1.0
1,2,5	0.5	14	0.5793650793650794	0.9012345679012347	0.3492063492063492	0.3386243386243386	1.0	1.0	1.0
1,2,5	0.6666666666666666	18	0.4897119341563786	0.9794238683127572	0.3230452674897119	0.3333333333333333	1.0	1.0	1.0
1,2,5	1.0	27	0.3333333333333333	1.0	0.3333333333333333	0.3333333333333333	1.0	1.0	1.0
1,2,6	0.3333333333333333	9	0.7407407407407407	0.7407407407407406	0.39094650205761317	0.3497942386831276	1.0	1.0	1.0
1,2,6	0.5	14	0.5793650793650794	0.9012345679012346	0.36243386243386244	0.335978835978836	1.0	1.0	1.0
1,2,6	0.6666666666666666	18	0.48559670781893005	0.9711934156378601	0.3333333333333333	0.33539094650205764	1.0	1.0	1.0
1,2,6	1.0	27	0.3333333333333333	1.0	0.3333333333333333	0.3333333333333333	1.0	1.0	1.0
1,2,7	0.3333333333333333	9	0.7283950617283951	0.7283950617283951	0.4279835390946502	0.35390946502057613	1.0	1.0	1.0
1,2,7	0.5	14	0.5714285714285714	0.8888888888888887	0.3439153439153439	0.3386243386243386	1.0	1.0	1.0
1,2,7	0.6666666666666666	18	0.48559670781893005	0.9711934156378601	0.32510288065843623	0.3333333333333333	1.0	1.0	1.0
