outer_heldout_perturbation_ids	selected_source_neighborhood_fraction	selected_delta_score_weight	selected_by_inner	source_neighborhood_fraction	source_space	source_neighborhood_k	delta_score_weight	condition_recall_at_1	condition_recall_at_5	condition_median_rank	perturbation_recall_at_1	perturbation_recall_at_5	perturbation_median_rank
1,2,3	0.3333333333333333	0.2	False	0.3333333333333333	z_bio_online	9	0.35	0.5185185185185185	0.8888888888888888	1.0	0.5185185185185185	0.8888888888888888	1.0
1,2,4	0.3333333333333333	0.65	True	0.3333333333333333	z_bio_online	9	0.65	0.5185185185185185	0.8888888888888888	1.0	0.5555555555555556	0.8888888888888888	1.0
1,2,5	0.3333333333333333	0.65	False	0.3333333333333333	z_bio_online	9	0.8	0.4444444444444444	0.9629629629629628	2.0	0.4444444444444444	0.9629629629629628	2.0
1,2,6	0.3333333333333333	0.8	False	0.3333333333333333	z_bio_online	9	0.35	0.4074074074074074	0.925925925925926	2.0	0.4074074074074074	0.925925925925926	2.0
1,2,7	0.3333333333333333	0.2	False	0.3333333333333333	z_bio_online	9	0.5	0.5555555555555556	0.8888888888888888	1.0	0.5555555555555556	0.8888888888888888	1.0
1,2,8	0.3333333333333333	0.2	False	0.3333333333333333	z_bio_online	9	0.05	0.3703703703703703	0.7407407407407407	2.0	0.3703703703703703	0.7407407407407407	2.0
1,3,4	0.3333333333333333	0.8	False	0.3333333333333333	z_bio_online	9	0.65	0.5555555555555556	0.9629629629629628	1.0	0.5555555555555556	1.0	1.0
1,3,5	0.3333333333333333	1.0	True	0.3333333333333333	z_bio_online	9	1.0	0.6296296296296297	0.9629629629629628	1.0	0.6296296296296297	0.9629629629629628	1.0
1,3,6	0.3333333333333333	1.0	False	0.3333333333333333	z_bio_online	9	0.5	0.4814814814814814	0.9629629629629628	2.0	0.5185185185185185	0.9629629629629628	1.0
1,3,7	0.3333333333333333	0.5	True	0.3333333333333333	z_bio_online	9	0.5	0.7037037037037037	1.0	1.0	0.7037037037037037	1.0	1.0
1,3,8	0.3333333333333333	0.5	False	0.3333333333333333	z_bio_online	9	0.2	0.5555555555555556	0.8518518518518519	1.0	0.5555555555555556	0.8518518518518519	1.0
1,4,5	0.3333333333333333	1.0	False	0.3333333333333333	z_bio_online	9	0.05	0.4814814814814814	0.9629629629629628	2.0	0.5185185185185185	0.9629629629629628	1.0
1,4,6	0.3333333333333333	0.65	False	0.3333333333333333	z_bio_online	9	0.8	0.4074074074074074	0.9629629629629628	2.0	0.4074074074074074	1.0	2.0
1,4,7	0.3333333333333333	1.0	True	0.3333333333333333	z_bio_online	9	1.0	0.5925925925925926	0.9629629629629628	1.0	0.5925925925925926	1.0	1.0
1,4,8	0.3333333333333333	0.8	False	0.3333333333333333	z_bio_online	9	0.0	0.4814814814814814	0.7037037037037037	2.0	0.4814814814814814	0.7037037037037037	2.0
1,5,6	0.3333333333333333	0.65	False	0.3333333333333333	z_bio_online	9	0.35	0.4814814814814814	1.0	2.0	0.4814814814814814	1.0	2.0
1,5,7	0.3333333333333333	0.2	False	0.3333333333333333	z_bio_online	9	0.65	0.5555555555555556	0.925925925925926	1.0	0.5925925925925926	0.925925925925926	1.0
1,5,8	0.3333333333333333	1.0	False	0.3333333333333333	z_bio_online	9	0.5	0.3703703703703703	0.925925925925926	2.0	0.4074074074074074	0.925925925925926	2.0
1,6,7	0.3333333333333333	1.0	False	0.3333333333333333	z_bio_online	9	0.5	0.4444444444444444	1.0	2.0	0.4444444444444444	1.0	2.0
1,6,8	0.3333333333333333	0.35	False	0.3333333333333333	z_bio_online	9	0.1	0.3333333333333333	0.7777777777777778	2.0	0.3333333333333333	0.8148148148148148	2.0
1,7,8	0.3333333333333333	0.8	False	0.3333333333333333	z_bio_online	9	0.5	0.5185185185185185	0.8518518518518519	1.0	0.5185185185185185	0.8518518518518519	1.0
2,3,4	0.3333333333333333	0.65	False	0.3333333333333333	z_bio_online	9	0.05	0.4814814814814814	0.8888888888888888	2.0	0.4814814814814814	0.8888888888888888	2.0
2,3,5	0.3333333333333333	0.35	False	0.3333333333333333	z_bio_online	9	0.1	0.4814814814814814	0.8888888888888888	2.0	0.4814814814814814	0.8888888888888888	2.0
2,3,6	0.3333333333333333	0.5	False	0.3333333333333333	z_bio_online	9	1.0	0.4814814814814814	0.8518518518518519	2.0	0.5185185185185185	0.8518518518518519	1.0
2,3,7	0.3333333333333333	1.0	True	0.3333333333333333	z_bio_online	9	1.0	0.6296296296296297	0.8888888888888888	1.0	0.6666666666666666	0.8888888888888888	1.0
2,3,8	0.3333333333333333	0.5	False	0.3333333333333333	z_bio_online	9	0.0	0.4074074074074074	0.7407407407407407	3.0	0.4074074074074074	0.7407407407407407	3.0
2,4,5	0.3333333333333333	1.0	False	0.3333333333333333	z_bio_online	9	0.2	0.5185185185185185	0.8888888888888888	1.0	0.5555555555555556	0.8888888888888888	1.0
2,4,6	0.3333333333333333	0.35	False	0.3333333333333333	z_bio_online	9	0.2	0.4444444444444444	0.8888888888888888	2.0	0.4444444444444444	0.8888888888888888	2.0
2,4,7	0.3333333333333333	0.2	True	0.3333333333333333	z_bio_online	9	0.2	0.5925925925925926	0.8518518518518519	1.0	0.6296296296296297	0.8518518518518519	1.0
2,4,8	0.3333333333333333	1.0	False	0.3333333333333333	z_bio_online	9	0.2	0.4074074074074074	0.7407407407407407	2.0	0.4074074074074074	0.7407407407407407	2.0
2,5,6	0.3333333333333333	0.8	False	0.3333333333333333	z_bio_online	9	0.65	0.4814814814814814	0.925925925925926	2.0	0.5185185185185185	0.925925925925926	1.0
2,5,7	0.3333333333333333	0.1	False	0.3333333333333333	z_bio_online	9	0.8	0.5555555555555556	0.8888888888888888	1.0	0.5925925925925926	0.8888888888888888	1.0
2,5,8	0.3333333333333333	1.0	False	0.3333333333333333	z_bio_online	9	0.35	0.5185185185185185	0.9629629629629628	1.0	0.5185185185185185	0.9629629629629628	1.0
2,6,7	0.3333333333333333	1.0	False	0.3333333333333333	z_bio_online	9	0.35	0.5555555555555556	0.925925925925926	1.0	0.5925925925925926	0.925925925925926	1.0
2,6,8	0.3333333333333333	0.5	False	0.3333333333333333	z_bio_online	9	0.65	0.3703703703703703	0.925925925925926	2.0	0.3703703703703703	0.925925925925926	2.0
2,7,8	0.3333333333333333	0.65	False	0.3333333333333333	z_bio_online	9	0.1	0.4444444444444444	0.7407407407407407	2.0	0.4444444444444444	0.7407407407407407	2.0
3,4,5	0.3333333333333333	0.35	False	0.3333333333333333	z_bio_online	9	0.05	0.5925925925925926	0.8888888888888888	1.0	0.5925925925925926	0.8888888888888888	1.0
3,4,6	0.3333333333333333	0.8	False	0.3333333333333333	z_bio_online	9	0.35	0.5555555555555556	0.9629629629629628	1.0	0.5925925925925926	0.9629629629629628	1.0
3,4,7	0.3333333333333333	0.5	False	0.3333333333333333	z_bio_online	9	0.1	0.5555555555555556	0.9629629629629628	1.0	0.5555555555555556	0.9629629629629628	1.0
3,4,8	0.3333333333333333	0.2	False	0.3333333333333333	z_bio_online	9	0.5	0.4444444444444444	0.8148148148148148	2.0	0.4814814814814814	0.8148148148148148	2.0
3,5,6	0.3333333333333333	0.65	False	0.3333333333333333	z_bio_online	9	0.2	0.4074074074074074	1.0	2.0	0.4444444444444444	1.0	2.0
3,5,7	0.3333333333333333	0.2	False	0.3333333333333333	z_bio_online	9	1.0	0.5925925925925926	0.925925925925926	1.0	0.5925925925925926	0.925925925925926	1.0
3,5,8	0.3333333333333333	0.1	False	0.3333333333333333	z_bio_online	9	0.2	0.4444444444444444	0.8518518518518519	3.0	0.4444444444444444	0.8518518518518519	3.0
3,6,7	0.3333333333333333	0.65	False	0.3333333333333333	z_bio_online	9	0.5	0.6666666666666666	0.8888888888888888	1.0	0.6666666666666666	0.925925925925926	1.0
3,6,8	0.3333333333333333	0.65	False	0.3333333333333333	z_bio_online	9	0.2	0.4074074074074074	0.8888888888888888	2.0	0.4444444444444444	0.8888888888888888	2.0
3,7,8	0.3333333333333333	0.35	False	0.3333333333333333	z_bio_online	9	1.0	0.5925925925925926	0.8148148148148148	1.0	0.5925925925925926	0.8518518518518519	1.0
4,5,6	0.3333333333333333	0.35	False	0.3333333333333333	z_bio_online	9	0.0	0.4814814814814814	0.925925925925926	2.0	0.4814814814814814	0.925925925925926	2.0
4,5,7	0.3333333333333333	0.1	True	0.3333333333333333	z_bio_online	9	0.1	0.5555555555555556	0.925925925925926	1.0	0.6296296296296297	0.925925925925926	1.0
4,5,8	0.3333333333333333	0.65	False	0.3333333333333333	z_bio_online	9	0.2	0.4444444444444444	0.8888888888888888	2.0	0.4814814814814814	0.925925925925926	2.0
4,6,7	0.3333333333333333	0.2	False	0.3333333333333333	z_bio_online	9	0.65	0.5555555555555556	0.9629629629629628	1.0	0.5925925925925926	0.9629629629629628	1.0
4,6,8	0.3333333333333333	1.0	False	0.3333333333333333	z_bio_online	9	0.0	0.4074074074074074	0.7407407407407407	3.0	0.4074074074074074	0.7777777777777778	3.0
4,7,8	0.3333333333333333	0.65	False	0.3333333333333333	z_bio_online	9	0.1	0.5185185185185185	0.8518518518518519	1.0	0.5555555555555556	0.8888888888888888	1.0
5,6,7	0.3333333333333333	0.65	False	0.3333333333333333	z_bio_online	9	0.1	0.5555555555555556	0.9629629629629628	1.0	0.5555555555555556	0.9629629629629628	1.0
5,6,8	0.3333333333333333	0.2	False	0.3333333333333333	z_bio_online	9	0.35	0.4444444444444444	0.9629629629629628	2.0	0.4444444444444444	0.9629629629629628	2.0
5,7,8	0.3333333333333333	0.1	False	0.3333333333333333	z_bio_online	9	0.05	0.4444444444444444	0.8888888888888888	2.0	0.4444444444444444	0.925925925925926	2.0
6,7,8	0.3333333333333333	0.2	False	0.3333333333333333	z_bio_online	9	0.1	0.5185185185185185	0.8888888888888888	1.0	0.5185185185185185	0.8888888888888888	1.0
