seed	space	status	transition_improvement	delta_cosine	condition_recall_at_1	condition_median_rank	delta_rank	magnitude_ratio	transition_gap_vs_teacher	delta_gap_vs_teacher	recall_gap_vs_teacher
0	teacher_action_ridge_floor	completed	0.005661906516194076	0.39796251669473043	0.48148148148148145	2.0	10.283476977293052	0.7744371112179363			
0	online_action_ridge_floor	completed	-0.0012388251049122363	0.3024620813108767	0.4444444444444444	2.0	9.707046491131676	0.7221414575494384	-0.0069007316211063124	-0.09550043538385372	-0.037037037037037035
1	teacher_action_ridge_floor	completed	0.021756478285427833	0.5404280277268804	0.3333333333333333	2.0	9.937518308977577	0.7933582487536444			
1	online_action_ridge_floor	completed	0.0136489946279565	0.48902856409497564	0.2962962962962963	3.0	9.19283384285273	0.7875929624580784	-0.008107483657471333	-0.05139946363190473	-0.037037037037037035
2	teacher_action_ridge_floor	completed	0.009402064646795659	0.4018851082029823	0.2962962962962963	5.0	9.632914633777684	0.5918627929859949			
2	online_action_ridge_floor	completed	0.009614570820504428	0.40909696078478486	0.2222222222222222	3.0	9.282601553379143	0.5963717932674997	0.00021250617370876905	0.007211852581802569	-0.07407407407407407
3	teacher_action_ridge_floor	completed	0.0004243423315500173	0.4200548145191377	0.25925925925925924	3.0	10.486444270464679	0.8778340372856198			
3	online_action_ridge_floor	completed	0.0020425653048668606	0.39251231436519063	0.4074074074074074	2.0	10.322072539337737	0.8155292485491832	0.0016182229733168432	-0.027542500153947047	0.14814814814814814
4	teacher_action_ridge_floor	completed	0.019162402606056148	0.4972452146646043	0.2962962962962963	2.0	10.888689749023888	0.7407240625696372			
4	online_action_ridge_floor	completed	0.01180453733415663	0.5104920099539101	0.4444444444444444	2.0	10.58427472405692	0.7428517880073101	-0.007357865271899518	0.01324679528930578	0.14814814814814814
