heldout_group	alpha_source_only	transition_gap_vs_full	recall_gap_vs_full	delta_cosine_gap_vs_full	transition_improvement	recall_at_1	delta_cosine
pert=1|dose=1|cell=0	0.0	0.0	0.0	0.0	0.023972028089158177	1.0	0.7397858007538846
pert=1|dose=1|cell=0	0.025	-0.00029716437663044465	0.0	-0.001606190116944406	0.023674863712527732	1.0	0.7381796106369402
pert=1|dose=1|cell=0	0.05	-0.0006165535322137164	0.0	-0.0034750997459563893	0.02335547455694446	1.0	0.7363107010079282
pert=1|dose=1|cell=0	0.075	-0.0009583698213636929	0.0	-0.005609429429012658	0.023013658267794484	1.0	0.7341763713248719
pert=1|dose=1|cell=0	0.1	-0.0013228119397861518	0.0	-0.008010996345875876	0.022649216149372025	1.0	0.7317748044080087
pert=1|dose=1|cell=0	0.15	-0.00212034911462481	0.0	-0.013618513615188732	0.021851678974533367	1.0	0.7261672871386958
pert=1|dose=1|cell=0	0.2	-0.0030106748724063603	0.0	-0.020293532712034157	0.020961353216751816	1.0	0.7194922680418504
pert=1|dose=1|cell=0	0.35	-0.006252405291869434	0.0	-0.046455739321025646	0.017719622797288743	1.0	0.6933300614328589
pert=1|dose=1|cell=0	0.5	-0.010376291793735002	0.0	-0.08069374754028524	0.013595736295423174	1.0	0.6590920532135993
pert=1|dose=1|cell=1	0.0	0.0	0.0	0.0	0.09077375927972497	1.0	0.7447740642525242
pert=1|dose=1|cell=1	0.025	0.00041627525233305096	0.0	-0.0008370395677990139	0.09119003453205803	1.0	0.7439370246847252
pert=1|dose=1|cell=1	0.05	0.000808340529833404	0.0	-0.0018417048799667102	0.09158209980955838	1.0	0.7429323593725575
pert=1|dose=1|cell=1	0.075	0.001176082669409384	0.0	-0.0030229725336798907	0.09194984194913436	1.0	0.7417510917188443
pert=1|dose=1|cell=1	0.1	0.001519393903189628	0.0	-0.004389902301669246	0.0922931531829146	1.0	0.740384161950855
pert=1|dose=1|cell=1	0.15	0.002132320000368934	0.0	-0.007716990458508266	0.09290607928009391	1.0	0.737057073794016
pert=1|dose=1|cell=1	0.2	0.0026463673226822665	0.0	-0.0118943064744238	0.09342012660240724	1.0	0.7328797577781004
pert=1|dose=1|cell=1	0.35	0.003589093622124409	0.0	-0.030159149582211775	0.09436285290184938	1.0	0.7146149146703125
pert=1|dose=1|cell=1	0.5	0.0036237614832944215	0.0	-0.05783533147452624	0.0943975207630194	1.0	0.686938732777998
pert=1|dose=1|cell=2	0.0	0.0	0.0	0.0	0.007514604428798847	1.0	0.5602479658136348
pert=1|dose=1|cell=2	0.025	0.000771571896067579	0.0	0.00252201012994846	0.008286176324866426	1.0	0.5627699759435832
pert=1|dose=1|cell=2	0.05	0.0015078873342461536	0.0	0.005058440027780553	0.009022491763045001	1.0	0.5653064058414153
pert=1|dose=1|cell=2	0.075	0.0022084088295875786	0.0	0.0076016096034255964	0.009723013258386426	1.0	0.5678495754170604
pert=1|dose=1|cell=2	0.1	0.002872605577449579	0.0	0.010141860113495382	0.010387210006248426	1.0	0.5703898259271302
pert=1|dose=1|cell=2	0.15	0.0040899381023722	0.0	0.015163215667896246	0.011604542531171047	1.0	0.575411181481531
pert=1|dose=1|cell=2	0.2	0.005155791692995625	0.0	0.019993954161113714	0.012670396121794473	1.0	0.5802419199747485
pert=1|dose=1|cell=2	0.35	0.007405747677822834	0.0	0.031292200417214144	0.014920352106621682	1.0	0.5915401662308489
pert=1|dose=1|cell=2	0.5	0.008160376459741471	0.0	0.031900161773433244	0.01567498088854032	1.0	0.592148127587068
pert=2|dose=1|cell=0	0.0	0.0	0.0	0.0	0.043492952194544666	1.0	0.677838991804645
pert=2|dose=1|cell=0	0.025	0.0022433554140015993	0.0	0.006316730616764965	0.045736307608546266	1.0	0.68415572242141
pert=2|dose=1|cell=0	0.05	0.004383702505374232	0.0	0.012707964630779611	0.0478766546999189	1.0	0.6905469564354246
pert=2|dose=1|cell=0	0.075	0.006420069196911557	0.0	0.019159607335983875	0.04991302139145622	1.0	0.6969985991406289
pert=2|dose=1|cell=0	0.1	0.008351585779883375	0.0	0.025654901836781208	0.05184453797442804	1.0	0.7034938936414262
pert=2|dose=1|cell=0	0.15	0.011897111863306074	0.0	0.03869473667319401	0.05539006405785074	1.0	0.716533728477839
pert=2|dose=1|cell=0	0.2	0.015015429873468232	0.0	0.051632156911176064	0.0585083820680129	1.0	0.7294711487158211
pert=2|dose=1|cell=0	0.35	0.021784485125389448	0.0	0.08710096267766332	0.06527743731993411	1.0	0.7649399544823083
pert=2|dose=1|cell=0	0.5	0.024699107022848645	0.0	0.11039281667134704	0.06819205921739331	1.0	0.7882318084759921
pert=2|dose=1|cell=1	0.0	0.0	0.0	0.0	0.01312295861935627	1.0	0.32448952672052783
pert=2|dose=1|cell=1	0.025	-0.0015343445040506554	0.0	-0.008310075496953062	0.011588614115305615	1.0	0.31617945122357477
pert=2|dose=1|cell=1	0.05	-0.0030868369027728573	0.0	-0.01681576100347143	0.010036121716583413	1.0	0.3076737657170564
pert=2|dose=1|cell=1	0.075	-0.004657447374194934	0.0	-0.025516514333922324	0.008465511245161336	1.0	0.2989730123866055
pert=2|dose=1|cell=1	0.1	-0.006246142716378541	0.0	-0.03441123153155301	0.006876815902977729	1.0	0.2900782951889748
pert=2|dose=1|cell=1	0.15	-0.0094776382487289	0.0	-0.052775096190994186	0.0036453203706273696	1.0	0.27171443052953365
pert=2|dose=1|cell=1	0.2	-0.012780989956670579	0.0	-0.0718858324911214	0.0003419686626856914	1.0	0.25260369422940643
pert=2|dose=1|cell=1	0.35	-0.023118028457793725	0.0	-0.13331100541157487	-0.009995069838437454	1.0	0.19117852130895296
pert=2|dose=1|cell=1	0.5	-0.03408453135176781	0.0	-0.19955048586377566	-0.020961572732411542	1.0	0.12493904085675218
pert=2|dose=1|cell=2	0.0	0.0	0.0	0.0	-0.049060905849433976	1.0	0.6494523148399186
pert=2|dose=1|cell=2	0.025	0.0036662828270043954	0.0	0.0038679064526714324	-0.04539462302242958	1.0	0.65332022129259
pert=2|dose=1|cell=2	0.05	0.00725943975722506	0.0	0.007746842454173342	-0.041801466092208917	1.0	0.657199157294092
pert=2|dose=1|cell=2	0.075	0.010776496694766623	0.0	0.011631286242949734	-0.038284409154667354	1.0	0.6610836010828683
pert=2|dose=1|cell=2	0.1	0.014214493031385153	0.0	0.015515129545913497	-0.03484641281804882	1.0	0.6649674443858321
pert=2|dose=1|cell=2	0.15	0.020841568583641317	0.0	0.023253413412878343	-0.02821933726579266	1.0	0.672705728252797
pert=2|dose=1|cell=2	0.2	0.027117506106548842	0.0	0.030899599015055235	-0.021943399742885134	1.0	0.6803519138549738
pert=2|dose=1|cell=2	0.35	0.043618114313832224	0.0	0.05247881622763639	-0.00544279153560175	1.0	0.701931131067555
pert=2|dose=1|cell=2	0.5	0.05621420247862752	0.0	0.06972547400118145	0.007153296629193544	1.0	0.7191777888411001
pert=3|dose=1|cell=0	0.0	0.0	0.0	0.0	0.057893137873125666	1.0	0.8092077489476067
pert=3|dose=1|cell=0	0.025	0.0001407567861445927	0.0	0.0008364327912132596	0.05803389465927026	1.0	0.81004418173882
pert=3|dose=1|cell=0	0.05	0.0002576794337368557	0.0	0.0016224611752355678	0.05815081730686252	1.0	0.8108302101228423
pert=3|dose=1|cell=0	0.075	0.00035053235583781817	0.0	0.002355563436412078	0.058243670228963484	1.0	0.8115633123840188
pert=3|dose=1|cell=0	0.1	0.0004190826303621664	0.0	0.0030331043910489797	0.05831222050348783	1.0	0.8122408533386557
pert=3|dose=1|cell=0	0.15	0.00048235772511728836	0.0	0.00421035905032463	0.058375495598242955	1.0	0.8134181079979314
pert=3|dose=1|cell=0	0.2	0.00044570006523381167	0.0	0.005130649228270778	0.05833883793835948	1.0	0.8143383981758775
pert=3|dose=1|cell=0	0.35	-0.000281109551678628	0.0	0.00607987948445432	0.05761202832144704	1.0	0.815287628432061
pert=3|dose=1|cell=0	0.5	-0.001966758470926609	0.0	0.003636697346974138	0.05592637940219906	1.0	0.8128444462945809
pert=3|dose=1|cell=1	0.0	0.0	0.0	0.0	0.03656748091444362	1.0	0.7483248487511197
pert=3|dose=1|cell=1	0.025	0.0002021914896208274	0.0	-0.0012422922368298117	0.036769672404064445	1.0	0.7470825565142899
pert=3|dose=1|cell=1	0.05	0.0003790683157990707	0.0	-0.0025765597553267794	0.03694654923024269	1.0	0.7457482889957929
pert=3|dose=1|cell=1	0.075	0.0005305335760424149	0.0	-0.004007624957343969	0.03709801449048603	1.0	0.7443172237937757
pert=3|dose=1|cell=1	0.1	0.0006564965244186816	0.0	-0.005540505768564463	0.0372239774388623	1.0	0.7427843429825552
pert=3|dose=1|cell=1	0.15	0.000831583685042693	0.0	-0.008932757775538258	0.03739906459948631	1.0	0.7393920909755815
pert=3|dose=1|cell=1	0.2	0.000903729414861755	0.0	-0.012797302145401424	0.03747121032930537	1.0	0.7355275466057183
pert=3|dose=1|cell=1	0.35	0.0004980583182417897	0.0	-0.027706005427236113	0.03706553923268541	1.0	0.7206188433238836
pert=3|dose=1|cell=1	0.5	-0.0008457264000925058	0.0	-0.04867597073343377	0.03572175451435111	1.0	0.6996488780176859
pert=3|dose=1|cell=2	0.0	0.0	0.0	0.0	0.12271694870333742	1.0	0.8529425157821343
pert=3|dose=1|cell=2	0.025	0.00016318974184344193	0.0	0.0019585913445354652	0.12288013844518086	1.0	0.8549011071266698
pert=3|dose=1|cell=2	0.05	0.00028163935431164966	0.0	0.003847155957470094	0.12299858805764907	1.0	0.8567896717396044
pert=3|dose=1|cell=2	0.075	0.00035478434742715337	0.0	0.005657244357976099	0.12307173305076458	1.0	0.8585997601401104
pert=3|dose=1|cell=2	0.1	0.0003820794649979087	0.0	0.007379851058045617	0.12309902816833533	1.0	0.8603223668401799
pert=3|dose=1|cell=2	0.15	0.00029704089644244647	0.0	0.010523778225464242	0.12301398959977987	1.0	0.8634662940075986
pert=3|dose=1|cell=2	0.2	2.2581904096569128e-05	0.0	0.013195632875221297	0.12273953060743399	1.0	0.8661381486573556
pert=3|dose=1|cell=2	0.35	-0.0019710764507068212	0.0	0.017420294370860567	0.1207458722526306	1.0	0.8703628101529949
pert=3|dose=1|cell=2	0.5	-0.005773312044961565	0.0	0.013708737659400061	0.11694363665837586	1.0	0.8666512534415344
pert=4|dose=1|cell=0	0.0	0.0	0.0	0.0	0.029614547838234733	1.0	0.6641990372086847
pert=4|dose=1|cell=0	0.025	0.00027364562463501677	0.0	0.0028630453473414974	0.02988819346286975	1.0	0.6670620825560262
pert=4|dose=1|cell=0	0.05	0.0005319122434334807	0.0	0.005653244771719801	0.030146460081668214	1.0	0.6698522819804045
pert=4|dose=1|cell=0	0.075	0.0007746812557934586	0.0	0.008364997275806973	0.03038922909402819	1.0	0.6725640344844916
pert=4|dose=1|cell=0	0.1	0.0010018355662217981	0.0	0.01099256443960761	0.03061638340445653	1.0	0.6751916016482923
pert=4|dose=1|cell=0	0.15	0.0014088395170686052	0.0	0.015971602433627274	0.03102338735530334	1.0	0.680170639642312
pert=4|dose=1|cell=0	0.2	0.0017520192830663035	0.0	0.020542382546364868	0.03136656712130104	1.0	0.6847414197550495
pert=4|dose=1|cell=0	0.35	0.0023899823756269693	0.0	0.03131683303890831	0.0320045302138617	1.0	0.695515870247593
pert=4|dose=1|cell=0	0.5	0.002423738466366416	0.0	0.036704549941213305	0.03203828630460115	1.0	0.700903587149898
pert=4|dose=1|cell=1	0.0	0.0	0.0	0.0	0.08488006368532901	1.0	0.7264745026442189
pert=4|dose=1|cell=1	0.025	0.0002443809629034954	0.0	0.0018205688150920718	0.0851244446482325	1.0	0.7282950714593109
pert=4|dose=1|cell=1	0.05	0.0004624480442787099	0.0	0.003495514272384481	0.08534251172960772	1.0	0.7299700169166033
pert=4|dose=1|cell=1	0.075	0.0006538683864223682	0.0	0.005011963647804318	0.08553393207175138	1.0	0.7314864662920232
pert=4|dose=1|cell=1	0.1	0.0008183120356531903	0.0	0.006356552652223235	0.0856983757209822	1.0	0.7328310552964421
pert=4|dose=1|cell=1	0.15	0.0010649653263398867	0.0	0.00847453374480922	0.0859450290116689	1.0	0.7349490363890281
