alpha_source_only	support_threshold	mean_active_fraction	mean_transition_gap	min_transition_gap	mean_recall_gap	min_recall_gap	mean_delta_cosine_gap	min_delta_cosine_gap
0.0	0.4933503502876452	1.0	0.0	0.0	0.0	0.0	0.0	0.0
0.0	0.7300139265405944	0.875	0.0	0.0	0.0	0.0	0.0	0.0
0.0	0.7931358005091581	0.75	0.0	0.0	0.0	0.0	0.0	0.0
0.0	0.8209663844140184	0.625	0.0	0.0	0.0	0.0	0.0	0.0
0.0	0.851848739058562	0.5	0.0	0.0	0.0	0.0	0.0	0.0
0.0	0.8734349154536685	0.375	0.0	0.0	0.0	0.0	0.0	0.0
0.0	0.9009006851442267	0.25	0.0	0.0	0.0	0.0	0.0	0.0
0.0	0.916384103980441	0.125	0.0	0.0	0.0	0.0	0.0	0.0
0.0	0.9566618557676194	0.013888888888888888	0.0	0.0	0.0	0.0	0.0	0.0
0.0	0.9566628557676194	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0.025	0.4933503502876452	1.0	0.00011750316032741142	2.9087521803083938e-05	0.0	0.0	0.0006918283169533648	-0.00016615102806105675
0.025	0.7300139265405944	0.875	9.817253119350573e-05	-6.586190295391342e-05	0.0	0.0	0.0005219921793530001	-4.095297270401144e-05
0.025	0.7931358005091581	0.75	8.552395266870326e-05	-0.00010811689327330787	0.0	0.0	0.0004286996398327296	-0.0003326079701895246
0.025	0.8209663844140184	0.625	6.826796062643907e-05	-0.00010673803601472104	0.0	0.0	0.00031695891202911455	-0.00035608623130634065
0.025	0.851848739058562	0.5	7.252397495637454e-05	-0.00010673803601472104	0.0	0.0	0.0003498386649494825	-0.00035608623130634065
0.025	0.8734349154536685	0.375	4.9615325968869984e-05	-0.00010673803601472104	0.0	0.0	0.0002356956878647662	-0.00035608623130634065
0.025	0.9009006851442267	0.25	2.250299146255841e-05	-9.79770034053376e-05	0.0	0.0	9.131836932079265e-05	-0.00030810571876915827
0.025	0.916384103980441	0.125	-1.1822475242337111e-05	-8.631930056466133e-05	0.0	0.0	-2.7690452857775938e-05	-0.00029958285448966615
0.025	0.9566618557676194	0.013888888888888888	-7.237343322224164e-06	-5.7898746577793314e-05	0.0	0.0	-8.51493482764698e-06	-6.811947862117584e-05
0.025	0.9566628557676194	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0.05	0.4933503502876452	1.0	0.00022912432097607746	5.368728186305738e-05	0.0	0.0	0.001347809437586854	-0.0003537287524266741
0.05	0.7300139265405944	0.875	0.00019093003365427041	-0.00014066371661122096	0.0	0.0	0.0010125504925748187	-0.0001462862244007157
0.05	0.7931358005091581	0.75	0.00016617546172331427	-0.00022476451736021252	0.0	0.0	0.0008298821320789386	-0.0007240077764405495
