alpha_source_only	support_threshold	mean_active_fraction	mean_transition_gap	min_transition_gap	mean_recall_gap	min_recall_gap	mean_delta_cosine_gap	min_delta_cosine_gap
0.025	0.4933503502876452	1.0	0.00011750316032741142	2.9087521803083938e-05	0.0	0.0	0.0006918283169533648	-0.00016615102806105675
0.025	0.706549260900512	0.9166666666666666	0.00010684603638201726	-1.6828446985882317e-05	0.0	0.0	0.0005937789470562907	-3.969687573884828e-05
0.025	0.7653276194698803	0.8333333333333333	8.909417313584232e-05	-0.00010142526172823157	0.0	0.0	0.00045400083880496253	-0.00028418739211055755
0.025	0.7931358005091581	0.75	8.552395266870326e-05	-0.00010811689327330787	0.0	0.0	0.0004286996398327296	-0.0003326079701895246
0.025	0.8095962997559084	0.6666666666666666	7.626575411540245e-05	-0.00010673803601472104	0.0	0.0	0.0003610242893983019	-0.00035608623130634065
0.025	0.8246484669806763	0.5833333333333333	6.73504301576547e-05	-0.00010673803601472104	0.0	0.0	0.000359021106481925	-0.00035608623130634065
0.025	0.851848739058562	0.5	7.252397495637454e-05	-0.00010673803601472104	0.0	0.0	0.0003498386649494825	-0.00035608623130634065
0.025	0.8610325423104322	0.41666666666666663	5.9101552600713224e-05	-0.00010673803601472104	0.0	0.0	0.0003028797429936031	-0.00035608623130634065
0.025	0.8862745398781099	0.3333333333333333	3.907479211764529e-05	-0.00010182978733625642	0.0	0.0	0.00019535425095557057	-0.0003212671349934748
0.025	0.9009006851442267	0.25	2.250299146255841e-05	-9.79770034053376e-05	0.0	0.0	9.131836932079265e-05	-0.00030810571876915827
0.025	0.9109358336891847	0.16666666666666666	-2.3035924740263773e-06	-8.631930056466133e-05	0.0	0.0	-1.0168249147065461e-05	-0.00029958285448966615
0.025	0.9331897071205175	0.08333333333333333	-1.5369179275735636e-05	-8.631930056466133e-05	0.0	0.0	-3.305234207760799e-05	-0.00029958285448966615
0.025	0.9566618557676194	0.013888888888888888	-7.237343322224164e-06	-5.7898746577793314e-05	0.0	0.0	-8.51493482764698e-06	-6.811947862117584e-05
0.025	0.9566628557676194	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0.05	0.4933503502876452	1.0	0.00022912432097607746	5.368728186305738e-05	0.0	0.0	0.001347809437586854	-0.0003537287524266741
0.05	0.706549260900512	0.9166666666666666	0.0002080596020476083	-3.7362511193364534e-05	0.0	0.0	0.0011533403651668717	-9.719882989772666e-05
