heldout_perturbation_ids	heldout_rows	fit_rows	transition_improvement	delta_cosine	recall_at_1	median_rank	delta_rank	magnitude_ratio	nearest_train_delta_cosine_mean	nearest_train_delta_cosine_min
2,5,8	27	45	-0.019145637759237916	0.31591640054661346	0.1111111111111111	5.0	8.556556611923055	0.8840725993748139	0.30284287210777133	0.13254405002542402
2,6,8	27	45	-0.010391068927364069	0.358188716631335	0.25925925925925924	5.0	8.487195252612597	0.8753471604032407	0.09597867038217354	-0.3000129458723135
5,6,8	27	45	-0.001750951534854914	0.3787693066631909	0.2962962962962963	3.0	8.930323330697876	0.888689769685827	0.4074017532036449	0.255688418223135
2,5,6	27	45	-0.00028219324005816115	0.43908636615783264	0.25925925925925924	4.0	9.07243414265813	0.8692428986303696	0.4074017532036449	0.255688418223135
1,2,8	27	45	0.0010201419377360835	0.39716358338868846	0.2222222222222222	5.0	8.620463745829502	0.7850358963764511	0.41026808409192705	0.1332131527277807
1,5,8	27	45	0.00475551098391402	0.3825155014174991	0.1111111111111111	4.0	8.809705907710883	0.8233531164951805	0.5364573788815823	0.2642035292011436
1,2,5	27	45	0.0072131355607944	0.46427278434188	0.18518518518518517	4.0	8.897308413886732	0.8375958325606822	0.5336190085555794	0.255688418223135
2,3,8	27	45	0.0074062616413031615	0.4314106166814447	0.2962962962962963	4.0	8.705991710533775	0.7241517551631729	0.41026808409192705	0.1332131527277807
2,4,8	27	45	0.008087839977458766	0.42876726103858726	0.25925925925925924	6.0	8.48923281260917	0.7703292433918036	0.38591735702647395	0.1332131527277807
1,6,8	27	45	0.008561828419373441	0.3894615066305371	0.2222222222222222	4.0	8.329902182610287	0.8346295351271715	0.5146039309536817	0.255688418223135
4,5,8	27	45	0.012534210383016168	0.4037989346162057	0.3333333333333333	3.0	8.955336565633392	0.7919732712454619	0.42964927914281076	0.2642035292011436
2,4,5	27	45	0.014619847978698723	0.47653485088679276	0.14814814814814814	4.0	8.81834134073588	0.8076560700204166	0.42681090881680794	0.255688418223135
1,2,6	27	45	0.014675813132163065	0.4752114638118408	0.2222222222222222	2.0	9.268783096487912	0.7767690118151869	0.5146039309536817	0.255688418223135
3,5,8	27	45	0.016753173654979792	0.4425876457997319	0.2222222222222222	3.0	9.214483447107344	0.73927832546566	0.5364573788815823	0.2642035292011436
2,7,8	27	45	0.01852233359180598	0.47863799829411113	0.2222222222222222	4.0	8.767459679798899	0.736810378189774	0.4086670234051469	0.1332131527277807
5,7,8	27	45	0.019273887819169215	0.42051537570643555	0.25925925925925924	3.0	8.88622756038788	0.7752255022853453	0.5348563181948021	0.2642035292011436
1,5,6	27	45	0.01963291971454461	0.505250245533505	0.2962962962962963	2.0	9.34388399880372	0.8303620984266649	0.5999681372448856	0.45473580429105337
1,4,8	27	45	0.019871489342101097	0.44138877567031404	0.48148148148148145	2.0	8.879343696033214	0.72813525302428	0.6193088295661661	0.2642035292011436
1,3,8	27	45	0.019953609017999988	0.4339638342935204	0.2222222222222222	3.0	8.845617522143577	0.6986444171307661	0.6183800798684124	0.2642035292011436
2,3,5	27	45	0.020590681684589617	0.5191367911541913	0.1111111111111111	4.0	8.87250486345067	0.7398190720607831	0.5336190085555794	0.255688418223135
3,6,8	27	45	0.020828139451809873	0.46465684608959845	0.25925925925925924	3.0	8.961621483068662	0.7546089324264843	0.4554527740134937	0.255688418223135
4,6,8	27	45	0.021502124639247396	0.4536383744430903	0.37037037037037035	3.0	8.876572558786076	0.7833333996799319	0.4902532038882286	0.255688418223135
1,7,8	27	45	0.022321840587910875	0.4593591217346631	0.2962962962962963	3.0	8.667973638686922	0.7336954493098924	0.642058495944839	0.2642035292011436
1,2,4	27	45	0.022507674650153717	0.5240066844661272	0.2222222222222222	4.0	9.133125454781757	0.7260598592291343	0.6164704592401632	0.255688418223135
1,4,7	27	45	0.024089486898433755	0.4975109227451972	0.37037037037037035	2.0	9.020172851971884	0.7259023599338109	0.7979500530043505	0.7318782003796783
2,5,7	27	45	0.024710394733068932	0.5232881184504907	0.1111111111111111	4.0	8.730216883938612	0.7524928638647542	0.5320179478687992	0.255688418223135
1,5,7	27	45	0.025043115193003392	0.49366839802667345	0.2222222222222222	2.0	8.680454890720254	0.799301126391691	0.7245843319100399	0.5117810370967464
1,4,5	27	45	0.02522863097032328	0.5120045894474715	0.14814814814814814	3.0	9.237558446783488	0.7844649607880342	0.6193772928580487	0.2644089190767913
1,3,7	27	45	0.025942186988699083	0.48104259002810795	0.37037037037037035	2.0	9.04762048437799	0.6826467567992737	0.7236709070415547	0.6787991315944885
1,2,3	27	45	0.0261992185724482	0.513596129254461	0.2222222222222222	3.0	9.414530674077168	0.6619956351918861	0.6155417095424096	0.255688418223135
1,2,7	27	45	0.02628794023838918	0.532433923689748	0.25925925925925924	3.0	9.222277738490893	0.7171126549247225	0.6392201256188361	0.255688418223135
2,4,6	27	45	0.026789303927290065	0.5467162797067636	0.3333333333333333	3.0	9.136178837271629	0.7602517226479819	0.49025320388822863	0.255688418223135
1,4,6	27	45	0.028528777733864953	0.5177645944697391	0.2222222222222222	2.0	9.447783663723403	0.7413382886952203	0.6828195879294693	0.45473580429105337
2,3,6	27	45	0.029115021746238458	0.5589509715271559	0.18518518518518517	3.0	9.719884332837495	0.6856789189073185	0.4554527740134937	0.255688418223135
3,7,8	27	45	0.029633756934232272	0.4962042375267553	0.3333333333333333	2.0	8.873481485019095	0.6522530166523319	0.6199811405551926	0.2642035292011436
1,6,7	27	45	0.029982250528756423	0.5219786932470152	0.2222222222222222	3.0	9.29476492507207	0.7456653883422798	0.7055692543081422	0.45473580429105337
6,7,8	27	45	0.03069787608702408	0.5060652290515043	0.3333333333333333	3.0	8.822398649266313	0.776245202046664	0.5130028702669015	0.255688418223135
4,5,6	27	45	0.030737530754042595	0.5533676602607239	0.4074074074074074	2.0	9.506888877856598	0.7906704146680212	0.48516062209459565	0.24041067284223594
3,4,8	27	45	0.03182075979418988	0.5082454746984753	0.3333333333333333	3.0	9.079268461515891	0.6483906125788033	0.6193088295661661	0.2642035292011436
1,3,4	27	45	0.032206371426142175	0.5255162880698	0.37037037037037035	2.0	8.95830648763404	0.6832656755511751	0.783757366518197	0.7603353891504975
1,3,5	27	45	0.03272999068106392	0.5464286786772494	0.14814814814814814	2.0	9.108480739303703	0.7331218533372872	0.7009059158336134	0.5117810370967464
1,3,6	27	45	0.032803247053207765	0.5221495894638607	0.2962962962962963	3.0	9.592633805300816	0.7095635321645188	0.6227396812915277	0.2772823334704893
4,7,8	27	45	0.03371210725711028	0.5171595542456233	0.3333333333333333	3.0	8.971755070764198	0.6778275009602749	0.6082220392891128	0.2642035292011436
4,5,7	27	45	0.03427693531343207	0.5229258801593101	0.2222222222222222	3.0	8.693698792945012	0.7426035527978774	0.6082905025809954	0.2644089190767913
2,4,7	27	45	0.03473703330612671	0.5835987641923923	0.2962962962962963	3.0	9.15470928161327	0.6712344460689139	0.6053836689631099	0.255688418223135
3,5,6	27	45	0.03514259928782914	0.5910055430444233	0.25925925925925924	3.0	9.89332315574433	0.7333849107374816	0.5408169803046975	0.2772823334704893
2,3,7	27	45	0.03577879069499367	0.5917949664092622	0.2222222222222222	3.0	9.4203224135508	0.6046152258345152	0.6171427702291897	0.255688418223135
2,3,4	27	45	0.03621062368397708	0.5937463513226066	0.2962962962962963	3.0	9.206461046193608	0.6335906843321353	0.6164704592401632	0.255688418223135
2,6,7	27	45	0.03668122904967563	0.5927380219974903	0.2222222222222222	3.0	9.365239112004584	0.7062711399913051	0.5130028702669015	0.255688418223135
5,6,7	27	45	0.038387590258422394	0.5805585110789332	0.4074074074074074	2.0	9.3492515765043	0.7646072402791799	0.5983670765581054	0.45473580429105337
3,5,7	27	45	0.03924763449405519	0.5570169579002762	0.2222222222222222	2.0	8.803821631356474	0.6738893203070654	0.7025069765203935	0.5117810370967464
3,4,5	27	45	0.04007290390051577	0.5779062407040525	0.2962962962962963	2.0	8.72305409127465	0.6837985426363588	0.6193772928580487	0.2644089190767913
3,4,7	27	45	0.04175199012648333	0.5800539452402519	0.3333333333333333	2.0	8.860178745894618	0.6087393207068031	0.7581796746863075	0.6787991315944885
3,6,7	27	45	0.04561305993957351	0.6049095329843164	0.2962962962962963	3.0	9.672552541536394	0.643637544206637	0.6243407419783078	0.2772823334704893
3,4,6	27	45	0.04657297077533849	0.6204757868276024	0.2962962962962963	2.0	9.558418103676647	0.6613850757130898	0.6193772928580487	0.2644089190767913
4,6,7	27	45	0.046957598744713544	0.6245217622726229	0.4074074074074074	2.0	9.410053488936537	0.6837755718273272	0.671732797652416	0.45473580429105337
