support_score	threshold	triplets_retained	retained_fraction	negative_transition_triplets	recall_below_protected_floor_triplets	mean_transition_improvement	min_transition_improvement	mean_recall_at_1	min_recall_at_1	mean_delta_cosine	min_delta_cosine
nearest_train_delta_cosine_min	0.7603353891504975	1	0.017857142857142856	0	1	0.0322063714261421	0.0322063714261421	0.3703703703703703	0.3703703703703703	0.5255162880698	0.5255162880698
nearest_train_delta_cosine_mean	0.7979500530043505	1	0.017857142857142856	0	1	0.0240894868984337	0.0240894868984337	0.3703703703703703	0.3703703703703703	0.4975109227451972	0.4975109227451972
nearest_train_delta_cosine_mean	0.7329831676041068	3	0.05357142857142857	0	3	0.03268261615035303	0.0240894868984337	0.35802469135802467	0.3333333333333333	0.5343603853517497	0.4975109227451972
nearest_train_delta_cosine_min	0.6787991315944885	4	0.07142857142857142	0	4	0.030997508859939526	0.0240894868984337	0.36111111111111105	0.3333333333333333	0.5210309365208392	0.4810425900281079
nearest_train_delta_cosine_mean	0.7040381154142679	6	0.10714285714285714	0	6	0.029835900193586302	0.0240894868984337	0.31481481481481477	0.2222222222222222	0.5166284728928409	0.4810425900281079
nearest_train_delta_cosine_min	0.5117810370967464	7	0.125	0	7	0.031572967972554336	0.0240894868984337	0.291005291005291	0.1481481481481481	0.5258911115267937	0.4810425900281079
nearest_train_delta_cosine_mean	0.6800478903602061	9	0.16071428571428573	0	9	0.031057978230055745	0.0240894868984337	0.27572016460905346	0.1481481481481481	0.5245534520449233	0.4810425900281079
nearest_train_delta_cosine_min	0.4547358042910533	12	0.21428571428571427	0	12	0.032041659399015175	0.0196329197145446	0.2993827160493827	0.1481481481481481	0.5359426322741143	0.4810425900281079
nearest_train_delta_cosine_mean	0.6392201256188361	12	0.21428571428571427	0	12	0.03125743197012626	0.0223218405879108	0.28703703703703703	0.1481481481481481	0.5281079896751121	0.4593591217346631
nearest_train_delta_cosine_mean	0.6206707757392764	14	0.25	0	14	0.03239324933102116	0.0223218405879108	0.2883597883597883	0.1481481481481481	0.5331682141821087	0.4593591217346631
nearest_train_delta_cosine_min	0.2772823334704893	15	0.26785714285714285	0	15	0.03320392127125283	0.0196329197145446	0.2962962962962962	0.1481481481481481	0.5432917501854647	0.4810425900281079
nearest_train_delta_cosine_mean	0.6193772928580487	18	0.32142857142857145	0	18	0.033056319623039204	0.0223218405879108	0.28395061728395055	0.1481481481481481	0.5372747696141891	0.4593591217346631
nearest_train_delta_cosine_min	0.2644089190767913	19	0.3392857142857143	0	19	0.03390580315938957	0.0196329197145446	0.2846003898635477	0.1481481481481481	0.5464573026273899	0.4810425900281079
nearest_train_delta_cosine_mean	0.6190766421417276	20	0.35714285714285715	0	20	0.03233530011754983	0.019871489342101	0.2962962962962962	0.1481481481481481	0.5310290051712097	0.441388775670314
nearest_train_delta_cosine_mean	0.6164704592401632	24	0.42857142857142855	0	24	0.031714862516588366	0.019871489342101	0.28703703703703703	0.1481481481481481	0.5318371641631545	0.4339638342935204
nearest_train_delta_cosine_mean	0.610103304321349	25	0.44642857142857145	0	25	0.03149423675882276	0.019871489342101	0.2844444444444444	0.1481481481481481	0.5311075227668067	0.4339638342935204
nearest_train_delta_cosine_mean	0.6026759031039978	28	0.5	0	28	0.03178864267311564	0.019871489342101	0.2843915343915343	0.1481481481481481	0.532191866705982	0.4339638342935204
nearest_train_delta_cosine_min	0.2642035292011436	29	0.5178571428571429	0	29	0.029477262269069812	0.004755510983914	0.28735632183908033	0.1111111111111111	0.5133940415734356	0.3825155014174991
nearest_train_delta_cosine_mean	0.5397270799489187	31	0.5535714285714286	0	31	0.03171758400348497	0.0196329197145446	0.2879330943847072	0.1481481481481481	0.5347802118523987	0.4339638342935204
nearest_train_delta_cosine_mean	0.5348563181948021	34	0.6071428571428571	0	34	0.030118461075473432	0.004755510983914	0.2799564270152505	0.1111111111111111	0.5242295614808241	0.3825155014174991
nearest_train_delta_cosine_mean	0.5324182130404942	36	0.6428571428571429	0	36	0.029217541494763362	0.004755510983914	0.27263374485596703	0.1111111111111111	0.5224226296067802	0.3825155014174991
nearest_train_delta_cosine_mean	0.5138034006102916	39	0.6964285714285714	0	39	0.02819947513066887	0.004755510983914	0.26590693257359915	0.1111111111111111	0.5178250193522298	0.3825155014174991
nearest_train_delta_cosine_mean	0.4902532038882286	43	0.7678571428571429	0	43	0.02826628055347263	0.004755510983914	0.2704565030146425	0.1111111111111111	0.5184728758124606	0.3825155014174991
nearest_train_delta_cosine_mean	0.4554527740134937	46	0.8214285714285714	0	46	0.02817675555981334	0.004755510983914	0.2713365539452495	0.1111111111111111	0.518941502995941	0.3825155014174991
nearest_train_delta_cosine_mean	0.4275205013983086	47	0.8392857142857143	0	47	0.027843935449668716	0.004755510983914	0.2726556343577619	0.1111111111111111	0.5164916611155211	0.3825155014174991
nearest_train_delta_cosine_mean	0.40946755374853694	50	0.8928571428571429	0	50	0.026634224353843355	0.001020141937736	0.2696296296296296	0.1111111111111111	0.5116043424677283	0.3825155014174991
nearest_train_delta_cosine_min	0.255688418223135	49	0.875	2	49	0.026337023236411697	-0.0017509515348549	0.26757369614512466	0.1111111111111111	0.5105332844056446	0.3787693066631909
nearest_train_delta_cosine_min	0.1868119127850083	50	0.8928571428571429	2	50	0.02642503338676431	-0.0017509515348549	0.2703703703703703	0.1111111111111111	0.5113899719227462	0.3787693066631909
nearest_train_delta_cosine_mean	0.40203065415935213	53	0.9464285714285714	2	53	0.025437743519038877	-0.0017509515348549	0.2690426275331935	0.1111111111111111	0.5071077508396519	0.3787693066631909
nearest_train_delta_cosine_min	0.1332131527277807	54	0.9642857142857143	2	54	0.025116449009009615	-0.0017509515348549	0.26886145404663914	0.1111111111111111	0.5056570010285212	0.3787693066631909
nearest_train_delta_cosine_mean	0.0959786703821735	56	1.0	4	56	0.023691991782141382	-0.0191456377592379	0.2658730158730158	0.1111111111111111	0.4996354137985374	0.3159164005466134
nearest_train_delta_cosine_min	-0.3000129458723135	56	1.0	4	56	0.023691991782141382	-0.0191456377592379	0.2658730158730158	0.1111111111111111	0.4996354137985374	0.3159164005466134
