feature	direction	threshold	mean_active_fraction	mean_oracle_safe_active_fraction	mean_unsafe_active_fraction	mean_transition_gap	min_transition_gap	mean_delta_cosine_gap	min_delta_cosine_gap	mean_recall_gap	min_recall_gap
action_support	ge	0.4999999999999999	0.7259259259259259	0.4962962962962963	0.22962962962962963	0.0033640604045363518	0.0016896395566159197	0.01992438727878043	0.005005763929576856	0.0	-0.1111111111111111
action_support	le	0.4999999999999999	0.7259259259259259	0.4962962962962963	0.22962962962962963	0.0033640604045363518	0.0016896395566159197	0.01992438727878043	0.005005763929576856	0.0	-0.1111111111111111
support_gain	ge	-0.030949299926927874	0.7259259259259259	0.4962962962962963	0.22962962962962963	0.0033640604045363518	0.0016896395566159197	0.01992438727878043	0.005005763929576856	0.0	-0.1111111111111111
source_support	le	0.9976386023447664	0.6	0.4148148148148148	0.18518518518518517	0.0031906044043267965	0.0011338123166597415	0.01642325513346974	0.00369092409382743	0.0	-0.07407407407407407
blend_minus_floor_norm	ge	0.039865533442597544	0.5777777777777777	0.39259259259259255	0.18518518518518517	0.0031730190651354786	0.0018227732987791574	0.017184430123786565	0.0035969660247474056	0.0	-0.1111111111111111
blend_minus_floor_norm	ge	0.04483998042666908	0.5037037037037037	0.34814814814814815	0.15555555555555553	0.003003708977701425	0.0017357017381937588	0.015386860734831309	0.0031654988245848337	-0.014814814814814814	-0.1111111111111111
blend_delta_support	ge	0.7904762629271456	0.6148148148148148	0.4148148148148148	0.2	0.0029796270376111354	0.0014663787536827004	0.016925661942194147	0.0003701293182531984	-0.014814814814814814	-0.1111111111111111
floor_blend_delta_cosine	ge	0.9643080005611732	0.5703703703703704	0.3851851851851852	0.1851851851851852	0.002802340906461086	0.0017488214852192062	0.009761185222195656	0.003453014235130003	0.007407407407407407	-0.1111111111111111
blend_to_floor_norm_ratio	le	0.9721570244314803	0.5555555555555556	0.38518518518518513	0.1703703703703704	0.0027987712259926684	0.0015474590716338145	0.00900378502947804	-0.009113618229733389	-0.007407407407407407	-0.1111111111111111
floor_delta_support	ge	0.7922141006866834	0.562962962962963	0.37037037037037035	0.1925925925925926	0.0027751413847495266	0.0014663787536827004	0.009911337771383056	0.0003701293182531984	-0.014814814814814814	-0.1111111111111111
source_support	le	0.9960755576284471	0.4962962962962963	0.34814814814814815	0.14814814814814814	0.0027271470656601393	0.0012621051665983526	0.011839508957957223	0.000995408359590666	0.0	-0.07407407407407407
support_gain	ge	-0.013913786139304553	0.6518518518518518	0.44444444444444436	0.2074074074074074	0.002696890843548663	0.0006941988037598261	0.01813603150323876	0.0024347429363084094	0.007407407407407407	-0.07407407407407407
blend_delta_support	ge	0.8261900938260057	0.5407407407407406	0.3555555555555555	0.18518518518518517	0.0026560003076990784	0.0014358437613983914	0.00971277568941612	5.856431043649302e-05	-0.007407407407407407	-0.1111111111111111
source_support	ge	0.9893206100749	0.6	0.4	0.19999999999999998	0.0025140745087591245	0.0006606041979811128	0.017749639868615885	-0.004831512019742579	0.007407407407407407	-0.037037037037037035
floor_delta_support	le	0.9051210838128426	0.5851851851851851	0.39259259259259255	0.1925925925925926	0.0024755115568378264	0.001611535475301483	0.016768101571999317	-0.0017081545535843623	0.007407407407407407	-0.07407407407407407
source_support	le	0.9942763435340929	0.3925925925925925	0.28148148148148144	0.11111111111111112	0.002441328662906534	0.0010746131145790115	0.010320670678442046	-0.0037292936768227314	-0.007407407407407407	-0.07407407407407407
support_gain	ge	-0.0035587339103528848	0.5037037037037038	0.3629629629629629	0.14074074074074075	0.0024071045300253237	0.0007071945123676739	0.020219992218086503	0.0066311505913220214	0.007407407407407407	-0.07407407407407407
floor_blend_delta_cosine	ge	0.9759098566208105	0.4888888888888888	0.3259259259259259	0.16296296296296295	0.0024065856898911144	0.0015630290649779437	0.006958678979135513	0.003959946333450648	0.0	-0.1111111111111111
blend_to_floor_norm_ratio	ge	0.8310549517364332	0.5925925925925926	0.40740740740740733	0.18518518518518517	0.0024032505550553307	0.0006778635407102621	0.020768781330689944	0.001344866303652159	0.014814814814814814	-0.07407407407407407
blend_to_floor_norm_ratio	le	0.9357490754916147	0.45185185185185184	0.3111111111111111	0.14074074074074075	0.0023623164381920574	0.0009916318316776362	0.0057833596736410085	-0.009345749169833995	-0.007407407407407407	-0.037037037037037035
blend_minus_floor_norm	ge	0.05078667073667206	0.3777777777777777	0.24444444444444446	0.13333333333333336	0.0023205107688874767	0.0004170745510337151	0.00732428050503271	-0.005109331207684642	-0.02222222222222222	-0.07407407407407407
floor_delta_support	le	0.8833131337509142	0.4666666666666667	0.3333333333333333	0.13333333333333333	0.0022252652246878618	0.001052884865549223	0.016564671216684403	-0.00010748339620791914	0.014814814814814814	0.0
blend_delta_support	le	0.9022011839488692	0.5259259259259259	0.3555555555555555	0.17037037037037034	0.0021990540355710797	0.0014652819861127979	0.015759274049694284	-0.0021697391213006956	0.02222222222222222	0.0
support_gain	le	0.02624574858341866	0.5259259259259259	0.3333333333333333	0.1925925925925926	0.002167007715070919	0.0013687553699832412	0.003136855272457317	-0.004786309774909736	-0.007407407407407407	-0.07407407407407407
floor_blend_delta_cosine	le	0.9918864268297938	0.5407407407407407	0.36296296296296293	0.17777777777777776	0.0021604556022289615	0.0009460172534915615	0.018540021017505515	0.0021958581936393218	0.007407407407407407	-0.1111111111111111
blend_minus_floor_norm	le	0.0704118215276422	0.562962962962963	0.38518518518518513	0.17777777777777776	0.0021521827882800037	0.0011033291437963569	0.016204767298159273	0.00147729837860322	0.02222222222222222	-0.07407407407407407
blend_delta_support	ge	0.8517142567939123	0.437037037037037	0.2814814814814815	0.15555555555555556	0.0020624449078553045	-0.00027453029457685796	0.00749162730729247	-0.006099543402680541	-0.014814814814814814	-0.1111111111111111
floor_delta_support	ge	0.8360461057234995	0.45185185185185184	0.2814814814814815	0.17037037037037037	0.002022081949425529	-0.0007222293533283367	0.0050058232582750216	-0.010654784138670215	-0.014814814814814814	-0.1111111111111111
blend_to_floor_norm_ratio	ge	0.8766721887975943	0.4814814814814815	0.31851851851851853	0.16296296296296298	0.0019298364128905957	0.0006442689349315488	0.01984809157398625	0.002087386036927208	0.0	-0.07407407407407407
blend_to_floor_norm_ratio	le	0.9023125331561916	0.3555555555555555	0.25925925925925924	0.0962962962962963	0.0019182757193644685	0.0007017291019616491	0.0024860745779869964	-0.010338648608662127	-0.007407407407407407	-0.037037037037037035
source_support	le	0.992329511932121	0.2518518518518518	0.18518518518518517	0.06666666666666667	0.0019048194801820277	0.0011638618258561703	0.0052746883953794345	-0.003750037299189879	-0.007407407407407407	-0.07407407407407407
support_gain	le	0.009837602438741171	0.3777777777777777	0.23703703703703702	0.14074074074074075	0.0018239426230775035	0.0006793428641154956	0.00304393751161528	-0.004942147215327819	0.0	-0.037037037037037035
blend_delta_support	ge	0.8770312860867356	0.31111111111111106	0.2074074074074074	0.1037037037037037	0.0017851702683554162	-1.2526471102006914e-05	0.008665045696417063	0.0008377353863133208	-0.014814814814814814	-0.1111111111111111
floor_blend_delta_cosine	ge	0.9815589099774591	0.4	0.25925925925925924	0.14074074074074075	0.0017728547497793952	0.0008468809829274421	0.004376902190900356	0.0018908311396865218	-0.007407407407407407	-0.1111111111111111
floor_delta_support	le	0.8539577947403374	0.362962962962963	0.274074074074074	0.08888888888888888	0.0017356272294809512	0.00028739040099623817	0.016872654587832124	-8.73287897138475e-05	0.007407407407407407	0.0
blend_minus_floor_norm	ge	0.05792138972287832	0.274074074074074	0.17777777777777776	0.0962962962962963	0.0017244064375913852	0.0004764748992056693	0.006575193886535868	-0.005199369457378089	-0.014814814814814814	-0.07407407407407407
floor_blend_delta_cosine	ge	0.9875550918900798	0.28888888888888886	0.2	0.08888888888888888	0.0017036955049317434	0.0005890565205491222	0.0041817756375986505	-0.0019804689608616255	-0.007407407407407407	-0.037037037037037035
floor_blend_delta_cosine	le	0.9815589099774591	0.33333333333333337	0.2444444444444444	0.08888888888888888	0.0016903992329686947	0.0008427585736884777	0.015552872607878243	-0.002543034547301759	0.007407407407407407	0.0
floor_blend_delta_cosine	le	0.9875550918900798	0.437037037037037	0.2962962962962963	0.14074074074074075	0.0016603648996046077	0.0006086829093737943	0.015742611641181792	-0.002185908976277795	0.007407407407407407	-0.07407407407407407
blend_minus_floor_norm	le	0.05792138972287832	0.45185185185185184	0.31851851851851853	0.13333333333333333	0.0016396539669449658	0.0010430638406449676	0.013349193392244574	0.0022978489000499702	0.014814814814814814	-0.037037037037037035
floor_delta_support	ge	0.8539577947403374	0.37037037037037035	0.22222222222222218	0.14814814814814814	0.001620011622160791	-0.0002843359400338044	0.002887243807227824	-0.0018166946560457253	-0.007407407407407407	-0.1111111111111111
blend_delta_support	le	0.8770312860867356	0.4148148148148148	0.28888888888888886	0.1259259259259259	0.0015788901361809347	0.000529988037435104	0.01125934158236338	-0.013345637456202541	0.014814814814814814	0.0
support_gain	ge	0.009837602438741171	0.3481481481481481	0.25925925925925924	0.08888888888888888	0.001540117781458847	0.0005628015064281129	0.01688044976716514	0.0034309605768858553	0.0	-0.07407407407407407
source_support	ge	0.992329511932121	0.47407407407407404	0.31111111111111106	0.16296296296296295	0.0014592409243543224	0.0003764655002345251	0.014649698883400997	-0.009127313324191033	0.007407407407407407	-0.037037037037037035
blend_to_floor_norm_ratio	ge	0.9023125331561916	0.3703703703703704	0.23703703703703702	0.13333333333333333	0.0014457846851718816	0.00015718820579152727	0.017438312700793424	-0.0005752006734874304	0.007407407407407407	-0.07407407407407407
