seed	perturbation_id	status	active_action_dims	supported_active_dims	unsupported_active_dims	active_dim_count	supported_active_dim_count	unsupported_active_dim_count	support_fraction	min_active_dim_train_support	max_active_dim_train_support
0	9	completed	9,13	13	9	2	1	1	0.5	0	9
0	10	completed	10,14	14	10	2	1	1	0.5	0	9
0	11	completed	11,15	15	11	2	1	1	0.5	0	9
1	9	completed	9,13	13	9	2	1	1	0.5	0	9
1	10	completed	10,14	14	10	2	1	1	0.5	0	9
1	11	completed	11,15	15	11	2	1	1	0.5	0	9
2	9	completed	9,13	13	9	2	1	1	0.5	0	9
2	10	completed	10,14	14	10	2	1	1	0.5	0	9
2	11	completed	11,15	15	11	2	1	1	0.5	0	9
3	9	completed	9,13	13	9	2	1	1	0.5	0	9
3	10	completed	10,14	14	10	2	1	1	0.5	0	9
3	11	completed	11,15	15	11	2	1	1	0.5	0	9
4	9	completed	9,13	13	9	2	1	1	0.5	0	9
4	10	completed	10,14	14	10	2	1	1	0.5	0	9
4	11	completed	11,15	15	11	2	1	1	0.5	0	9
