seed	scale	safe	transition_improvement	delta_cosine	recall_at_1	gap_transition	gap_delta_cosine	gap_recall	broken_count	near_tie_erosions	margin_q10_change	mean_margin_change	near_tie_count
0	0.0	True	0.14541942888185247	0.9490979256830906	0.4583333333333333	0.0	0.0	0.0	0.0	0.0	0.0	0.0	33.0
0	0.025	False	0.14574495147624592	0.9508066757876676	0.4583333333333333	0.0003255225943934459	0.0017087501045770503	0.0	0.0	8.0	-5.4046647469219275e-06	1.0180798662006966e-05	33.0
0	0.05	False	0.14606254615536945	0.9524766424946868	0.4583333333333333	0.0006431172735169854	0.003378716811596183	0.0	0.0	12.0	-1.0782499977590775e-05	2.0326982581594317e-05	33.0
0	0.1	False	0.14667398942137463	0.9556989937530559	0.4583333333333333	0.0012545605395221648	0.006601068069965299	0.0	0.0	21.0	-4.658023770458546e-05	3.6863551984485534e-05	33.0
0	0.15	False	0.14725383077769127	0.9587626171390417	0.4583333333333333	0.0018344018958388053	0.009664691455951058	0.0	0.0	24.0	-8.454590223876406e-05	5.261964693149978e-05	33.0
0	0.2	False	0.14780213707670822	0.9616653163151329	0.4583333333333333	0.002382708194855754	0.012567390632042263	0.0	0.0	25.0	-9.632977039715219e-05	6.82518125607539e-05	33.0
0	0.25	False	0.14831896978030898	0.9644050636400061	0.4583333333333333	0.0028995408984565096	0.015307137956915517	0.0	0.0	25.0	-0.00012082324254303334	8.375962420568366e-05	33.0
0	0.5	False	0.15043278877677452	0.9756000531412499	0.4722222222222222	0.005013359894922048	0.026502127458159275	0.013888888888888895	3.0	30.0	-0.00027672487629355487	0.0001570792737134776	33.0
0	0.75	False	0.15176572118639048	0.9825046274757732	0.5	0.006346292304538009	0.03340670179268257	0.041666666666666685	4.0	30.0	-0.000524292295219353	0.00020839195190344408	33.0
0	1.0	False	0.15231900152160532	0.9850004416038242	0.5	0.0068995726397528545	0.03590251592073357	0.041666666666666685	5.0	30.0	-0.000607996681953793	0.00021134051764403687	33.0
1	0.0	True	0.23016913206959908	0.9223779129863063	0.4861111111111111	0.0	0.0	0.0	0.0	0.0	0.0	0.0	35.0
1	0.025	False	0.23114279215721487	0.925191262024994	0.4861111111111111	0.0009736600876157908	0.0028133490386876847	0.0	0.0	3.0	5.477257124097935e-06	0.00014743407831804833	35.0
1	0.05	False	0.23208851390795684	0.927947855639303	0.4861111111111111	0.0019193818383577699	0.005569942652996707	0.0	0.0	6.0	1.1014045793333806e-05	0.0002938199774076216	35.0
1	0.1	False	0.23389637478196304	0.9332841218861153	0.4861111111111111	0.003727242712363965	0.010906208899808978	0.0	0.0	9.0	2.6896946345720315e-07	0.0005812350541452541	35.0
1	0.15	False	0.23559334516048144	0.9383738089994689	0.5	0.005424213090882368	0.015995896013162536	0.013888888888888895	0.0	13.0	-1.5093773503260831e-05	0.0008440405383081215	35.0
1	0.2	False	0.2371803150218488	0.9432048567575602	0.5	0.007011182952249728	0.020826943771253825	0.013888888888888895	1.0	16.0	-3.069105113624461e-05	0.001010375495705361	35.0
1	0.25	False	0.2386584234221193	0.9477663093987623	0.5	0.008489291352520217	0.025388396412455938	0.013888888888888895	2.0	18.0	-0.0001202904599563626	0.0011266196055006758	35.0
1	0.5	False	0.24447144510875335	0.966249506425019	0.5	0.014302313039154274	0.04387159343871261	0.013888888888888895	4.0	21.0	-0.00043516448384561807	0.001436038789948752	35.0
1	0.75	False	0.24784738380351914	0.9772622394548603	0.5	0.01767825173392007	0.05488432646855401	0.013888888888888895	4.0	21.0	-0.0012407416308391366	0.0015261074117733319	35.0
1	1.0	False	0.24909656093636323	0.9812038568823126	0.5	0.018927428866764157	0.05882594389600626	0.013888888888888895	7.0	24.0	-0.0015946297212242164	0.0015261074117733319	35.0
2	0.0	True	0.31538051651863425	0.9472656765128912	0.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	36.0
2	0.025	False	0.3158586116731976	0.9482613675281087	0.5	0.0004780951545633738	0.0009956910152175702	0.0	0.0	18.0	-9.880349632396257e-06	7.01143756971254e-05	36.0
2	0.05	False	0.3163262454859264	0.9492315271163917	0.5	0.0009457289672921698	0.0019658506035005185	0.0	0.0	21.0	-1.9774609288647493e-05	0.00014011780945160276	36.0
2	0.1	False	0.3172300771413908	0.9510955321569199	0.5	0.0018495606227565409	0.0038298556440287124	0.0	1.0	24.0	-3.960461003349458e-05	0.0002797725846833903	36.0
