seed	scale	safe	transition_improvement	delta_cosine	recall_at_1	gap_transition	gap_delta_cosine	gap_recall	train_broken_count_diagnostic_only	train_mean_margin_change_diagnostic_only
0	0.0	True	0.07685792923111737	0.8482527387662345	0.7777777777777778	0.0	0.0	0.0	0.0	0.0
0	0.025	True	0.07724373180259358	0.8511789229679398	0.7777777777777778	0.0003858025714762181	0.0029261842017053175	0.0	0.0	0.0003201603108769337
0	0.05	True	0.07761838175911147	0.8540126705881551	0.7916666666666666	0.0007604525279941016	0.005759931821920583	0.01388888888888884	0.0	0.0006372050478317651
1	0.0	True	0.0651417032888139	0.8392860510311897	0.7916666666666666	0.0	0.0	0.0	0.0	0.0
1	0.025	True	0.06536539365314649	0.8418389280629562	0.8194444444444444	0.00022369036433259049	0.002552877031766543	0.02777777777777779	0.0	0.00013773881031918202
1	0.05	True	0.06558322144838069	0.8443418897947628	0.8194444444444444	0.0004415181595667922	0.005055838763573073	0.02777777777777779	0.0	0.00027375171597930474
2	0.0	True	0.043404978848068806	0.8283115912411814	0.7777777777777778	0.0	0.0	0.0	0.0	0.0
2	0.025	True	0.04367761296139324	0.831745317861203	0.7777777777777778	0.00027263411332443394	0.0034337266200216154	0.0	0.0	0.00018718692343265873
2	0.05	True	0.04394198180114776	0.8350920741266744	0.7777777777777778	0.0005370029530789508	0.006780482885493044	0.0	0.0	0.0003649844924383959
3	0.0	True	0.04441490141607715	0.8328684888406718	0.9027777777777778	0.0	0.0	0.0	0.0	0.0
3	0.025	True	0.0446658238693169	0.8366412166998525	0.9166666666666666	0.000250922453239745	0.0037727278591807023	0.01388888888888884	0.0	0.00018555674460405617
3	0.05	True	0.04490915396228296	0.8403248633035749	0.9166666666666666	0.0004942525462058103	0.007456374462903148	0.01388888888888884	0.0	0.0003662398783668527
4	0.0	True	0.06102381184981723	0.8096176762787307	0.6111111111111112	0.0	0.0	0.0	0.0	0.0
4	0.025	True	0.06167056358812327	0.8151373255426031	0.6111111111111112	0.0006467517383060423	0.005519649263872384	0.0	1.0	0.0003466062812544542
4	0.05	True	0.06229957116265399	0.8205307839542691	0.625	0.0012757593128367647	0.010913107675538436	0.01388888888888884	1.0	0.0006967186107057087
