seed	perturbation_id	row_count	transition_improvement	delta_cosine	recall_at_1	delta_rank	magnitude_ratio	action_support_fraction_mean	active_action_dims_mean	unsupported_action_dims_mean	exact_action_match_fraction	action_support_cosine_mean	teacher_delta_support_cosine_mean	predicted_delta_support_cosine_mean
0	1	9	0.023028965137528685	0.48590465293160473	0.8888888888888888	6.125551355323057	0.7852213723499539	0.0	2.0	2.0	0.0	0.0	0.7662300704777999	0.8082044854937742
0	2	9	-0.006793939518271268	0.39200953537420535	0.3333333333333333	5.906472283532189	0.7668267050744909	0.0	2.0	2.0	0.0	0.0	0.7770294984713056	0.8639518977901415
0	3	9	0.05799531482670972	0.717307876498913	0.6666666666666666	6.248441709292594	0.5635146740402434	0.0	2.0	2.0	0.0	0.0	0.8111766869388057	0.7902777351623951
0	4	9	0.05159785686543264	0.6456696326496965	1.0	6.134576526459246	0.6817546523607537	0.0	2.0	2.0	0.0	0.0	0.7352934243380883	0.8366993214921347
0	5	9	0.01845665132929523	0.48037401211633907	0.7777777777777778	6.17802300963685	0.8485441299680897	0.0	2.0	2.0	0.0	0.0	0.6918730404245756	0.831186733369175
0	6	9	0.04312902570158434	0.6155503279254639	1.0	6.440033434434323	0.7914356340475831	0.0	2.0	2.0	0.0	0.0	0.7266859666484284	0.8616037010887645
0	7	9	0.05811407395532012	0.679365341052053	0.7777777777777778	6.293855297205964	0.6098394518482053	0.0	2.0	2.0	0.0	0.0	0.8481593236395876	0.8270465058496017
0	8	9	-0.018999318877425946	0.1725483296665374	0.4444444444444444	5.654102432111186	0.6964272584146934	0.0	2.0	2.0	0.0	0.0	0.7171327495951832	0.8530927215998717
1	1	9	0.03400944060506556	0.45962470312726666	0.8888888888888888	6.1726979671610485	0.6578173999664902	0.0	2.0	2.0	0.0	0.0	0.6873785464871669	0.7951475987392428
1	2	9	-0.002647804526407634	0.35120506073597735	0.6666666666666666	5.449059133893215	0.8302155881549277	0.0	2.0	2.0	0.0	0.0	0.7279267073247588	0.8329607761331816
