source_experiment	seed	selected_transition_improvement	selected_delta_cosine	selected_recall_at_1	selected_delta_rank	selected_magnitude_ratio	floor_transition_improvement	floor_delta_cosine	floor_recall_at_1	floor_delta_rank	direct_transition_improvement	direct_delta_cosine	direct_recall_at_1	direct_delta_rank	selected_gap_transition	selected_gap_delta_cosine	selected_gap_recall	selected_action_negative_gap	rowwise_active_fraction	rowwise_selected_base_scale	rowwise_effective_scale	rowwise_risk_score_mean	rna_to_image_recall_at_1	image_to_rna_recall_at_1	target_effective_rank	image_target_effective_rank	floor_init_error	identity_violation	leakage_flag	train_rowwise_selected_scale	train_rowwise_selected_threshold	train_rowwise_selected_active_fraction	train_rowwise_selected_unsafe_count	train_rowwise_floor_transition	train_rowwise_floor_delta_cosine	train_rowwise_floor_recall_at_1	train_rowwise_selected_transition	train_rowwise_selected_delta_cosine	train_rowwise_selected_recall_at_1	train_rowwise_selected_gap_transition	train_rowwise_selected_gap_delta_cosine	train_rowwise_selected_gap_recall	train_rowwise_selected_near_tie_erosions	train_rowwise_selected_near_tie_flips	train_rowwise_selected_broken_count	retrieval_row_count	retrieval_broken_count	retrieval_repaired_count	retrieval_preserved_correct_count	retrieval_still_wrong_count	retrieval_broken_near_tie_fraction	retrieval_broken_mean_floor_margin	retrieval_broken_mean_selected_margin	retrieval_broken_mean_margin_change	retrieval_broken_mean_transition_gain_change	retrieval_broken_mean_delta_cosine_change	retrieval_mean_floor_margin	retrieval_mean_selected_margin	retrieval_mean_margin_change	retrieval_mean_rank_change	retrieval_mean_residual_norm	retrieval_selected_median_rank	retrieval_floor_median_rank	selected_residual_scale
F055	16	0.4101894666180679	0.9136913894296274	0.7407407407407407	6.890354161514239	1.06437009549442	0.4099293801742612	0.9132770842561788	0.7407407407407407	6.826099650956028	0.4145287344039232	0.922578518967827	0.6666666666666666	9.704313130270949	0.0002600864438067	0.0004143051734485	0.0	0.0287229647998777	0.1111111111111111	0.05	0.0055555555555555	-0.2289673429679558	0.6296296296296297	0.6296296296296297	7.859255146640776	8.188426658403143	3.313130347848414e-07	0.0	0.0	0.05	-1.0551973214713148	0.25	26.0	0.5699657122051516	0.9715605075922044	0.5	0.5702117994619499	0.9719969241587012	0.5	0.0002460872567983	0.0004364165664968	0.0	0.0	0.0	0.0	27.0	0.0	0.0	20.0	7.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0560345612551853	0.0560645730856954	3.001183051010159e-05	0.0	0.0062610203425809	1.0	1.0	0.0055555555555555
F055	17	0.4324647745954633	0.8664005503952228	0.8518518518518519	6.732830284692463	1.1538561730440875	0.4314699126223587	0.8648012898596641	0.8518518518518519	6.60465231614294	0.4571311320468241	0.9041455727965442	1.0	9.187319536608369	0.0009948619731046	0.0015992605355586	0.0	0.035968000597472	0.3333333333333333	0.05	0.0166666666666666	-0.7212821091914144	0.7777777777777778	1.0	6.952088433894881	6.755189720045509	5.812826859852294e-07	0.0	0.0	0.05	-0.0769943069348384	0.25	27.0	0.5006941943939069	0.9173090125933344	0.5	0.5015137891308744	0.9188870260769392	0.5	0.0008195947369674	0.0015780134836048	0.0	0.0	0.0	0.0	27.0	0.0	0.0	23.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0890306235798154	0.0904184308811874	0.001387807301372	-0.037037037037037	0.0305778282088421	1.0	1.0	0.0166666666666666
F055	18	0.2711347045470844	0.8639002490337326	1.0	8.133162279160922	1.010269816996347	0.2688056798680233	0.8598128774723361	1.0	7.991735123137308	0.3095219932334562	0.933025741480118	1.0	10.488681400568783	0.002329024679061	0.0040873715613964	0.0	0.0102316293002184	0.4444444444444444	0.05	0.0222222222222222	-0.582001016291337	0.7407407407407407	0.8888888888888888	6.383275649741031	8.311014177934762	7.270955590943373e-07	0.0	0.0	0.05	-0.0258925132007338	0.4444444444444444	20.0	0.3078009388576258	0.8999626286834626	0.5	0.3094090899652276	0.9040398811828187	0.5	0.0016081511076018	0.0040772524993561	0.0	0.0	0.0	0.0	27.0	0.0	0.0	27.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1506063383838413	0.1499297820840759	-0.0006765562997654	0.0	0.0323908878259516	1.0	1.0	0.0222222222222222
F056	19	0.3840197076562205	0.8067869206808962	0.9629629629629628	6.867042477570351	1.109970239615899	0.383847438510431	0.8062536053003689	0.9629629629629628	6.798110719493703	0.4306472903327044	0.9176971442898058	1.0	9.307619505323764	0.0001722691457894	0.0005333153805272	0.0	0.0404534464485007	0.1851851851851851	0.05	0.0092592592592592	-0.2105790092407267	0.7777777777777778	0.8888888888888888	6.929110975037576	7.736660365162129	8.574065644140205e-07	0.0	0.0	0.05	-0.1101585085807783	0.2222222222222222	28.0	0.4636726118475752	0.9012139806918036	0.5	0.4638529752528879	0.9022752547503846	0.5	0.0001803634053126	0.001061274058581	0.0	0.0	0.0	0.0	27.0	0.0	0.0	26.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1587626255812949	0.1587711387490175	8.51316772264453e-06	0.0	0.0108712134260837	1.0	1.0	0.0092592592592592
F056	20	0.367859652897188	0.892339465295045	0.8888888888888888	6.216939934224555	1.1411512484615234	0.3670237316032156	0.8919435663789892	0.8888888888888888	6.136888823122117	0.3850355247329866	0.9059202090120256	1.0	8.433439980730501	0.0008359212939724	0.0003958989160558	0.0	0.0628786443746233	0.2962962962962963	0.05	0.0148148148148148	-0.5561367898756763	0.8888888888888888	1.0	6.433154365839242	8.51656227784668	1.1410940015110782e-06	0.0	0.0	0.05	-1.152025365502993	0.2222222222222222	28.0	0.4208773314972848	0.9568002793875536	0.5	0.4213162073225847	0.9570893212515752	0.5	0.0004388758252999	0.0002890418640215	0.0	0.0	0.0	0.0	27.0	0.0	0.0	24.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1061750962049993	0.106428963434533	0.0002538672295336	0.0	0.0185462875175864	1.0	1.0	0.0148148148148148
F056	21	0.3835663864935765	0.8629658515360605	0.7407407407407407	7.23612250268602	1.0635314427626992	0.3826978082283193	0.860034869701301	0.7407407407407407	7.103528285400047	0.4014484528178626	0.9212470406589188	1.0	8.966208710673849	0.0008685782652571	0.0029309818347594	0.0	0.083304554174406	0.4444444444444444	0.05	0.0222222222222222	-0.8672817134646846	0.6666666666666666	1.0	6.794770799253322	7.616472870920464	5.858090377230951e-07	0.0	0.0	0.05	-0.5831572911509154	0.4166666666666667	21.0	0.4227140453763185	0.9349557596615108	0.5	0.4232825000073585	0.9370387920132628	0.5	0.00056845463104	0.0020830323517518	0.0	0.0	0.0	0.0	27.0	0.0	0.0	20.0	7.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0977739672887754	0.0982284558325098	0.0004544885437344	0.0	0.0336667692369262	1.0	1.0	0.0222222222222222
F058	22	0.091502088467931	0.9067169205076738	0.6296296296296297	7.677462668633178	0.9954866953675534	0.0911947530163194	0.9032337022766634	0.6296296296296297	7.4927423077393	0.0928813758137464	0.9356289908772172	0.8148148148148148	9.410157411637256	0.0003073354516115	0.0034832182310103	0.0	0.0082537589094888	0.8518518518518519	0.05	0.0425925925925926	-2.0993550177859	0.4814814814814814	0.4444444444444444	3.791524163650025	5.661813331257743	8.470455665765542e-07	0.0	0.0	0.05	-0.536791483880051	0.8055555555555556	6.0	0.1069158021007071	0.9353264931503902	0.4166666666666667	0.107372876302131	0.9387087482713856	0.4166666666666667	0.0004570742014238	0.0033822551209955	0.0	0.0	0.0	0.0	27.0	0.0	0.0	17.0	10.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0054983374550772	0.0060065352524887	0.0005081977974115	0.0	0.0399955823946352	1.0	1.0	0.0425925925925926
F058	23	0.4221241364926343	0.8827261651269609	1.0	7.537771181365268	1.110713266295205	0.4219192843909284	0.8824301051468425	1.0	7.46118990037177	0.4337185701868074	0.9009615451828468	1.0	10.080293126309243	0.0002048521017058	0.0002960599801183	0.0	0.0690519118050368	0.1851851851851851	0.05	0.0092592592592592	-0.1757518278362587	0.7407407407407407	0.8888888888888888	8.723502176176805	8.001411030434696	7.071852410334145e-07	0.0	0.0	0.05	-0.6056491390179498	0.2222222222222222	28.0	0.5841328862862594	0.9428221205074184	0.4722222222222222	0.5845166348356027	0.9436725001934358	0.4722222222222222	0.0003837485493433	0.0008503796860175	0.0	0.0	0.0	0.0	27.0	0.0	0.0	27.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.2517312847987645	0.2517781368727351	4.685207397069224e-05	0.0	0.0096239473112818	1.0	1.0	0.0092592592592592
F058	24	0.2320705531269349	0.9527365867474492	1.0	6.412111080480122	1.0446995310952247	0.2317946174340691	0.951750982184842	1.0	6.273849090566311	0.2365265146281514	0.9692811826538767	0.8888888888888888	8.23038188326431	0.0002759356928657	0.0009856045626071	0.0	0.0193466844495915	0.6296296296296297	0.05	0.0314814814814814	-1.2845319765215892	0.7777777777777778	0.8148148148148148	5.462670159324522	7.021552458141622	8.746724668995398e-07	0.0	0.0	0.05	-0.9049353499195484	0.5555555555555556	16.0	0.2527784039632463	0.9746675382493872	0.5	0.2530191411405573	0.9754898063906948	0.5	0.0002407371773109	0.0008222681413073	0.0	0.0	0.0	0.0	27.0	0.0	0.0	27.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0293133145019825	0.0295729277615492	0.0002596132595666	0.0	0.0359210577791018	1.0	1.0	0.0314814814814814
F058	25	0.1864310815439492	0.8406251916290032	1.0	7.70585791097578	0.9952082936456552	0.1863744892944395	0.8397610586996869	1.0	7.619827987041543	0.2077398970712632	0.9140096613386568	1.0	10.249257058261566	5.659224950971264e-05	0.0008641329293163	0.0	0.0110300072668829	0.3333333333333333	0.025	0.0083333333333333	-0.6493011968711057	0.8888888888888888	0.9629629629629628	7.013173342879744	7.958940513707374	3.822038845413545e-07	0.0	0.0	0.025	-0.5437934488931232	0.3055555555555556	24.0	0.202604092799501	0.9070301246573346	0.4861111111111111	0.2027473796205676	0.9077832237428144	0.4861111111111111	0.0001432868210666	0.0007530990854799	0.0	0.0	0.0	0.0	27.0	0.0	0.0	27.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0881202838205154	0.0882861075396203	0.0001658237191049	0.0	0.0115784350477951	1.0	1.0	0.0083333333333333
