seed	policy	benchmark	representation	heldout_train_perturbation_id	rows	inner_transition	inner_delta_cosine	inner_recall_at_1	inner_delta_rank	inner_magnitude_ratio
34	extrapolative_index	synth_program_aligned_extrapolative_holdout_lite	true_z_bio	1	9	0.24783215410348625	0.9806766135272011	1.0	6.45233936323042	0.9520235532451002
34	extrapolative_index	synth_program_aligned_extrapolative_holdout_lite	true_z_bio	2	9	0.22805726165542195	0.9696388166861686	1.0	6.550831462542931	0.993944691964567
34	extrapolative_index	synth_program_aligned_extrapolative_holdout_lite	true_z_bio	3	9	0.16458956501774324	0.9341535827518075	1.0	6.5003740120069	0.8976905897414359
34	extrapolative_index	synth_program_aligned_extrapolative_holdout_lite	true_z_bio	4	9	0.2262460718804474	0.9523339314505209	1.0	6.685458669370217	0.9910569456868115
34	extrapolative_index	synth_program_aligned_extrapolative_holdout_lite	true_z_bio	5	9	0.22842683132018277	0.9807925701892951	1.0	6.664720163302104	1.0398387730373182
34	extrapolative_index	synth_program_aligned_extrapolative_holdout_lite	true_z_bio	6	9	0.24509006079031245	0.9749484456477118	1.0	6.626126699730693	0.9869834271238681
34	extrapolative_index	synth_program_aligned_extrapolative_holdout_lite	true_z_bio	7	9	0.1410556179281098	0.940287613745597	1.0	6.589158925058061	1.076766090105033
34	extrapolative_index	synth_program_aligned_extrapolative_holdout_lite	true_z_bio	8	9	0.22940132615185826	0.9501928439128733	1.0	6.560389849080788	0.9872195070595746
34	extrapolative_index	synth_program_aligned_extrapolative_holdout_lite	observed_rna_pca	1	9	0.24508864919378948	0.7666095351802718	1.0	7.560793377446184	0.7715579191433672
34	extrapolative_index	synth_program_aligned_extrapolative_holdout_lite	observed_rna_pca	2	9	0.23213470126536498	0.830579220939895	1.0	7.574644736796394	0.8715918443080022
34	extrapolative_index	synth_program_aligned_extrapolative_holdout_lite	observed_rna_pca	3	9	0.26246572247689787	0.8008706583156524	1.0	7.509994492051207	0.9147524982877021
34	extrapolative_index	synth_program_aligned_extrapolative_holdout_lite	observed_rna_pca	4	9	0.5653126347432139	0.9352203097381088	0.7777777777777778	7.530808677966237	0.9796612350196653
34	extrapolative_index	synth_program_aligned_extrapolative_holdout_lite	observed_rna_pca	5	9	0.17471089870055298	0.7399265951285809	1.0	7.4782853079949305	1.0416915742355757
34	extrapolative_index	synth_program_aligned_extrapolative_holdout_lite	observed_rna_pca	6	9	0.2279071333063916	0.7991968131413348	1.0	7.561593578689909	0.9597250662352076
34	extrapolative_index	synth_program_aligned_extrapolative_holdout_lite	observed_rna_pca	7	9	0.2126229331094534	0.8017731561179582	1.0	7.553805853885407	0.9766668299646786
34	extrapolative_index	synth_program_aligned_extrapolative_holdout_lite	observed_rna_pca	8	9	0.5740921511611354	0.9049232672638114	0.8888888888888888	7.517751248852578	0.9363230566106027
35	extrapolative_index	synth_program_aligned_extrapolative_holdout_lite	true_z_bio	1	9	0.07663642379277068	0.9542754143985215	1.0	6.7957270730529675	1.0653154885851395
35	extrapolative_index	synth_program_aligned_extrapolative_holdout_lite	true_z_bio	2	9	0.13157564901755173	0.9841528218596012	1.0	6.821383066417408	1.0395784178230525
35	extrapolative_index	synth_program_aligned_extrapolative_holdout_lite	true_z_bio	3	9	0.17229949833705405	0.9725018836140895	1.0	6.762323818017333	0.9413182687806445
35	extrapolative_index	synth_program_aligned_extrapolative_holdout_lite	true_z_bio	4	9	0.12904056606169695	0.9579615247240265	1.0	6.802766773731562	1.0082188341834033
35	extrapolative_index	synth_program_aligned_extrapolative_holdout_lite	true_z_bio	5	9	0.0965043337788582	0.9633239591906426	1.0	6.83583776763359	0.9074736640316426
35	extrapolative_index	synth_program_aligned_extrapolative_holdout_lite	true_z_bio	6	9	0.1394378825579157	0.9827084793232781	1.0	6.559335609190964	0.9471952414738425
35	extrapolative_index	synth_program_aligned_extrapolative_holdout_lite	true_z_bio	7	9	0.1606680108180723	0.9732700735652995	1.0	6.737873120933413	1.028750588693459
35	extrapolative_index	synth_program_aligned_extrapolative_holdout_lite	true_z_bio	8	9	0.12508640441470853	0.9640462219845394	1.0	6.718447774148788	0.9722745665478452
35	extrapolative_index	synth_program_aligned_extrapolative_holdout_lite	observed_rna_pca	1	9	0.279044168321353	0.8376958043351049	1.0	7.573233621987956	0.9426967011256792
35	extrapolative_index	synth_program_aligned_extrapolative_holdout_lite	observed_rna_pca	2	9	0.44264100954285657	0.9455333126655309	0.6666666666666666	7.583601187043715	1.0221901042733386
35	extrapolative_index	synth_program_aligned_extrapolative_holdout_lite	observed_rna_pca	3	9	0.5653864699255005	0.9542467059090293	1.0	7.584803447249997	0.9731356859846261
35	extrapolative_index	synth_program_aligned_extrapolative_holdout_lite	observed_rna_pca	4	9	0.43563152204890326	0.9155104640830325	1.0	7.596021360579329	0.8944786720543151
35	extrapolative_index	synth_program_aligned_extrapolative_holdout_lite	observed_rna_pca	5	9	0.2579602833368499	0.8565511441540936	0.6666666666666666	7.634357510138616	0.9330303165095722
35	extrapolative_index	synth_program_aligned_extrapolative_holdout_lite	observed_rna_pca	6	9	0.48141889767156454	0.9504112807296607	0.7777777777777778	7.6017609275130855	0.9154058823287254
35	extrapolative_index	synth_program_aligned_extrapolative_holdout_lite	observed_rna_pca	7	9	0.6308380577137824	0.9553913931332938	1.0	7.589094594884363	0.9850594432475879
35	extrapolative_index	synth_program_aligned_extrapolative_holdout_lite	observed_rna_pca	8	9	0.3367484209336904	0.8992758952156537	1.0	7.583778434328703	1.0443251945313436
36	extrapolative_index	synth_program_aligned_extrapolative_holdout_lite	true_z_bio	1	9	0.17534540610842514	0.9609634695124721	1.0	7.077568271005413	1.052302249052607
36	extrapolative_index	synth_program_aligned_extrapolative_holdout_lite	true_z_bio	2	9	0.302595005198458	0.9640581441033531	1.0	6.777496774292247	0.9525404287454333
36	extrapolative_index	synth_program_aligned_extrapolative_holdout_lite	true_z_bio	3	9	0.18868288861639126	0.9634712488916686	1.0	6.997386810823789	0.9112576070609327
36	extrapolative_index	synth_program_aligned_extrapolative_holdout_lite	true_z_bio	4	9	0.21111009954749677	0.9523939038145041	1.0	6.927306509325571	1.0052131107973858
36	extrapolative_index	synth_program_aligned_extrapolative_holdout_lite	true_z_bio	5	9	0.17619680378117128	0.9664876678636429	1.0	6.897299838780099	0.9348763188761178
36	extrapolative_index	synth_program_aligned_extrapolative_holdout_lite	true_z_bio	6	9	0.26666199137015645	0.9609172426370941	1.0	6.970480006479392	1.0253241237528123
36	extrapolative_index	synth_program_aligned_extrapolative_holdout_lite	true_z_bio	7	9	0.15058624547099514	0.9579010458190772	1.0	7.084598500630767	1.054941466414209
36	extrapolative_index	synth_program_aligned_extrapolative_holdout_lite	true_z_bio	8	9	0.21989145143272426	0.9510713127802664	1.0	6.8545183848882365	0.9771102933638756
36	extrapolative_index	synth_program_aligned_extrapolative_holdout_lite	observed_rna_pca	1	9	0.22837257827437682	0.7979933507580967	1.0	7.258169596905112	1.215582226268125
36	extrapolative_index	synth_program_aligned_extrapolative_holdout_lite	observed_rna_pca	2	9	0.2961591190965309	0.8930718853533334	1.0	7.0888712956976105	1.0470424936879899
36	extrapolative_index	synth_program_aligned_extrapolative_holdout_lite	observed_rna_pca	3	9	0.15464884434603646	0.706037381858269	1.0	7.157310132681467	0.8866133998102925
36	extrapolative_index	synth_program_aligned_extrapolative_holdout_lite	observed_rna_pca	4	9	0.35995252355977037	0.9403735246846457	1.0	7.305893029354086	0.9261278717390132
36	extrapolative_index	synth_program_aligned_extrapolative_holdout_lite	observed_rna_pca	5	9	0.20878552573517176	0.8263505526962845	1.0	7.191463914001939	0.7962626932269306
36	extrapolative_index	synth_program_aligned_extrapolative_holdout_lite	observed_rna_pca	6	9	0.23517040906345107	0.8428585990538038	1.0	7.136484865973995	0.9817204546673673
36	extrapolative_index	synth_program_aligned_extrapolative_holdout_lite	observed_rna_pca	7	9	0.08870060328010126	0.7118733903621939	0.8888888888888888	7.14526734449258	0.9117239467849372
36	extrapolative_index	synth_program_aligned_extrapolative_holdout_lite	observed_rna_pca	8	9	0.3659244359307448	0.9317134194197517	1.0	7.206533791125373	1.0791241309685085
37	extrapolative_index	synth_program_aligned_extrapolative_holdout_lite	true_z_bio	1	9	0.15943183284166526	0.9682062259492965	1.0	6.672341586742358	1.1160656306485626
37	extrapolative_index	synth_program_aligned_extrapolative_holdout_lite	true_z_bio	2	9	0.08532696686244477	0.9468316398017959	1.0	6.661149541826372	1.0123233169736898
37	extrapolative_index	synth_program_aligned_extrapolative_holdout_lite	true_z_bio	3	9	0.08445301491569705	0.9177370194153611	1.0	6.615662370609742	1.0083391844075544
37	extrapolative_index	synth_program_aligned_extrapolative_holdout_lite	true_z_bio	4	9	0.17453710200085853	0.9738338352265663	1.0	6.533696517502055	0.9264762815931422
37	extrapolative_index	synth_program_aligned_extrapolative_holdout_lite	true_z_bio	5	9	0.20096717948579423	0.960382586971371	1.0	6.603734747996838	0.8697517926779452
37	extrapolative_index	synth_program_aligned_extrapolative_holdout_lite	true_z_bio	6	9	0.09298784441289794	0.9540045990889703	1.0	6.66840515169651	0.9470942940761784
37	extrapolative_index	synth_program_aligned_extrapolative_holdout_lite	true_z_bio	7	9	0.08586442808158158	0.9065997740470662	1.0	6.532649662865066	0.9301796346755684
37	extrapolative_index	synth_program_aligned_extrapolative_holdout_lite	true_z_bio	8	9	0.15052526844296624	0.9723158023200378	1.0	6.513965329203819	1.0613795940499102
37	extrapolative_index	synth_program_aligned_extrapolative_holdout_lite	observed_rna_pca	1	9	0.14967886626990945	0.8597722438128842	1.0	7.5391280618684995	0.8794690407729127
37	extrapolative_index	synth_program_aligned_extrapolative_holdout_lite	observed_rna_pca	2	9	0.08134653141605035	0.7841745440611756	1.0	7.511378092498036	0.8177287103827093
37	extrapolative_index	synth_program_aligned_extrapolative_holdout_lite	observed_rna_pca	3	9	0.06975678401310928	0.7277970646837426	1.0	7.563385001076783	0.9468159440895256
37	extrapolative_index	synth_program_aligned_extrapolative_holdout_lite	observed_rna_pca	4	9	0.15862033798025907	0.9169645846165105	1.0	7.604038432810522	1.021924540221782
37	extrapolative_index	synth_program_aligned_extrapolative_holdout_lite	observed_rna_pca	5	9	0.1628598207068302	0.8735636399049019	1.0	7.529782132594399	0.9722924963181989
37	extrapolative_index	synth_program_aligned_extrapolative_holdout_lite	observed_rna_pca	6	9	0.07292004138427695	0.795660781974568	1.0	7.546229985800162	0.9765114193407631
37	extrapolative_index	synth_program_aligned_extrapolative_holdout_lite	observed_rna_pca	7	9	0.06125171998010074	0.6936734617820898	1.0	7.527206894190401	0.9485111602187213
37	extrapolative_index	synth_program_aligned_extrapolative_holdout_lite	observed_rna_pca	8	9	0.20050409747486553	0.9190294407234951	1.0	7.560682933891295	0.8795963222738675
38	extrapolative_index	synth_program_aligned_extrapolative_holdout_lite	true_z_bio	1	9	0.19733235739803703	0.9808182438148746	1.0	7.156470807634587	1.0148942115650257
38	extrapolative_index	synth_program_aligned_extrapolative_holdout_lite	true_z_bio	2	9	0.16251173279283193	0.9676897294847715	1.0	6.926539426377708	1.0544447407841995
38	extrapolative_index	synth_program_aligned_extrapolative_holdout_lite	true_z_bio	3	9	0.19468659757185794	0.989160551279688	1.0	7.131913856977577	0.9504261651576338
38	extrapolative_index	synth_program_aligned_extrapolative_holdout_lite	true_z_bio	4	9	0.07491604885118026	0.9330872131214463	1.0	7.0907560230996785	1.072806349546145
38	extrapolative_index	synth_program_aligned_extrapolative_holdout_lite	true_z_bio	5	9	0.21064245029198533	0.9806536824113099	1.0	7.014859827528993	0.9701195829044159
38	extrapolative_index	synth_program_aligned_extrapolative_holdout_lite	true_z_bio	6	9	0.1794193135013091	0.9735815926867364	1.0	6.974202953520845	0.9345705733388141
38	extrapolative_index	synth_program_aligned_extrapolative_holdout_lite	true_z_bio	7	9	0.18589991686957186	0.9855877552148316	1.0	7.037827992038034	1.0366210606207948
38	extrapolative_index	synth_program_aligned_extrapolative_holdout_lite	true_z_bio	8	9	0.08564375719011748	0.9400737354406336	1.0	6.94423260112262	0.9047411798006826
38	extrapolative_index	synth_program_aligned_extrapolative_holdout_lite	observed_rna_pca	1	9	0.6681561910593106	0.9688437409207713	1.0	7.572675522573771	1.0165677301711522
38	extrapolative_index	synth_program_aligned_extrapolative_holdout_lite	observed_rna_pca	2	9	0.2296199914009569	0.9383775673339387	1.0	7.632589039842986	1.0766796165428074
38	extrapolative_index	synth_program_aligned_extrapolative_holdout_lite	observed_rna_pca	3	9	0.32285742669610806	0.8760084291079568	1.0	7.624851226449806	0.8428204259644176
