policy	benchmark	seed	current_floor_transition	current_floor_delta_cosine	current_floor_recall_at_1	current_floor_delta_rank	current_floor_magnitude_ratio	oracle_transition	oracle_delta_cosine	oracle_recall_at_1	oracle_delta_rank	oracle_magnitude_ratio	source_effective_rank	target_effective_rank	true_delta_effective_rank
extrapolative_index	synth_program_aligned_extrapolative_holdout_lite	37	0.12572415424036706	0.9101208433549985	1.0	5.031078836605924	1.003358906587831	0.15164140738108672	1.0	1.0	8.421497874411479	1.0	3.3839706198947126	6.978735824405894	8.421497874411479
extrapolative_index	synth_program_aligned_extrapolative_holdout_lite	38	0.24578428587134027	0.9521366926731347	1.0	4.643451622292271	1.0050528837757862	0.26815879728195136	1.0	1.0	7.116460943239058	1.0	3.5738469480918464	7.4824566794729375	7.116460943239058
extrapolative_index	synth_program_aligned_extrapolative_holdout_lite	39	0.1899444523174715	0.9484935654613088	1.0	4.457918067259118	0.9547167083493018	0.2101307511363101	1.0	1.0	7.71069646369414	1.0	3.2052432071988664	7.051433863136122	7.71069646369414
extrapolative_index	synth_program_aligned_extrapolative_holdout_lite	40	0.23706540728764322	0.9564486606097338	1.0	4.750226988857033	0.9900265938768927	0.2599846056042316	1.0	1.0	7.541600148495958	1.0	3.4080917717728103	7.144800550273548	7.541600148495958
extrapolative_index	synth_program_aligned_extrapolative_holdout_lite	41	0.20462233893694678	0.9447488732301098	1.0	4.614525878104825	1.0094118080912422	0.22815761953996083	1.0	1.0	6.993381948743158	1.0	3.4939571894301054	7.033838548635067	6.993381948743158
extrapolative_index	synth_program_aligned_extrapolative_holdout_lite	42	0.23894916079468673	0.9219067134686346	1.0	5.226301420861783	1.0641775656104824	0.2848510464345295	1.0	1.0	7.958835467794492	1.0	4.128836684653812	7.830080716144653	7.958835467794492
random_perturbation	synth_program_aligned_random_holdout_lite	37	0.16493448199200747	0.9241632303722759	1.0	4.6140692149474924	1.0298395317694355	0.18886686626115118	1.0	1.0	7.453390633467314	1.0	3.3838932400821458	6.8922137167839725	7.453390633467314
random_perturbation	synth_program_aligned_random_holdout_lite	38	0.2137683246249644	0.9359953371271585	1.0	4.613530370050899	1.0524717804047083	0.24055678035920453	1.0	1.0	7.646266210630106	1.0	3.5709329893045645	7.422600062201654	7.646266210630106
random_perturbation	synth_program_aligned_random_holdout_lite	39	0.19325375729217478	0.9455829709849178	1.0	4.358832551741056	1.0017380479652584	0.21740092320457907	1.0	1.0	7.928032299182136	1.0	3.206815011825058	7.065660090286324	7.928032299182136
random_perturbation	synth_program_aligned_random_holdout_lite	40	0.2264783825563951	0.9498256050141294	1.0	4.742770242749142	0.9703822299540874	0.24929820823953114	1.0	1.0	7.70636683400529	1.0	3.4055302256766025	7.167934655663061	7.70636683400529
random_perturbation	synth_program_aligned_random_holdout_lite	41	0.18847974575095258	0.936966874967495	1.0	4.862221728377809	0.9610980969398787	0.2131456624565209	1.0	1.0	7.711860603841617	1.0	3.4978846844670834	7.379150394097751	7.711860603841617
random_perturbation	synth_program_aligned_random_holdout_lite	42	0.26592219057423233	0.9206848359721422	1.0	5.276552921416304	0.9847735160386968	0.30957653881516717	1.0	1.0	7.552286595807705	1.0	4.134249419669761	7.944001192325773	7.552286595807705
stratified_program	synth_program_aligned_stratified_holdout_lite	37	0.1303123979911214	0.9101694648458911	1.0	5.16153893025879	0.9583040280969902	0.1550737454174019	1.0	1.0	8.154059159560923	1.0	3.391423942498354	6.910834127229135	8.154059159560923
stratified_program	synth_program_aligned_stratified_holdout_lite	38	0.25236561828413734	0.9536946124091257	1.0	4.613599967179836	1.0029945057776142	0.2738425222132937	1.0	1.0	6.898350296323601	1.0	3.571095506947531	7.386817262888288	6.898350296323601
stratified_program	synth_program_aligned_stratified_holdout_lite	39	0.18436858219494306	0.9425503405518021	1.0	4.449422442842387	1.0085439826687428	0.20585802184637061	1.0	1.0	7.417393762193307	1.0	3.203545368680106	6.955073067107477	7.417393762193307
stratified_program	synth_program_aligned_stratified_holdout_lite	40	0.21709673031101193	0.948261749610015	1.0	4.804648741691182	1.0389417707315127	0.24264795093184247	1.0	1.0	7.644241018552598	1.0	3.4098620991930915	7.04456588162237	7.644241018552598
stratified_program	synth_program_aligned_stratified_holdout_lite	41	0.21427938793375692	0.951344468762347	1.0	4.55110551858123	0.9844381225902437	0.23454703003158414	1.0	1.0	7.480140657130434	1.0	3.495776863932911	7.149560327988047	7.480140657130434
stratified_program	synth_program_aligned_stratified_holdout_lite	42	0.2732443180771449	0.9233699635809591	1.0	5.260700834469506	0.9894334190646943	0.3171557749560799	1.0	1.0	7.450461744691545	1.0	4.133248038201197	7.960672692235325	7.450461744691545
