type	oid	size	path	probe_path	lfs	xetHash
directory	e738515460541911b072f201ca11a069d48d5014	0	features	.		
directory	c4e2ad2d54b024417532d1bad4bc353d1966353b	0	measured	.		
file	055d881b5eda2ef7c09f67bb3c77acd50a5749f9	4841	.gitattributes	.		
file	1f48c32e9df46945f0ac7142bfda001a1beb4747	33	README.md	.		
directory	57911e384ab21a15212576e344358191eb69193d	0	features/imaging	features		
directory	80ea1aac83991da6e510fd7166d08c3274393315	0	features/rnaseq	features		
directory	91bf0637929f3ffbdfd39c0170cfc68853ea6386	0	features/rnaseq/UCE	features/rnaseq		
directory	99a6cd9312e4b892d04f518db19cecd2d46ee1f4	0	features/rnaseq/geneformer	features/rnaseq		
directory	1509272ce0af2924249fb3517a62a1c6f2585d58	0	features/rnaseq/pca	features/rnaseq		
directory	603a6c8cdf65e82fddf062e3af2f84df510094ee	0	features/rnaseq/scgpt	features/rnaseq		
directory	76f0a83ba519db225c1e3ae574914f9d7f5b44c6	0	features/rnaseq/scvi	features/rnaseq		
file	361e3ab0b55c3646fbddefafd453b6e5403834f6	43347445080	features/rnaseq/pca/n2000/round_1.h5ad	features/rnaseq/pca/n2000	{'oid': '3d3fca55da3e75c921f31102d9f550613efe9109be9a250a7b54f771da83280d', 'size': 43347445080, 'pointerSize': 136}	571d038eed3dc52ad4854a52f2d0ce8e512cc8873ea78a7e22008491a72cfbb2
file	8d8514008cbce56917f0ad0fd8b287e2eb80130b	26608721472	features/rnaseq/pca/n2000/round_2.h5ad	features/rnaseq/pca/n2000	{'oid': 'da44881cf72b4b78f86907cb7557cfac1374b9e5eefb040a3252737266dcf0ca', 'size': 26608721472, 'pointerSize': 136}	c7e717d5a4fb70a8075d7ff7db37e5032f153d872b88c4bd460a72eb04d16400
file	46f9ab522d06c0d4ad41fe69f8c7795da3bad696	4366952116	features/rnaseq/scvi/n200/round_1.h5ad	features/rnaseq/scvi/n200	{'oid': 'a5bfab4c1e0d34c7135b4ba4c531e4891bcb06ca2cfdce4f99985b4a6a7243a2', 'size': 4366952116, 'pointerSize': 135}	594de1a66d5f5bafd4c44ef71549630a3a2ca0d069dc5935bb9cd7c8a698b2c5
file	dafb68ea70cd9fdd889d669aa3abc8c71563ace9	2565764148	features/rnaseq/scvi/n200/round_2.h5ad	features/rnaseq/scvi/n200	{'oid': '99bac03d5f6ed86330606a1e9819789f89e7a3582e668c1888473ea27acb6256', 'size': 2565764148, 'pointerSize': 135}	0119eb7030ef587efea9e1d2d0129fac946ef3dcae5273de5d102a45a658b4f0
file	174f4bc8ca2a3b4c789e465902271b861f3b079c	16478887380	features/rnaseq/scvi/scvi_1/round_1.h5ad	features/rnaseq/scvi/scvi_1	{'oid': '11406794ba318bd51f74a00d3da35acf0777c8e204bdc395aa022a88a01059ba', 'size': 16478887380, 'pointerSize': 136}	bfa6870001ae5776b73b5c797465986962db8690f6ee07744aeb127f5746498e
file	6a6827cbae0628de3d2ccc9c45ec3a1f22a35445	10176230692	features/rnaseq/scvi/scvi_1/round_2.h5ad	features/rnaseq/scvi/scvi_1	{'oid': '628995e548e5d1c9734217c8c76f2149ce8fced615b467e68ba028249bdd8819', 'size': 10176230692, 'pointerSize': 136}	5a52262c2ef65d9ddd96d9fb5ef3955bf384e15d113cc1d52d78f79eb98fb189
file	174f4bc8ca2a3b4c789e465902271b861f3b079c	16478887380	features/rnaseq/scvi/scvi_2/round_1.h5ad	features/rnaseq/scvi/scvi_2	{'oid': '11406794ba318bd51f74a00d3da35acf0777c8e204bdc395aa022a88a01059ba', 'size': 16478887380, 'pointerSize': 136}	bfa6870001ae5776b73b5c797465986962db8690f6ee07744aeb127f5746498e
file	6a6827cbae0628de3d2ccc9c45ec3a1f22a35445	10176230692	features/rnaseq/scvi/scvi_2/round_2.h5ad	features/rnaseq/scvi/scvi_2	{'oid': '628995e548e5d1c9734217c8c76f2149ce8fced615b467e68ba028249bdd8819', 'size': 10176230692, 'pointerSize': 136}	5a52262c2ef65d9ddd96d9fb5ef3955bf384e15d113cc1d52d78f79eb98fb189
file	f35e947a255e52ccf0d625290540cbd181e39bca	18663899464	features/rnaseq/UCE/4layer/round_1.h5ad	features/rnaseq/UCE/4layer	{'oid': 'faa55b29f290beda046b3f9e4dc9004a6dd6e657c3e0bd690608bc3fce24953d', 'size': 18663899464, 'pointerSize': 136}	b6f1fa49edd2a027142ad34cc811122249ccdf33b8b80890e49ba7f4c501fa71
