pair_id	treatment_id	dose	round	split	image_record_count	rna_record_count	condition_pair_ready
DMSO::fixed::round_1::alternate_test	DMSO	fixed	round_1	alternate_test	2	2	True
DMSO::fixed::round_2::alternate_test	DMSO	fixed	round_2	alternate_test	2	2	True
treatment_a::fixed::round_1::alternate_test	treatment_a	fixed	round_1	alternate_test	2	2	True
treatment_a::fixed::round_2::alternate_test	treatment_a	fixed	round_2	alternate_test	2	2	True
DMSO::fixed::round_1::test	DMSO	fixed	round_1	test	1	1	True
DMSO::fixed::round_2::test	DMSO	fixed	round_2	test	1	1	True
treatment_a::fixed::round_1::test	treatment_a	fixed	round_1	test	1	1	True
treatment_a::fixed::round_2::test	treatment_a	fixed	round_2	test	1	1	True
DMSO::fixed::round_1::train	DMSO	fixed	round_1	train	1	1	True
DMSO::fixed::round_2::train	DMSO	fixed	round_2	train	1	1	True
treatment_a::fixed::round_1::train	treatment_a	fixed	round_1	train	1	1	True
treatment_a::fixed::round_2::train	treatment_a	fixed	round_2	train	1	1	True
DMSO::fixed::round_1::validation	DMSO	fixed	round_1	validation	1	1	True
DMSO::fixed::round_2::validation	DMSO	fixed	round_2	validation	1	1	True
treatment_a::fixed::round_1::validation	treatment_a	fixed	round_1	validation	1	1	True
treatment_a::fixed::round_2::validation	treatment_a	fixed	round_2	validation	1	1	True
