modality	treatment_id	dose	round	batch	replicate	split	uri
rna	DMSO	fixed	round_1	round_1_batch	1	alternate_test	hf://altoslabs/scGeneScope/features/rna/round_1_DMSO_rep1.h5ad
image	DMSO	fixed	round_1	round_1_batch	1	alternate_test	hf://altoslabs/scGeneScope/features/image/round_1_DMSO_rep1.h5ad
rna	DMSO	fixed	round_1	round_1_batch	2	alternate_test	hf://altoslabs/scGeneScope/features/rna/round_1_DMSO_rep2.h5ad
image	DMSO	fixed	round_1	round_1_batch	2	alternate_test	hf://altoslabs/scGeneScope/features/image/round_1_DMSO_rep2.h5ad
rna	DMSO	fixed	round_1	round_1_batch	3	train	hf://altoslabs/scGeneScope/features/rna/round_1_DMSO_rep3.h5ad
image	DMSO	fixed	round_1	round_1_batch	3	train	hf://altoslabs/scGeneScope/features/image/round_1_DMSO_rep3.h5ad
rna	DMSO	fixed	round_1	round_1_batch	4	test	hf://altoslabs/scGeneScope/features/rna/round_1_DMSO_rep4.h5ad
image	DMSO	fixed	round_1	round_1_batch	4	test	hf://altoslabs/scGeneScope/features/image/round_1_DMSO_rep4.h5ad
rna	DMSO	fixed	round_1	round_1_batch	5	validation	hf://altoslabs/scGeneScope/features/rna/round_1_DMSO_rep5.h5ad
image	DMSO	fixed	round_1	round_1_batch	5	validation	hf://altoslabs/scGeneScope/features/image/round_1_DMSO_rep5.h5ad
rna	treatment_a	fixed	round_1	round_1_batch	1	alternate_test	hf://altoslabs/scGeneScope/features/rna/round_1_treatment_a_rep1.h5ad
image	treatment_a	fixed	round_1	round_1_batch	1	alternate_test	hf://altoslabs/scGeneScope/features/image/round_1_treatment_a_rep1.h5ad
rna	treatment_a	fixed	round_1	round_1_batch	2	alternate_test	hf://altoslabs/scGeneScope/features/rna/round_1_treatment_a_rep2.h5ad
image	treatment_a	fixed	round_1	round_1_batch	2	alternate_test	hf://altoslabs/scGeneScope/features/image/round_1_treatment_a_rep2.h5ad
rna	treatment_a	fixed	round_1	round_1_batch	3	train	hf://altoslabs/scGeneScope/features/rna/round_1_treatment_a_rep3.h5ad
image	treatment_a	fixed	round_1	round_1_batch	3	train	hf://altoslabs/scGeneScope/features/image/round_1_treatment_a_rep3.h5ad
rna	treatment_a	fixed	round_1	round_1_batch	4	test	hf://altoslabs/scGeneScope/features/rna/round_1_treatment_a_rep4.h5ad
image	treatment_a	fixed	round_1	round_1_batch	4	test	hf://altoslabs/scGeneScope/features/image/round_1_treatment_a_rep4.h5ad
rna	treatment_a	fixed	round_1	round_1_batch	5	validation	hf://altoslabs/scGeneScope/features/rna/round_1_treatment_a_rep5.h5ad
image	treatment_a	fixed	round_1	round_1_batch	5	validation	hf://altoslabs/scGeneScope/features/image/round_1_treatment_a_rep5.h5ad
rna	DMSO	fixed	round_2	round_2_batch	1	alternate_test	hf://altoslabs/scGeneScope/features/rna/round_2_DMSO_rep1.h5ad
image	DMSO	fixed	round_2	round_2_batch	1	alternate_test	hf://altoslabs/scGeneScope/features/image/round_2_DMSO_rep1.h5ad
rna	DMSO	fixed	round_2	round_2_batch	2	alternate_test	hf://altoslabs/scGeneScope/features/rna/round_2_DMSO_rep2.h5ad
image	DMSO	fixed	round_2	round_2_batch	2	alternate_test	hf://altoslabs/scGeneScope/features/image/round_2_DMSO_rep2.h5ad
rna	DMSO	fixed	round_2	round_2_batch	3	train	hf://altoslabs/scGeneScope/features/rna/round_2_DMSO_rep3.h5ad
image	DMSO	fixed	round_2	round_2_batch	3	train	hf://altoslabs/scGeneScope/features/image/round_2_DMSO_rep3.h5ad
rna	DMSO	fixed	round_2	round_2_batch	4	test	hf://altoslabs/scGeneScope/features/rna/round_2_DMSO_rep4.h5ad
image	DMSO	fixed	round_2	round_2_batch	4	test	hf://altoslabs/scGeneScope/features/image/round_2_DMSO_rep4.h5ad
rna	DMSO	fixed	round_2	round_2_batch	5	validation	hf://altoslabs/scGeneScope/features/rna/round_2_DMSO_rep5.h5ad
image	DMSO	fixed	round_2	round_2_batch	5	validation	hf://altoslabs/scGeneScope/features/image/round_2_DMSO_rep5.h5ad
rna	treatment_a	fixed	round_2	round_2_batch	1	alternate_test	hf://altoslabs/scGeneScope/features/rna/round_2_treatment_a_rep1.h5ad
image	treatment_a	fixed	round_2	round_2_batch	1	alternate_test	hf://altoslabs/scGeneScope/features/image/round_2_treatment_a_rep1.h5ad
rna	treatment_a	fixed	round_2	round_2_batch	2	alternate_test	hf://altoslabs/scGeneScope/features/rna/round_2_treatment_a_rep2.h5ad
image	treatment_a	fixed	round_2	round_2_batch	2	alternate_test	hf://altoslabs/scGeneScope/features/image/round_2_treatment_a_rep2.h5ad
rna	treatment_a	fixed	round_2	round_2_batch	3	train	hf://altoslabs/scGeneScope/features/rna/round_2_treatment_a_rep3.h5ad
image	treatment_a	fixed	round_2	round_2_batch	3	train	hf://altoslabs/scGeneScope/features/image/round_2_treatment_a_rep3.h5ad
rna	treatment_a	fixed	round_2	round_2_batch	4	test	hf://altoslabs/scGeneScope/features/rna/round_2_treatment_a_rep4.h5ad
image	treatment_a	fixed	round_2	round_2_batch	4	test	hf://altoslabs/scGeneScope/features/image/round_2_treatment_a_rep4.h5ad
rna	treatment_a	fixed	round_2	round_2_batch	5	validation	hf://altoslabs/scGeneScope/features/rna/round_2_treatment_a_rep5.h5ad
image	treatment_a	fixed	round_2	round_2_batch	5	validation	hf://altoslabs/scGeneScope/features/image/round_2_treatment_a_rep5.h5ad
