seed	split	method	transition_improvement	delta_cosine	recall_at_1	delta_rank	magnitude_ratio
37	validation	source_as_target	0.0	0.0	0.037037037037037035	0.0	0.0
37	validation	protected_full_ridge_floor	0.3125730670228593	0.2941540956192526	0.14814814814814814	8.511418338103232	0.5254323631032184
37	validation	F082_no_delta_calibration	0.3681623636634903	0.3911859626718325	0.2222222222222222	14.746000992050007	0.40521075359612835
37	test	source_as_target	0.0	0.0	0.03571428571428571	0.0	0.0
37	test	protected_full_ridge_floor	0.6023599499739373	0.3887380636613133	0.25	8.368591941302707	0.46351667018482867
37	test	F082_no_delta_calibration	0.6101715758452031	0.49054467993177403	0.39285714285714285	14.995074827285027	0.34901517290799594
37	alternate_test	source_as_target	0.0	0.0	0.01818181818181818	0.0	0.0
37	alternate_test	protected_full_ridge_floor	0.5307866044443788	0.3125892294503601	0.12727272727272726	8.370320692792507	0.3414862923691213
37	alternate_test	F082_no_delta_calibration	0.4669299323170416	0.35818975437889994	0.14545454545454545	14.945831432340311	0.25680389609773485
38	validation	source_as_target	0.0	0.0	0.037037037037037035	0.0	0.0
38	validation	protected_full_ridge_floor	0.3125730670228593	0.2941540956192526	0.14814814814814814	8.511418338103232	0.5254323631032184
38	validation	F082_no_delta_calibration	0.29338299142934215	0.3263037313274959	0.2962962962962963	15.251317412730806	0.3940076175348739
38	test	source_as_target	0.0	0.0	0.03571428571428571	0.0	0.0
38	test	protected_full_ridge_floor	0.6023599499739373	0.3887380636613133	0.25	8.368591941302707	0.46351667018482867
38	test	F082_no_delta_calibration	0.5440779671432501	0.4418102108296555	0.2857142857142857	15.405921601342632	0.33995444969591404
38	alternate_test	source_as_target	0.0	0.0	0.01818181818181818	0.0	0.0
38	alternate_test	protected_full_ridge_floor	0.5307866044443788	0.3125892294503601	0.12727272727272726	8.370320692792507	0.3414862923691213
38	alternate_test	F082_no_delta_calibration	0.39892857338636595	0.3128207081026847	0.10909090909090909	15.369053539493846	0.2503557993600946
39	validation	source_as_target	0.0	0.0	0.037037037037037035	0.0	0.0
39	validation	protected_full_ridge_floor	0.3125730670228593	0.2941540956192526	0.14814814814814814	8.511418338103232	0.5254323631032184
39	validation	F082_no_delta_calibration	0.31301292853740403	0.33463297560335764	0.3333333333333333	14.566249661818198	0.42280725393065727
39	test	source_as_target	0.0	0.0	0.03571428571428571	0.0	0.0
39	test	protected_full_ridge_floor	0.6023599499739373	0.3887380636613133	0.25	8.368591941302707	0.46351667018482867
39	test	F082_no_delta_calibration	0.5653874823565272	0.44299163366044025	0.2857142857142857	14.73068971324948	0.36447579875537367
39	alternate_test	source_as_target	0.0	0.0	0.01818181818181818	0.0	0.0
39	alternate_test	protected_full_ridge_floor	0.5307866044443788	0.3125892294503601	0.12727272727272726	8.370320692792507	0.3414862923691213
39	alternate_test	F082_no_delta_calibration	0.45490886920947204	0.34541316081706214	0.09090909090909091	14.670714282598187	0.2696120696323965
