method	split	mean_transition_improvement	mean_delta_cosine	mean_recall_at_1	mean_delta_rank	mean_magnitude_ratio	mean_rna_to_image_recall_at_1	mean_image_to_rna_recall_at_1	max_identity_violation	max_leakage_flag	floor_transition_improvement	floor_delta_cosine	floor_recall_at_1	floor_gap_transition_improvement	floor_gap_delta_cosine	floor_gap_recall_at_1
F082_delta_calibrated	alternate_test	0.5098583031912053	0.22182068262985236	0.12727272727272726	16.264485719118102	0.46130039891803304	0.05454545454545454	0.030303030303030304	0.0	0.0	0.5307866044443788	0.3125892294503601	0.12727272727272726	-0.020928301253173465	-0.09076854682050775	0.0
F082_delta_calibrated	test	0.6403567773465447	0.34614854773728293	0.4047619047619047	16.33800874993348	0.6094784123981856	0.13095238095238096	0.11904761904761905	0.0	0.0	0.6023599499739373	0.3887380636613133	0.25	0.037996827372607456	-0.042589515924030374	0.1547619047619047
F082_delta_calibrated	validation	0.3764611304428709	0.2769404084518286	0.2839506172839506	17.03441806545305	0.6823022569381688	0.1111111111111111	0.07407407407407407	0.0	0.0	0.3125730670228593	0.2941540956192526	0.14814814814814814	0.06388806342001158	-0.017213687167423997	0.13580246913580246
F082_no_delta_calibration	alternate_test	0.44025579163762657	0.33880787443288224	0.11515151515151516	14.995199751477449	0.258923921696742					0.5307866044443788	0.3125892294503601	0.12727272727272726	-0.09053081280675218	0.026218644982522132	-0.012121212121212102
F082_no_delta_calibration	test	0.5732123417816601	0.45844884147395665	0.3214285714285714	15.043895380625713	0.3511484737864279					0.6023599499739373	0.3887380636613133	0.25	-0.02914760819227713	0.06971077781264334	0.0714285714285714
F082_no_delta_calibration	validation	0.32485276121007883	0.35070755653422864	0.2839506172839506	14.854522688866338	0.40734187502055313					0.3125730670228593	0.2941540956192526	0.14814814814814814	0.012279694187219525	0.05655346091497604	0.13580246913580246
F094_split_safe_jepa_calibration_gate	alternate_test	0.44025579163762657	0.33880787443288224	0.11515151515151516	14.995199751477449	0.258923921696742	0.05454545454545454	0.030303030303030304	0.0	0.0	0.5307866044443788	0.3125892294503601	0.12727272727272726	-0.09053081280675218	0.026218644982522132	-0.012121212121212102
F094_split_safe_jepa_calibration_gate	test	0.5732123417816601	0.45844884147395665	0.3214285714285714	15.043895380625713	0.3511484737864279	0.13095238095238096	0.11904761904761905	0.0	0.0	0.6023599499739373	0.3887380636613133	0.25	-0.02914760819227713	0.06971077781264334	0.0714285714285714
F094_split_safe_jepa_calibration_gate	validation	0.32485276121007883	0.35070755653422864	0.2839506172839506	14.854522688866338	0.40734187502055313	0.1111111111111111	0.07407407407407407	0.0	0.0	0.3125730670228593	0.2941540956192526	0.14814814814814814	0.012279694187219525	0.05655346091497604	0.13580246913580246
protected_full_ridge_floor	alternate_test	0.5307866044443788	0.3125892294503601	0.12727272727272726	8.370320692792507	0.3414862923691213					0.5307866044443788	0.3125892294503601	0.12727272727272726	0.0	0.0	0.0
protected_full_ridge_floor	test	0.6023599499739373	0.3887380636613133	0.25	8.368591941302707	0.4635166701848286					0.6023599499739373	0.3887380636613133	0.25	0.0	0.0	0.0
protected_full_ridge_floor	validation	0.3125730670228593	0.2941540956192526	0.14814814814814814	8.511418338103232	0.5254323631032184					0.3125730670228593	0.2941540956192526	0.14814814814814814	0.0	0.0	0.0
source_as_target	alternate_test	0.0	0.0	0.01818181818181818	0.0	0.0					0.5307866044443788	0.3125892294503601	0.12727272727272726	-0.5307866044443788	-0.3125892294503601	-0.10909090909090907
source_as_target	test	0.0	0.0	0.03571428571428571	0.0	0.0					0.6023599499739373	0.3887380636613133	0.25	-0.6023599499739373	-0.3887380636613133	-0.2142857142857143
source_as_target	validation	0.0	0.0	0.037037037037037035	0.0	0.0					0.3125730670228593	0.2941540956192526	0.14814814814814814	-0.3125730670228593	-0.2941540956192526	-0.1111111111111111
