round	replicate	split	treatment	is_control	n_rna	n_image	condition_key
2	1	alternate_test	(R)-MG132	False	4470	3073	2::1::(R)-MG132
2	1	alternate_test	(R)-Roscovitine	False	1508	2775	2::1::(R)-Roscovitine
2	1	alternate_test	12-O-tetradecanoylphorbol-13-acetate	False	1390	5657	2::1::12-O-tetradecanoylphorbol-13-acetate
2	1	alternate_test	AMG-900	False	3152	3822	2::1::AMG-900
2	1	alternate_test	Aloxistatin / E-64d	False	2448	3492	2::1::Aloxistatin / E-64d
2	1	alternate_test	BAY 11-7082	False	1557	4908	2::1::BAY 11-7082
2	1	alternate_test	Benzbromarone	False	90	4748	2::1::Benzbromarone
2	1	alternate_test	CGK-733	False	789	5564	2::1::CGK-733
2	1	alternate_test	Caffeine	False	8549	4457	2::1::Caffeine
2	1	alternate_test	Colchicine	False	5853	3679	2::1::Colchicine
2	1	alternate_test	Cycloheximide	False	190	6119	2::1::Cycloheximide
2	1	alternate_test	DBeQ	False	4717	3253	2::1::DBeQ
2	1	alternate_test	DMSO	True	25185	18488	2::1::DMSO
2	1	alternate_test	Daporinad / FK-866	False	3305	3572	2::1::Daporinad / FK-866
2	1	alternate_test	Fluocinonide	False	4330	2756	2::1::Fluocinonide
2	1	alternate_test	GW-843682X	False	3915	4591	2::1::GW-843682X
2	1	alternate_test	HARMAN	False	1406	4146	2::1::HARMAN
2	1	alternate_test	LY303511 (hydrochloride)	False	6113	3899	2::1::LY303511 (hydrochloride)
2	1	alternate_test	PD-98059	False	2421	6068	2::1::PD-98059
2	1	alternate_test	PQ401	False	1759	3010	2::1::PQ401
2	1	alternate_test	Pantoprazole	False	6283	4904	2::1::Pantoprazole
2	1	alternate_test	Phenacetin	False	17770	3008	2::1::Phenacetin
2	1	alternate_test	Quinidine	False	4833	3695	2::1::Quinidine
2	1	alternate_test	SKII	False	8429	5458	2::1::SKII
2	1	alternate_test	Simvastatin	False	152	4004	2::1::Simvastatin
2	1	alternate_test	Splitomicin	False	6748	3041	2::1::Splitomicin
2	1	alternate_test	Thapsigargin	False	7221	5569	2::1::Thapsigargin
2	1	alternate_test	Vorinostat / SAHA	False	3916	3573	2::1::Vorinostat / SAHA
2	1	alternate_test	Wy 14643 / Pirinixic Acid	False	641	3230	2::1::Wy 14643 / Pirinixic Acid
2	2	alternate_test	(R)-MG132	False	3458	2351	2::2::(R)-MG132
2	2	alternate_test	(R)-Roscovitine	False	3733	2572	2::2::(R)-Roscovitine
2	2	alternate_test	12-O-tetradecanoylphorbol-13-acetate	False	1647	5435	2::2::12-O-tetradecanoylphorbol-13-acetate
2	2	alternate_test	AMG-900	False	1724	3810	2::2::AMG-900
2	2	alternate_test	Aloxistatin / E-64d	False	6935	4649	2::2::Aloxistatin / E-64d
2	2	alternate_test	BAY 11-7082	False	2886	3756	2::2::BAY 11-7082
2	2	alternate_test	Benzbromarone	False	3147	4953	2::2::Benzbromarone
2	2	alternate_test	CGK-733	False	2023	5257	2::2::CGK-733
2	2	alternate_test	Caffeine	False	2253	4750	2::2::Caffeine
2	2	alternate_test	Colchicine	False	310	4325	2::2::Colchicine
2	2	alternate_test	Cycloheximide	False	303	4602	2::2::Cycloheximide
2	2	alternate_test	DBeQ	False	2481	3621	2::2::DBeQ
2	2	alternate_test	DMSO	True	16750	17277	2::2::DMSO
2	2	alternate_test	Daporinad / FK-866	False	5039	4600	2::2::Daporinad / FK-866
2	2	alternate_test	Fluocinonide	False	1056	2738	2::2::Fluocinonide
2	2	alternate_test	GW-843682X	False	938	5082	2::2::GW-843682X
2	2	alternate_test	HARMAN	False	1680	3958	2::2::HARMAN
2	2	alternate_test	LY303511 (hydrochloride)	False	1656	4424	2::2::LY303511 (hydrochloride)
2	2	alternate_test	PD-98059	False	2882	5884	2::2::PD-98059
2	2	alternate_test	PQ401	False	3978	2474	2::2::PQ401
2	2	alternate_test	Pantoprazole	False	5000	4730	2::2::Pantoprazole
2	2	alternate_test	Phenacetin	False	1429	3229	2::2::Phenacetin
2	2	alternate_test	Quinidine	False	2022	4101	2::2::Quinidine
2	2	alternate_test	SKII	False	2704	5540	2::2::SKII
2	2	alternate_test	Simvastatin	False	165	4706	2::2::Simvastatin
2	2	alternate_test	Splitomicin	False	2322	2515	2::2::Splitomicin
2	2	alternate_test	Vorinostat / SAHA	False	635	4273	2::2::Vorinostat / SAHA
2	2	alternate_test	Wy 14643 / Pirinixic Acid	False	2996	2289	2::2::Wy 14643 / Pirinixic Acid
1	4	test	(R)-MG132	False	3123	3519	1::4::(R)-MG132
1	4	test	(R)-Roscovitine	False	4064	6768	1::4::(R)-Roscovitine
1	4	test	12-O-tetradecanoylphorbol-13-acetate	False	4291	3183	1::4::12-O-tetradecanoylphorbol-13-acetate
1	4	test	AMG-900	False	7078	2688	1::4::AMG-900
1	4	test	Aloxistatin / E-64d	False	3941	6800	1::4::Aloxistatin / E-64d
1	4	test	BAY 11-7082	False	1641	2890	1::4::BAY 11-7082
1	4	test	Benzbromarone	False	6879	3302	1::4::Benzbromarone
1	4	test	CGK-733	False	6583	4301	1::4::CGK-733
1	4	test	Caffeine	False	4302	3877	1::4::Caffeine
1	4	test	Colchicine	False	3841	3261	1::4::Colchicine
1	4	test	Cycloheximide	False	6707	3165	1::4::Cycloheximide
1	4	test	DBeQ	False	4493	3441	1::4::DBeQ
1	4	test	DMSO	True	14972	14786	1::4::DMSO
1	4	test	Daporinad / FK-866	False	8775	3444	1::4::Daporinad / FK-866
1	4	test	Fluocinonide	False	7060	3467	1::4::Fluocinonide
1	4	test	GW-843682X	False	7091	3306	1::4::GW-843682X
1	4	test	HARMAN	False	3358	3369	1::4::HARMAN
1	4	test	LY303511 (hydrochloride)	False	7555	2992	1::4::LY303511 (hydrochloride)
1	4	test	PD-98059	False	3577	3460	1::4::PD-98059
1	4	test	PQ401	False	4208	5283	1::4::PQ401
1	4	test	Pantoprazole	False	4239	6483	1::4::Pantoprazole
1	4	test	Phenacetin	False	3269	3368	1::4::Phenacetin
1	4	test	Quinidine	False	5000	3428	1::4::Quinidine
1	4	test	SKII	False	5209	3208	1::4::SKII
1	4	test	Simvastatin	False	5399	3373	1::4::Simvastatin
1	4	test	Splitomicin	False	6670	4178	1::4::Splitomicin
1	4	test	Thapsigargin	False	5000	2759	1::4::Thapsigargin
1	4	test	Vorinostat / SAHA	False	5863	3536	1::4::Vorinostat / SAHA
1	4	test	Wy 14643 / Pirinixic Acid	False	6692	3270	1::4::Wy 14643 / Pirinixic Acid
1	3	train	(R)-MG132	False	3542	6572	1::3::(R)-MG132
1	3	train	(R)-Roscovitine	False	3128	4881	1::3::(R)-Roscovitine
1	3	train	12-O-tetradecanoylphorbol-13-acetate	False	2427	4114	1::3::12-O-tetradecanoylphorbol-13-acetate
1	3	train	AMG-900	False	4374	4322	1::3::AMG-900
1	3	train	Aloxistatin / E-64d	False	4067	6230	1::3::Aloxistatin / E-64d
1	3	train	BAY 11-7082	False	1494	3888	1::3::BAY 11-7082
1	3	train	Benzbromarone	False	4124	5455	1::3::Benzbromarone
1	3	train	CGK-733	False	4115	5875	1::3::CGK-733
1	3	train	Caffeine	False	4214	5317	1::3::Caffeine
1	3	train	Colchicine	False	6722	4484	1::3::Colchicine
1	3	train	Cycloheximide	False	5234	5010	1::3::Cycloheximide
1	3	train	DBeQ	False	3014	5486	1::3::DBeQ
1	3	train	DMSO	True	11443	22723	1::3::DMSO
1	3	train	Daporinad / FK-866	False	4362	5922	1::3::Daporinad / FK-866
1	3	train	Fluocinonide	False	3478	5537	1::3::Fluocinonide
1	3	train	GW-843682X	False	3652	3829	1::3::GW-843682X
1	3	train	HARMAN	False	4889	5673	1::3::HARMAN
1	3	train	LY303511 (hydrochloride)	False	2079	4805	1::3::LY303511 (hydrochloride)
1	3	train	PD-98059	False	2638	4227	1::3::PD-98059
1	3	train	PQ401	False	4052	6313	1::3::PQ401
1	3	train	Pantoprazole	False	3225	4276	1::3::Pantoprazole
1	3	train	Phenacetin	False	3926	6158	1::3::Phenacetin
1	3	train	Quinidine	False	3423	5927	1::3::Quinidine
1	3	train	SKII	False	4087	5951	1::3::SKII
1	3	train	Simvastatin	False	2078	4502	1::3::Simvastatin
1	3	train	Splitomicin	False	3099	4679	1::3::Splitomicin
1	3	train	Thapsigargin	False	4551	5131	1::3::Thapsigargin
1	3	train	Vorinostat / SAHA	False	4524	5440	1::3::Vorinostat / SAHA
1	3	train	Wy 14643 / Pirinixic Acid	False	3347	6385	1::3::Wy 14643 / Pirinixic Acid
1	5	validation	(R)-MG132	False	3913	5841	1::5::(R)-MG132
1	5	validation	(R)-Roscovitine	False	4019	4167	1::5::(R)-Roscovitine
1	5	validation	12-O-tetradecanoylphorbol-13-acetate	False	4494	5521	1::5::12-O-tetradecanoylphorbol-13-acetate
1	5	validation	AMG-900	False	2281	4495	1::5::AMG-900
