method	split	mean_transition_improvement	mean_delta_cosine	mean_recall_at_1	mean_delta_rank	mean_magnitude_ratio	mean_rna_to_image_recall_at_1	mean_image_to_rna_recall_at_1	max_identity_violation	max_leakage_flag	floor_transition_improvement	floor_delta_cosine	floor_recall_at_1	floor_gap_transition_improvement	floor_gap_delta_cosine	floor_gap_recall_at_1
F082_delta_calibrated	alternate_test	0.4945876734920182	0.18575027719433235	0.12727272727272726	17.00653062864313	0.46952369084483236	0.03636363636363636	0.03636363636363636	0.0	0.0	0.4939690620831853	0.18358093537677697	0.12727272727272726	0.0006186114088329031	0.002169341817555376	0.0
F082_delta_calibrated	test	0.6464055625625784	0.3311939503906145	0.42857142857142855	17.089363558152993	0.6168522668281238	0.17857142857142858	0.11904761904761903	0.0	0.0	0.6456963971545485	0.3294504801033935	0.42857142857142855	0.0007091654080298992	0.001743470287220994	0.0
F082_delta_calibrated	validation	0.4001668950524826	0.27719805958822025	0.3703703703703704	17.348707910454987	0.6882003513841838	0.12345679012345678	0.1111111111111111	0.0	0.0	0.3992492735356634	0.2750207066615371	0.3703703703703704	0.0009176215168191781	0.0021773529266831404	0.0
F082_no_delta_calibration	alternate_test	0.49454605576529537	0.20349927882675975	0.1212121212121212	17.844039796021004	0.3789321579418845					0.4939690620831853	0.18358093537677697	0.12727272727272726	0.0005769936821100607	0.01991834344998278	-0.006060606060606058
F082_no_delta_calibration	test	0.6508169924476895	0.35187099379257397	0.42857142857142855	17.888242981578838	0.5064820376814914					0.6456963971545485	0.3294504801033935	0.42857142857142855	0.005120595293141017	0.022420513689180466	0.0
F082_no_delta_calibration	validation	0.41588884734029397	0.2984177037974846	0.38271604938271603	17.31434011509165	0.5794099803429806					0.3992492735356634	0.2750207066615371	0.3703703703703704	0.016639573804630547	0.023396997135947506	0.012345679012345623
protected_full_ridge_floor	alternate_test	0.4939690620831853	0.18358093537677697	0.12727272727272726	17.056778737001903	0.46971875704847577					0.4939690620831853	0.18358093537677697	0.12727272727272726	0.0	0.0	0.0
protected_full_ridge_floor	test	0.6456963971545485	0.3294504801033935	0.42857142857142855	17.137913563899744	0.6167990136832263					0.6456963971545485	0.3294504801033935	0.42857142857142855	0.0	0.0	0.0
protected_full_ridge_floor	validation	0.3992492735356634	0.2750207066615371	0.3703703703703704	17.263935228886346	0.6880798547703734					0.3992492735356634	0.2750207066615371	0.3703703703703704	0.0	0.0	0.0
source_as_target	alternate_test	0.0	0.0	0.01818181818181818	0.0	0.0					0.4939690620831853	0.18358093537677697	0.12727272727272726	-0.4939690620831853	-0.18358093537677697	-0.10909090909090907
source_as_target	test	0.0	0.0	0.03571428571428571	0.0	0.0					0.6456963971545485	0.3294504801033935	0.42857142857142855	-0.6456963971545485	-0.3294504801033935	-0.39285714285714285
source_as_target	validation	0.0	0.0	0.037037037037037035	0.0	0.0					0.3992492735356634	0.2750207066615371	0.3703703703703704	-0.3992492735356634	-0.2750207066615371	-0.33333333333333337
