method	split	mean_transition_improvement	mean_delta_cosine	mean_recall_at_1	mean_delta_rank	mean_magnitude_ratio	mean_rna_to_image_recall_at_1	mean_image_to_rna_recall_at_1	max_identity_violation	max_leakage_flag	floor_transition_improvement	floor_delta_cosine	floor_recall_at_1	floor_gap_transition_improvement	floor_gap_delta_cosine	floor_gap_recall_at_1
F097_frozen_smiles_delta_calibrated	alternate_test	-0.5853910107494981	0.14584196023800342	0.011037527593818985	1.2750471564618557	3.0139340112580286	0.008830022075055188	0.004415011037527594	0.0	0.0	-0.7262178402859779	0.08499837537108847	0.013245033112582781	0.14082682953647985	0.06084358486691495	-0.002207505518763796
F097_frozen_smiles_delta_calibrated	test	-0.5521965706870341	0.23215577950720398	0.011820330969267137	1.193691485410378	3.263856579663404	0.0070921985815602835	0.0070921985815602835	0.0	0.0	-0.8242834384607655	0.025338657486459148	0.014184397163120567	0.27208686777373137	0.20681712202074484	-0.0023640661938534296
F097_frozen_smiles_delta_calibrated	validation	-0.5737061448194497	0.20539409324833588	0.008438818565400843	1.2400630006098405	2.5068580473186084	0.006329113924050633	0.010548523206751056	0.0	0.0	-0.8617357640394628	0.0020263580675298955	0.0	0.28802961922001313	0.20336773518080598	0.008438818565400843
F097_no_delta_calibration	alternate_test	-0.03528337554724478	-0.7942326622273349	0.004415011037527594	9.970241228000608	0.3720009859636583					-0.7262178402859779	0.08499837537108847	0.013245033112582781	0.6909344647387331	-0.8792310375984234	-0.008830022075055188
F097_no_delta_calibration	test	-0.06697316059962861	-0.8536775277276298	0.0070921985815602835	7.673460652281417	0.33479490158913144					-0.8242834384607655	0.025338657486459148	0.014184397163120567	0.7573102778611368	-0.879016185214089	-0.0070921985815602835
F097_no_delta_calibration	validation	-0.02947150289839115	-0.8539130569962884	0.008438818565400843	10.19448269623055	0.34981616734544835					-0.8617357640394628	0.0020263580675298955	0.0	0.8322642611410717	-0.8559394150638183	0.008438818565400843
protected_full_ridge_floor	alternate_test	-0.7262178402859779	0.08499837537108847	0.013245033112582781	1.275263643730058	20.32219994727761					-0.7262178402859779	0.08499837537108847	0.013245033112582781	0.0	0.0	0.0
protected_full_ridge_floor	test	-0.8242834384607655	0.025338657486459148	0.014184397163120567	1.256837375198258	18.743242502426373					-0.8242834384607655	0.025338657486459148	0.014184397163120567	0.0	0.0	0.0
protected_full_ridge_floor	validation	-0.8617357640394628	0.0020263580675298955	0.0	1.234658307556637	22.515805036684185					-0.8617357640394628	0.0020263580675298955	0.0	0.0	0.0	0.0
source_as_target	alternate_test	0.0	0.0	0.006622516556291391	0.0	0.0					-0.7262178402859779	0.08499837537108847	0.013245033112582781	0.7262178402859779	-0.08499837537108847	-0.006622516556291391
source_as_target	test	0.0	0.0	0.0070921985815602835	0.0	0.0					-0.8242834384607655	0.025338657486459148	0.014184397163120567	0.8242834384607655	-0.025338657486459148	-0.0070921985815602835
source_as_target	validation	0.0	0.0	0.006329113924050633	0.0	0.0					-0.8617357640394628	0.0020263580675298955	0.0	0.8617357640394628	-0.0020263580675298955	0.006329113924050633
