method	split	mean_transition_improvement	mean_delta_cosine	mean_recall_at_1	mean_delta_rank	mean_magnitude_ratio	mean_rna_to_image_recall_at_1	mean_image_to_rna_recall_at_1	max_identity_violation	max_leakage_flag	floor_transition_improvement	floor_delta_cosine	floor_recall_at_1	floor_gap_transition_improvement	floor_gap_delta_cosine	floor_gap_recall_at_1
F100_frozen_smiles_delta_calibrated	alternate_test	-0.6470401519245809	0.04594322851361734	0.0034453057708871662	1.32855528519033	1400.097856469092	0.0008613264427217916	0.004306632213608958	0.0	0.0	-0.8648566511071928	0.022125502882425662	0.002583979328165375	0.21781649918261192	0.023817725631191677	0.0008613264427217915
F100_frozen_smiles_delta_calibrated	test	-0.6632570380000237	0.04715897264067679	0.0024390243902439024	1.323319050029151	1432.246416847537	0.0024390243902439024	0.0032520325203252032	0.0	0.0	-0.86742561000696	0.020625671255150784	0.0024390243902439024	0.20416857200693628	0.026533301385526006	0.0
F100_frozen_smiles_delta_calibrated	validation	-0.590939272079079	0.05229636365355771	0.003499562554680665	1.2654463475777218	1475.093941876931	0.0026246719160104987	0.003499562554680665	0.0	0.0	-0.8944231448838149	0.02862647422351296	0.0026246719160104987	0.3034838728047359	0.023669889430044753	0.0008748906386701664
no_delta_calibration	alternate_test	-0.035216745260543025	0.043132073493656144	0.002583979328165375	14.90068331555743	842.2370314724891					-0.8648566511071928	0.022125502882425662	0.002583979328165375	0.8296399058466497	0.02100657061123048	0.0
no_delta_calibration	test	-0.037627712104993584	0.0428756491662537	0.0016260162601626016	14.5959835696513	853.7562582113907					-0.86742561000696	0.020625671255150784	0.0024390243902439024	0.8297978979019663	0.022249977911102916	-0.0008130081300813008
no_delta_calibration	validation	-0.04528257434046021	0.04976284535105446	0.0026246719160104987	11.441647862998908	828.4345360054535					-0.8944231448838149	0.02862647422351296	0.0026246719160104987	0.8491405705433547	0.021136371127541503	0.0
protected_full_ridge_floor	alternate_test	-0.8648566511071928	0.022125502882425662	0.002583979328165375	1.457657820179958	3178.499969872894					-0.8648566511071928	0.022125502882425662	0.002583979328165375	0.0	0.0	0.0
protected_full_ridge_floor	test	-0.86742561000696	0.020625671255150784	0.0024390243902439024	1.4178455654230657	3370.9610281204937					-0.86742561000696	0.020625671255150784	0.0024390243902439024	0.0	0.0	0.0
protected_full_ridge_floor	validation	-0.8944231448838149	0.02862647422351296	0.0026246719160104987	1.431378362298184	3340.746665197384					-0.8944231448838149	0.02862647422351296	0.0026246719160104987	0.0	0.0	0.0
source_as_target	alternate_test	0.0	0.0	0.002583979328165375	0.0	0.0					-0.8648566511071928	0.022125502882425662	0.002583979328165375	0.8648566511071928	-0.022125502882425662	0.0
source_as_target	test	0.0	0.0	0.0024390243902439024	0.0	0.0					-0.86742561000696	0.020625671255150784	0.0024390243902439024	0.86742561000696	-0.020625671255150784	0.0
source_as_target	validation	0.0	0.0	0.0026246719160104987	0.0	0.0					-0.8944231448838149	0.02862647422351296	0.0026246719160104987	0.8944231448838149	-0.02862647422351296	0.0
