method	split	mean_transition_improvement	mean_delta_cosine	mean_recall_at_1	mean_delta_rank	mean_magnitude_ratio	mean_rna_to_image_recall_at_1	mean_image_to_rna_recall_at_1	max_identity_violation	max_leakage_flag	floor_transition_improvement	floor_delta_cosine	floor_recall_at_1	floor_gap_transition_improvement	floor_gap_delta_cosine	floor_gap_recall_at_1
F082_delta_calibrated	alternate_test	0.09845751250548647	0.1474811937185794	0.0784313725490196	10.202815198628477	0.8049487232655012	0.1568627450980392	0.21568627450980393	0.0	0.0	0.13069965863734165	0.1803733774998865	0.1176470588235294	-0.03224214613185518	-0.032892183781307094	-0.03921568627450979
F082_delta_calibrated	test	0.3209489353448545	0.3212784542944941	0.1372549019607843	9.980941858989182	0.8965968905421376	0.1176470588235294	0.11764705882352942	0.0	0.0	0.37933708784636505	0.355429611343235	0.35294117647058826	-0.058388152501510526	-0.03415115704874089	-0.21568627450980396
F082_delta_calibrated	validation	0.14521079975561157	0.25761828755831534	0.1568627450980392	10.287749970613225	1.0036825142869146	0.1568627450980392	0.21568627450980393	0.0	0.0	0.12346197597852825	0.2335761305325558	0.1176470588235294	0.02174882377708333	0.024042157025759542	0.03921568627450982
F082_no_delta_calibration	alternate_test	0.09760334111145987	0.14688514846688602	0.09803921568627451	11.114858131219167	0.7833045725144184					0.13069965863734165	0.1803733774998865	0.1176470588235294	-0.03309631752588178	-0.03348822903300047	-0.019607843137254888
F082_no_delta_calibration	test	0.2942013203372275	0.2782026844258276	0.17647058823529413	11.060144266241915	0.8627046195293566					0.37933708784636505	0.355429611343235	0.35294117647058826	-0.08513576750913754	-0.0772269269174074	-0.17647058823529413
F082_no_delta_calibration	validation	0.13784277804058245	0.2382315583888028	0.11764705882352942	11.425941430882714	0.9355317524088219					0.12346197597852825	0.2335761305325558	0.1176470588235294	0.014380802062054207	0.0046554278562470075	2.7755575615628914e-17
no_residual_source_as_target	alternate_test	0.0	0.0	0.0588235294117647	0.0	0.0					0.13069965863734165	0.1803733774998865	0.1176470588235294	-0.13069965863734165	-0.1803733774998865	-0.0588235294117647
no_residual_source_as_target	test	0.0	0.0	0.0588235294117647	0.0	0.0					0.37933708784636505	0.355429611343235	0.35294117647058826	-0.37933708784636505	-0.355429611343235	-0.29411764705882354
no_residual_source_as_target	validation	0.0	0.0	0.0588235294117647	0.0	0.0					0.12346197597852825	0.2335761305325558	0.1176470588235294	-0.12346197597852825	-0.2335761305325558	-0.0588235294117647
protected_full_ridge_floor	alternate_test	0.13069965863734165	0.1803733774998865	0.1176470588235294	10.49449986057863	0.8073859335581554					0.13069965863734165	0.1803733774998865	0.1176470588235294	0.0	0.0	0.0
protected_full_ridge_floor	test	0.37933708784636505	0.355429611343235	0.35294117647058826	9.741670033842711	1.200993310831222					0.37933708784636505	0.355429611343235	0.35294117647058826	0.0	0.0	0.0
protected_full_ridge_floor	validation	0.12346197597852825	0.2335761305325558	0.1176470588235294	10.126893531593339	1.2713960946819913					0.12346197597852825	0.2335761305325558	0.1176470588235294	0.0	0.0	0.0
source_as_target	alternate_test	0.0	0.0	0.0588235294117647	0.0	0.0					0.13069965863734165	0.1803733774998865	0.1176470588235294	-0.13069965863734165	-0.1803733774998865	-0.0588235294117647
source_as_target	test	0.0	0.0	0.0588235294117647	0.0	0.0					0.37933708784636505	0.355429611343235	0.35294117647058826	-0.37933708784636505	-0.355429611343235	-0.29411764705882354
source_as_target	validation	0.0	0.0	0.0588235294117647	0.0	0.0					0.12346197597852825	0.2335761305325558	0.1176470588235294	-0.12346197597852825	-0.2335761305325558	-0.0588235294117647
