method	split	mean_transition_improvement	mean_delta_cosine	mean_recall_at_1	mean_delta_rank	mean_magnitude_ratio	mean_rna_to_image_recall_at_1	mean_image_to_rna_recall_at_1	max_identity_violation	max_leakage_flag	floor_transition_improvement	floor_delta_cosine	floor_recall_at_1	floor_gap_transition_improvement	floor_gap_delta_cosine	floor_gap_recall_at_1
F082_delta_calibrated	alternate_test	0.10702417400589442	0.15433776835265353	0.09803921568627451	10.731491874893697	0.8377422919124576	0.19607843137254902	0.17647058823529413	0.0	0.0	0.13069965863734165	0.1803733774998865	0.1176470588235294	-0.023675484631447224	-0.026035609147232963	-0.019607843137254888
F082_delta_calibrated	test	0.36505045983663736	0.36424081152020343	0.2745098039215686	10.185072193454127	1.0440980550495291	0.0588235294117647	0.1568627450980392	0.0	0.0	0.37933708784636505	0.355429611343235	0.35294117647058826	-0.014286628009727687	0.008811200176968459	-0.07843137254901966
F082_delta_calibrated	validation	0.12964683889712178	0.23792880798013294	0.1176470588235294	10.647135731337597	1.1254435686998037	0.11764705882352942	0.1372549019607843	0.0	0.0	0.12346197597852825	0.2335761305325558	0.1176470588235294	0.006184862918593534	0.004352677447577141	0.0
F082_no_delta_calibration	alternate_test	0.12748527428297798	0.16557314469106146	0.1176470588235294	11.301775192134572	0.8690000715801229					0.13069965863734165	0.1803733774998865	0.1176470588235294	-0.003214384354363664	-0.014800232808825031	0.0
F082_no_delta_calibration	test	0.37979583447455334	0.35693781176180234	0.35294117647058826	10.904484531949187	1.0255748920406376					0.37933708784636505	0.355429611343235	0.35294117647058826	0.00045874662818828904	0.0015082004185673625	0.0
F082_no_delta_calibration	validation	0.12277811866106027	0.21598855210547285	0.09803921568627451	11.230008515334148	1.1226761785982842					0.12346197597852825	0.2335761305325558	0.1176470588235294	-0.0006838573174679785	-0.017587578427082945	-0.019607843137254888
no_residual_source_as_target	alternate_test	0.0	0.0	0.0588235294117647	0.0	0.0					0.13069965863734165	0.1803733774998865	0.1176470588235294	-0.13069965863734165	-0.1803733774998865	-0.0588235294117647
no_residual_source_as_target	test	0.0	0.0	0.0588235294117647	0.0	0.0					0.37933708784636505	0.355429611343235	0.35294117647058826	-0.37933708784636505	-0.355429611343235	-0.29411764705882354
no_residual_source_as_target	validation	0.0	0.0	0.0588235294117647	0.0	0.0					0.12346197597852825	0.2335761305325558	0.1176470588235294	-0.12346197597852825	-0.2335761305325558	-0.0588235294117647
protected_full_ridge_floor	alternate_test	0.13069965863734165	0.1803733774998865	0.1176470588235294	10.49449986057863	0.8073859335581554					0.13069965863734165	0.1803733774998865	0.1176470588235294	0.0	0.0	0.0
protected_full_ridge_floor	test	0.37933708784636505	0.355429611343235	0.35294117647058826	9.741670033842711	1.200993310831222					0.37933708784636505	0.355429611343235	0.35294117647058826	0.0	0.0	0.0
protected_full_ridge_floor	validation	0.12346197597852825	0.2335761305325558	0.1176470588235294	10.126893531593339	1.2713960946819913					0.12346197597852825	0.2335761305325558	0.1176470588235294	0.0	0.0	0.0
source_as_target	alternate_test	0.0	0.0	0.0588235294117647	0.0	0.0					0.13069965863734165	0.1803733774998865	0.1176470588235294	-0.13069965863734165	-0.1803733774998865	-0.0588235294117647
source_as_target	test	0.0	0.0	0.0588235294117647	0.0	0.0					0.37933708784636505	0.355429611343235	0.35294117647058826	-0.37933708784636505	-0.355429611343235	-0.29411764705882354
source_as_target	validation	0.0	0.0	0.0588235294117647	0.0	0.0					0.12346197597852825	0.2335761305325558	0.1176470588235294	-0.12346197597852825	-0.2335761305325558	-0.0588235294117647
