condition_key	split	perturbation_id	cell_line_id	batch_id
pert=8|dose=1|cell=0	train	8	0	2
pert=6|dose=1|cell=0	train	6	0	1
pert=1|dose=1|cell=2	train	1	2	1
pert=5|dose=1|cell=0	train	5	0	1
pert=4|dose=1|cell=2	train	4	2	2
pert=7|dose=1|cell=1	train	7	1	0
pert=5|dose=1|cell=1	train	5	1	0
pert=6|dose=1|cell=1	train	6	1	0
pert=2|dose=1|cell=1	train	2	1	0
pert=6|dose=1|cell=1	train	6	1	1
pert=2|dose=1|cell=0	train	2	0	2
pert=8|dose=1|cell=1	train	8	1	0
pert=1|dose=1|cell=0	train	1	0	2
pert=1|dose=1|cell=1	train	1	1	0
pert=2|dose=1|cell=1	train	2	1	2
pert=6|dose=1|cell=0	train	6	0	0
pert=7|dose=1|cell=1	train	7	1	1
pert=5|dose=1|cell=2	train	5	2	0
pert=1|dose=1|cell=0	train	1	0	0
pert=3|dose=1|cell=0	train	3	0	0
pert=3|dose=1|cell=2	train	3	2	2
pert=2|dose=1|cell=2	train	2	2	1
pert=7|dose=1|cell=1	train	7	1	2
pert=5|dose=1|cell=1	train	5	1	1
pert=4|dose=1|cell=0	train	4	0	0
pert=6|dose=1|cell=0	train	6	0	2
pert=1|dose=1|cell=0	train	1	0	1
pert=5|dose=1|cell=2	train	5	2	1
pert=3|dose=1|cell=1	train	3	1	0
pert=2|dose=1|cell=1	train	2	1	1
pert=1|dose=1|cell=2	train	1	2	2
pert=4|dose=1|cell=2	train	4	2	0
pert=8|dose=1|cell=2	train	8	2	1
pert=3|dose=1|cell=1	train	3	1	2
pert=7|dose=1|cell=2	train	7	2	2
pert=4|dose=1|cell=2	train	4	2	1
pert=5|dose=1|cell=0	train	5	0	2
pert=3|dose=1|cell=2	train	3	2	0
pert=3|dose=1|cell=0	train	3	0	1
pert=8|dose=1|cell=1	train	8	1	2
pert=7|dose=1|cell=2	train	7	2	1
pert=2|dose=1|cell=0	train	2	0	1
pert=7|dose=1|cell=2	train	7	2	0
pert=5|dose=1|cell=2	train	5	2	2
pert=7|dose=1|cell=0	train	7	0	2
pert=5|dose=1|cell=0	train	5	0	0
pert=4|dose=1|cell=0	train	4	0	1
pert=4|dose=1|cell=1	train	4	1	2
pert=6|dose=1|cell=1	train	6	1	2
pert=7|dose=1|cell=0	train	7	0	1
pert=5|dose=1|cell=1	train	5	1	2
pert=4|dose=1|cell=0	train	4	0	2
pert=6|dose=1|cell=2	train	6	2	1
pert=3|dose=1|cell=2	train	3	2	1
pert=2|dose=1|cell=2	train	2	2	0
pert=2|dose=1|cell=0	train	2	0	0
pert=3|dose=1|cell=1	train	3	1	1
pert=8|dose=1|cell=2	train	8	2	2
pert=1|dose=1|cell=1	train	1	1	2
pert=4|dose=1|cell=1	train	4	1	1
pert=3|dose=1|cell=0	train	3	0	2
pert=8|dose=1|cell=0	train	8	0	1
pert=2|dose=1|cell=2	train	2	2	2
pert=4|dose=1|cell=1	train	4	1	0
pert=8|dose=1|cell=2	train	8	2	0
pert=8|dose=1|cell=0	train	8	0	0
pert=1|dose=1|cell=2	train	1	2	0
pert=6|dose=1|cell=2	train	6	2	0
pert=7|dose=1|cell=0	train	7	0	0
pert=1|dose=1|cell=1	train	1	1	1
pert=8|dose=1|cell=1	train	8	1	1
pert=6|dose=1|cell=2	train	6	2	2
