outer_heldout_perturbation_ids	selected_delta_score_weight	selected_by_inner	delta_score_weight	condition_recall_at_1	condition_recall_at_5	condition_median_rank	perturbation_recall_at_1	perturbation_recall_at_5	perturbation_median_rank
1,2,3	0.2	False	0.0	0.37037037037037035	0.9629629629629629	2.0	0.37037037037037035	0.9629629629629629	2.0
1,2,3	0.2	False	0.05	0.4444444444444444	0.9629629629629629	2.0	0.4444444444444444	0.9629629629629629	2.0
1,2,3	0.2	False	0.1	0.4074074074074074	0.9629629629629629	2.0	0.4074074074074074	0.9629629629629629	2.0
1,2,3	0.2	True	0.2	0.4074074074074074	0.9259259259259259	2.0	0.4074074074074074	0.9259259259259259	2.0
1,2,3	0.2	False	0.35	0.4444444444444444	0.9259259259259259	2.0	0.4444444444444444	0.9259259259259259	2.0
1,2,3	0.2	False	0.5	0.4444444444444444	0.9259259259259259	2.0	0.4444444444444444	0.9259259259259259	2.0
1,2,3	0.2	False	0.65	0.4444444444444444	0.9259259259259259	2.0	0.4444444444444444	0.9259259259259259	2.0
1,2,3	0.2	False	0.8	0.48148148148148145	0.9259259259259259	2.0	0.48148148148148145	0.9259259259259259	2.0
1,2,3	0.2	False	1.0	0.4444444444444444	0.9259259259259259	2.0	0.4444444444444444	0.9259259259259259	2.0
1,2,4	0.8	False	0.0	0.4074074074074074	0.7037037037037037	3.0	0.4074074074074074	0.7037037037037037	3.0
1,2,4	0.8	False	0.05	0.4444444444444444	0.8518518518518519	2.0	0.4444444444444444	0.8518518518518519	2.0
1,2,4	0.8	False	0.1	0.5185185185185185	0.8518518518518519	1.0	0.5185185185185185	0.8518518518518519	1.0
1,2,4	0.8	False	0.2	0.5555555555555556	0.8888888888888888	1.0	0.5555555555555556	0.8888888888888888	1.0
1,2,4	0.8	False	0.35	0.5925925925925926	0.8888888888888888	1.0	0.5925925925925926	0.8888888888888888	1.0
1,2,4	0.8	False	0.5	0.5925925925925926	0.9259259259259259	1.0	0.5925925925925926	0.9259259259259259	1.0
1,2,4	0.8	False	0.65	0.5555555555555556	0.9259259259259259	1.0	0.5555555555555556	0.9259259259259259	1.0
1,2,4	0.8	True	0.8	0.5555555555555556	0.9259259259259259	1.0	0.5555555555555556	0.9259259259259259	1.0
1,2,4	0.8	False	1.0	0.5555555555555556	0.9259259259259259	1.0	0.5555555555555556	0.9259259259259259	1.0
1,2,5	1.0	False	0.0	0.4444444444444444	0.8888888888888888	2.0	0.4444444444444444	0.8888888888888888	2.0
1,2,5	1.0	False	0.05	0.4444444444444444	0.9259259259259259	2.0	0.4444444444444444	0.9259259259259259	2.0
1,2,5	1.0	False	0.1	0.4074074074074074	0.8888888888888888	2.0	0.4074074074074074	0.8888888888888888	2.0
1,2,5	1.0	False	0.2	0.4444444444444444	0.8888888888888888	2.0	0.4444444444444444	0.8888888888888888	2.0
1,2,5	1.0	False	0.35	0.4444444444444444	0.8888888888888888	2.0	0.4444444444444444	0.8888888888888888	2.0
